"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Gonzalez","1","F","AK","AK1",0.947368421,NA,0.947368421,0.947368421,0.947368421,NA,NA,0.947368421
"2","Gonzalez","1","F","AK","AK10",0.85,NA,0.85,0.85,0.85,NA,NA,0.85
"3","Gonzalez","1","F","AK","AK11",1,NA,1,1,1,NA,NA,1
"4","Gonzalez","1","F","AK","AK12",1,NA,1,1,1,NA,NA,1
"5","Gonzalez","1","F","AK","AK14",1,NA,1,1,1,NA,NA,1
"6","Gonzalez","1","F","AK","AK15",0.95,NA,0.95,0.95,0.95,NA,NA,0.95
"7","Gonzalez","1","F","AK","AK17",1,NA,1,1,1,NA,NA,1
"8","Gonzalez","1","F","AK","AK18",1,NA,1,1,1,NA,NA,1
"9","Gonzalez","1","F","AK","AK21",1,NA,1,1,1,NA,NA,1
"10","Gonzalez","1","F","AK","AK3",0.944444444,NA,0.944444444,0.944444444,0.944444444,NA,NA,0.944444444
"11","Gonzalez","1","F","AK","AK4",1,NA,1,1,1,NA,NA,1
"12","Gonzalez","1","F","AK","AK6",0.95,NA,0.95,0.95,0.95,NA,NA,0.95
"13","Gonzalez","1","F","AK","AK8",1,NA,1,1,1,NA,NA,1
"14","Gonzalez","1","F","GI","GI1",0.875,NA,0.875,0.875,0.875,NA,NA,0.875
"15","Gonzalez","1","F","GI","GI13",1,NA,1,1,1,NA,NA,1
"16","Gonzalez","1","F","GI","GI15",1,NA,1,1,1,NA,NA,1
"17","Gonzalez","1","F","GI","GI2",0.85,NA,0.85,0.85,0.85,NA,NA,0.85
"18","Gonzalez","1","F","GI","GI4",1,NA,1,1,1,NA,NA,1
"19","Gonzalez","1","F","GI","GI6",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"20","Gonzalez","1","F","GI","GI8",0.85,NA,0.85,0.85,0.85,NA,NA,0.85
"21","Gonzalez","1","F","GI","GI9",1,NA,1,1,1,NA,NA,1
"22","Gonzalez","1","F","KA","KA1",0.9,NA,0.9,0.9,0.9,NA,NA,0.9
"23","Gonzalez","1","F","KA","KA10",0.666666667,NA,0.666666667,0.666666667,0.666666667,NA,NA,0.666666667
"24","Gonzalez","1","F","KA","KA2",0.888888889,NA,0.888888889,0.888888889,0.888888889,NA,NA,0.888888889
"25","Gonzalez","1","F","KA","KA3",1,NA,1,1,1,NA,NA,1
"26","Gonzalez","1","F","KA","KA5",0.947368421,NA,0.947368421,0.947368421,0.947368421,NA,NA,0.947368421
"27","Gonzalez","1","F","KA","KA7",1,NA,1,1,1,NA,NA,1
"28","Gonzalez","1","F","KA","KA9",1,NA,1,1,1,NA,NA,1
"29","Gonzalez","1","F","MA","MA13",0.85,NA,0.85,0.85,0.85,NA,NA,0.85
"30","Gonzalez","1","F","MA","MA16",1,NA,1,1,1,NA,NA,1
"31","Gonzalez","1","F","MA","MA18",1,NA,1,1,1,NA,NA,1
"32","Gonzalez","1","F","MA","MA19",0.95,NA,0.95,0.95,0.95,NA,NA,0.95
"33","Gonzalez","1","F","MA","MA21",0.95,NA,0.95,0.95,0.95,NA,NA,0.95
"34","Gonzalez","1","F","MA","MA28",1,NA,1,1,1,NA,NA,1
"35","Gonzalez","1","F","MA","MA30",1,NA,1,1,1,NA,NA,1
"36","Gonzalez","1","F","MA","MA33",0.9,NA,0.9,0.9,0.9,NA,NA,0.9
"37","Gonzalez","1","F","MA","MA5",0.85,NA,0.85,0.85,0.85,NA,NA,0.85
"38","Gonzalez","1","F","MA","MA6",0.842105263,NA,0.842105263,0.842105263,0.842105263,NA,NA,0.842105263
"39","Gonzalez","1","F","MA","MA7",0.9,NA,0.9,0.9,0.9,NA,NA,0.9
"40","Gonzalez","1","F","MU","MU1",0.947368421,NA,0.947368421,0.947368421,0.947368421,NA,NA,0.947368421
"41","Gonzalez","1","F","MU","MU11",1,NA,1,1,1,NA,NA,1
"42","Gonzalez","1","F","MU","MU12",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"43","Gonzalez","1","F","MU","MU13",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"44","Gonzalez","1","F","MU","MU14",1,NA,1,1,1,NA,NA,1
