"","Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Gonzalez","F","AK","AK1",0.724561403666667,0.211598148457313,0.7,0.52631579,0.947368421,0.122166247971856,0.29203618545856,0.947368421
"2","Gonzalez","F","AK","AK10",0.866666666666667,0.125830573921179,0.85,0.75,1,0.0726483157256779,0.145189123755207,0.85
"3","Gonzalez","F","AK","AK11",1,0,1,1,1,0,0,1
"4","Gonzalez","F","AK","AK12",0.9142857144,0.0922821704040233,0.904761905,0.777777778,1,0.0412698412269231,0.100933623866784,1
"5","Gonzalez","F","AK","AK13",0.95,0.0707106781186548,0.975,0.85,1,0.0353553390593274,0.0744322927564787,1
"6","Gonzalez","F","AK","AK14",0.9561264824,0.0753117428653881,1,0.826086957,1,0.0336804353101985,0.0787675524647596,1
"7","Gonzalez","F","AK","AK15",0.905555555666667,0.0419435244858643,0.9,0.866666667,0.95,0.0242161051526754,0.0463180024940442,0.95
"8","Gonzalez","F","AK","AK16",0.932456140333333,0.0761037586851732,0.947368421,0.85,1,0.0439385255632271,0.0816164486385041,1
"9","Gonzalez","F","AK","AK17",0.8942882775,0.10006109303795,0.922368421,0.736842105,1,0.0353769387100361,0.111889080462591,1
"10","Gonzalez","F","AK","AK18",0.616666666666667,0.500832640043891,0.8,0.05,1,0.289155859548291,0.812161037909012,1
"11","Gonzalez","F","AK","AK2",0.819696969666667,0.0813539015176824,0.8,0.75,0.909090909,0.0469696969408602,0.0992487523172927,0.8
"12","Gonzalez","F","AK","AK20",0.983333333333333,0.0288675134594813,1,0.95,1,0.0166666666666667,0.0293567933486251,1
"13","Gonzalez","F","AK","AK21",0.983333333333333,0.0288675134594813,1,0.95,1,0.0166666666666667,0.0293567933486251,1
"14","Gonzalez","F","AK","AK3",0.94663742675,0.0744466495313296,0.972222222,0.842105263,1,0.0372233247656648,0.0786432560425169,1
"15","Gonzalez","F","AK","AK4",0.962848297333333,0.0323229302427074,0.947368421,0.941176471,1,0.0186616524766246,0.0335701172575449,1
"16","Gonzalez","F","AK","AK5",0.844736842,0.157960512775817,0.85,0.684210526,1,0.091198544572449,0.186993753465078,0.684210526
"17","Gonzalez","F","AK","AK6",0.846759259333333,0.0910790649666857,0.8125,0.777777778,0.95,0.0525845226760554,0.107561935653817,0.95
"18","Gonzalez","F","AK","AK7",0.9522943722,0.0478353999144773,0.952380952,0.9,1,0.0213926411879318,0.050231736436673,1
