"","Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Gonzalez","1","F","AK",0.972447143461538,0.0442412177404782,1,0.85,1,0.0122703060809432,0.0454947274388574,1
"2","Gonzalez","1","F","GI",0.921875,0.0860206578179252,0.9375,0.8,1,0.0304128952325912,0.0933105440736815,1
"3","Gonzalez","1","F","KA",0.914703425285714,0.119232499329845,0.947368421,0.666666667,1,0.0450656487747778,0.130350992500768,1
"4","Gonzalez","1","F","MA",0.931100478454545,0.0653545432324189,0.95,0.842105263,1,0.0197051362042722,0.0701906450965371,1
"5","Gonzalez","1","F","MU",0.9239473684,0.1066462497895,0.975,0.7,1,0.0337245053250072,0.115424593907529,1
"6","Gonzalez","1","F","RE",0.899122807,0.0858529524983139,0.947368421,0.8,0.95,0.0495672252356257,0.0954852349755976,0.947368421
"7","Gonzalez","1","F","UM",0.855263157875,0.0935493664891345,0.847368421,0.7,0.95,0.0330746957100863,0.109380797743666,0.8
"8","Gonzalez","1","F","VA",0.8783625731,0.119285822871469,0.8807017545,0.7,1,0.0377214892841248,0.135804765053313,1
"9","Gonzalez","1","F","YE",0.98,0.0447213595499958,1,0.9,1,0.02,0.0456340403571386,1
"10","Gonzalez","1","M","AK",0.719894286923077,0.25876473310187,0.722222222,0.133333333,1,0.0717684241138882,0.359448238168224,0.7
"11","Gonzalez","1","M","GI",0.71206735725,0.239328963194613,0.771153846,0.333333333,0.947368421,0.0846155664046283,0.336104387819293,0.941176471
"12","Gonzalez","1","M","KA",0.632393483714286,0.255352511818302,0.625,0.368421053,1,0.096514177560987,0.403787386167423,0.625
"13","Gonzalez","1","M","MA",0.699858827090909,0.167871312860906,0.7,0.421052632,1,0.0506151052567261,0.239864536050354,0.7
"14","Gonzalez","1","M","MU",0.6841658067,0.222758278855006,0.692105263,0.315789474,1,0.0704423528840745,0.325591072622376,0.315789474
"15","Gonzalez","1","M","RE",0.862962963,0.0548098096075703,0.888888889,0.8,0.9,0.0316444583311628,0.0635135132764328,0.888888889
"16","Gonzalez","1","M","UM",0.675870743125,0.218696577281366,0.67251462,0.4,0.944444444,0.0773209164089707,0.323577517603715,0.941176471
"17","Gonzalez","1","M","VA",0.642616099,0.223154703474667,0.6578947365,0.25,0.947368421,0.0705677133559437,0.347259746249629,0.631578947
"18","Gonzalez","1","M","YE",0.7629239764,0.195128769959407,0.8,0.444444444,0.944444444,0.0872642387990306,0.255764369708446,0.944444444
"19","Gonzalez","2","F","AK",0.892355234466667,0.131798822569529,0.95,0.684210526,1,0.0340303096574354,0.147697707682861,1
"20","Gonzalez","2","F","GI",0.699840510285714,0.30942928309576,0.818181818,0.133333333,0.947368421,0.116953275918912,0.442142571840309,0.947368421
"21","Gonzalez","2","F","KA",0.800370718375,0.149527193318379,0.769736842,0.611111111,1,0.0528658461836089,0.186822418518716,0.611111111
"22","Gonzalez","2","F","MA",0.845864661555556,0.0988857591775694,0.842105263,0.714285714,1,0.0329619197258565,0.116904941974662,0.714285714
"23","Gonzalez","2","F","MU",0.952604997272727,0.0629749427917441,1,0.842105263,1,0.0189876596758465,0.0661081381811339,1
"24","Gonzalez","2","F","RE",0.811536992375,0.226191718528267,0.873076923,0.3,1,0.0799708490097881,0.278720157742047,1
"25","Gonzalez","2","F","UM",0.7127506267,0.226864985799607,0.6833333335,0.3125,1,0.0717410076468513,0.318295035179387,1
"26","Gonzalez","2","F","VA",0.746141497533333,0.212567413701707,0.8,0.352941177,0.95,0.0548846702142062,0.28488887751778,0.894736842
"27","Gonzalez","2","F","YE",0.843440745333333,0.129835416897921,0.857142857,0.55,1,0.0374802564481809,0.153935433658246,0.95
"28","Gonzalez","2","M","AK",0.638635477533333,0.20700440495319,0.666666667,0.142857143,0.944444444,0.0534483075316853,0.324135461050056,0.578947368
"29","Gonzalez","2","M","GI",0.725689223,0.242593009179228,0.833333333,0.35,0.95,0.0916915388701496,0.3342932504583,0.421052632
"30","Gonzalez","2","M","KA",0.5023026315,0.235276519303217,0.514473684,0.05,0.789473684,0.0831828111266364,0.468395952059068,0.4
"31","Gonzalez","2","M","MA",0.644209007333333,0.194032252416196,0.714285714,0.4,0.95,0.0646774174720654,0.30119456606076,0.818181818
"32","Gonzalez","2","M","MU",0.423334852363636,0.190274657535681,0.421052632,0.047619048,0.722222222,0.0573699678326568,0.449466082164761,0.45
"33","Gonzalez","2","M","RE",0.69231672925,0.234001503200277,0.65,0.375,1,0.0827320248603808,0.337997759282483,0.894736842
"34","Gonzalez","2","M","UM",0.4598192452,0.181205555312922,0.540935673,0.1,0.666666667,0.0573022279464458,0.394079972085783,0.590909091
"35","Gonzalez","2","M","VA",0.462670744066667,0.142869550363934,0.470588235,0.3,0.75,0.036888759282644,0.308793136795674,0.3
"36","Gonzalez","2","M","YE",0.776632144083333,0.0982818915374442,0.777089783,0.6,0.95,0.0283715382678045,0.12654883304302,0.75
"37","Gonzalez","3","F","AK",0.8640853435625,0.126729400638679,0.872368421,0.52631579,1,0.0316823501596697,0.146663060058618,1
"38","Gonzalez","3","F","GI",0.657695374833333,0.270877882654326,0.6566985645,0.210526316,1,0.0781957092339956,0.41185918742848,1
"39","Gonzalez","3","F","KA",0.780680430692308,0.161279462536456,0.85,0.428571429,1,0.0447308747580357,0.2065883249993,0.85
"40","Gonzalez","3","F","MA",0.792621705833333,0.159275246150639,0.8,0.52631579,1,0.0459788031201577,0.200947368686028,0.9
"41","Gonzalez","3","F","MU",0.859872720941177,0.168694630822029,0.9,0.333333333,1,0.0409144577266943,0.196185582719014,1
"42","Gonzalez","3","F","RE",0.7881104936,0.131623785779014,0.8079710145,0.5,0.947368421,0.0416230957315763,0.167011842689432,0.842105263
"43","Gonzalez","3","F","UM",0.619309964222222,0.186087273169622,0.523809524,0.4,0.9,0.0620290910565406,0.300475180313504,0.5
"44","Gonzalez","3","F","VA",0.822730070789474,0.183933895976213,0.85,0.35,1,0.0421973297290546,0.223565301071,1
"45","Gonzalez","3","F","YE",0.787169836538462,0.171852675726335,0.8125,0.45,1,0.0476633564736142,0.218317150568228,0.9
"46","Gonzalez","3","M","AK",0.341000361,0.251461351175981,0.216374269,0.05,0.882352941,0.0628653377939953,0.737422536558491,0.210526316
"47","Gonzalez","3","M","GI",0.420992432083333,0.221945407528084,0.375,0.157894737,0.833333333,0.0640701203908702,0.527195718055452,0.375
"48","Gonzalez","3","M","KA",0.547095010230769,0.319159508343029,0.631578947,0.05,1,0.0885189209525129,0.583371265273293,0.2
"49","Gonzalez","3","M","MA",0.598811366666667,0.261549188768753,0.55,0.142857143,0.947368421,0.0755027472709838,0.436780601251255,0.5
"50","Gonzalez","3","M","MU",0.482875989705882,0.325191917200422,0.5,0,0.944444444,0.0788706248949678,0.673448098752011,0.5
"51","Gonzalez","3","M","RE",0.4817697484,0.262282540475647,0.4352941175,0.105263158,0.894736842,0.0829410218398348,0.544414715425181,0.470588235
"52","Gonzalez","3","M","UM",0.405685311555556,0.284656167332628,0.352941177,0.136363636,0.95,0.0948853891108759,0.701667423553358,0.2
"53","Gonzalez","3","M","VA",0.389835334052632,0.215974774977069,0.375,0.05,0.894736842,0.0495480114988938,0.554015390887863,0.166666667
"54","Gonzalez","3","M","YE",0.552397821538462,0.314156385108681,0.55,0,1,0.087131304232597,0.568714018881784,0
"55","Gonzalez","4","F","AK",0.822322641666667,0.297714596256881,0.909090909,0.05,1,0.0992381987522936,0.362041103055948,1
"56","Gonzalez","4","F","GI",0.764670716714286,0.200663567851554,0.857142857,0.470588235,1,0.075843699675164,0.262418271636954,0.909090909
"57","Gonzalez","4","F","KA",0.931917211333333,0.114228035934721,0.972222222,0.705882353,1,0.0466334003933946,0.122573158372395,1
"58","Gonzalez","4","F","MA",0.860257787285714,0.123063608313935,0.85,0.631578947,1,0.0465136718629906,0.143054338051651,0.95
"59","Gonzalez","4","F","MU",0.923371741,0.0479047385696121,0.909090909,0.85,1,0.0181062892681082,0.0518802302935239,0.85
"60","Gonzalez","4","F","RE",0.9200746965,0.0668738787301361,0.9023809525,0.833333333,1,0.0273011466682657,0.072683097344734,1
"61","Gonzalez","4","F","UM",0.8444187392,0.234578009867103,0.923076923,0.428571429,1,0.104906475217892,0.277798204821155,0.923076923
"62","Gonzalez","4","F","VA",0.859780319545455,0.108950516211858,0.894736842,0.65,1,0.0328498166354789,0.126719016166197,1
"63","Gonzalez","4","F","YE",0.8726461988,0.0781169848497107,0.9,0.736842105,0.9375,0.0349349776642549,0.0895173610532327,0.9
"64","Gonzalez","4","M","AK",0.645920356444444,0.221107059670642,0.55,0.4,0.95,0.0737023532235474,0.342313193050233,0.4
"65","Gonzalez","4","M","GI",0.833152173857143,0.184753034704926,0.85,0.45,1,0.0698300833991028,0.221751848584392,0.85
"66","Gonzalez","4","M","KA",0.858532695333333,0.116719510846162,0.875,0.65,1,0.0476505407667239,0.135952318974695,0.842105263
"67","Gonzalez","4","M","MA",0.630796193428571,0.191447541738574,0.666666667,0.391304348,0.85,0.0723603692221321,0.303501422064704,0.391304348
"68","Gonzalez","4","M","MU",0.69588735,0.227699324294419,0.818181818,0.4,0.952380952,0.0860622551114971,0.327207161179778,0.882352941
"69","Gonzalez","4","M","RE",0.6685185185,0.168496132016759,0.6305555555,0.45,0.95,0.0687882578456152,0.252044075599918,0.6
"70","Gonzalez","4","M","UM",0.5014975844,0.369519999704221,0.444444444,0.1,0.913043478,0.165254367676868,0.736833060016273,0.1
"71","Gonzalez","4","M","VA",0.704909743363636,0.194582381386298,0.6875,0.35,1,0.058668795442926,0.276038717322596,0.6
"72","Gonzalez","4","M","YE",0.7302380952,0.189295728310549,0.8125,0.476190476,0.95,0.0846556232705439,0.259224668713982,0.8125
