plate_id,plate_order,row,col,gel_order,line_id,In3RP,In2Lt,In3LP,In2RNs,In3Rmo
1,1,A,1,1,UM2,0,0.5,0,0,0
1,9,A,2,2,UM17,0,0,0,0,0
1,2,B,1,3,UM4,1,0.5,0,1,0
1,10,B,2,4,UM18,0,0,0,1,0
1,3,C,1,5,UM5,0,0,0,1,0
1,11,C,2,6,UM20,0,0,0,1,0
1,4,D,1,7,UM6,0,0.5,0,0,0
1,12,D,2,8,UM21,0,0,0,0,0
1,5,E,1,9,UM7,0,0,0,0,0
1,13,E,2,10,UM23,0,0.5,0,0,0
1,6,F,1,11,UM8,1,0.5,0,1,0
1,14,F,2,12,UM25,0,0,0,0,0
1,7,G,1,13,UM9,0,0.5,0,0,0
1,15,G,2,14,UM26,0,0,0,0,0
1,8,H,1,15,UM13,0,0.5,0,0,0
1,16,H,2,16,UM28,0,0,0,0,0
1,17,A,3,17,UM29,0,0,0,1,0
1,25,A,4,18,RE8,0,0.5,0,0,0
1,18,B,3,19,RE1,0,0.5,0,0,0
1,26,B,4,20,RE10,0,0,0,0,0
1,19,C,3,21,RE2,1,0.5,0,0,0
1,27,C,4,22,RE11,1,0.5,1,0,0
1,20,D,3,23,RE3,1,0,0,0,0
1,28,D,4,24,RE12,1,0.5,1,0,0
1,21,E,3,25,RE4,0,0.5,0,0,0
1,29,E,4,26,RE13,1,0.5,1,0,0
1,22,F,3,27,RE5,0,0.5,0,0,1
1,30,F,4,28,RE15,1,0.5,1,0,0
1,23,G,3,29,RE6,1,0,0,0,0
1,31,G,4,30,RE16,1,0,1,0,0
1,24,H,3,31,RE7,0,0.5,0,0,0
1,32,H,4,32,RE17,0,0.5,0,0,0
1,33,A,5,33,RE18,1,0,0,1,0
1,41,A,6,34,GI8,0,0,0,0,0
1,34,B,5,35,GI1,0,0,0,0,0
1,42,B,6,36,GI9,1,0,0,0,0
1,35,C,5,37,GI2,1,0,0,0,0
1,43,C,6,38,GI10,0,0,1,0,0
1,36,D,5,39,GI3,1,0.5,0,0,0
1,44,D,6,40,GI11,1,0,0,0,0
1,37,E,5,41,GI4,0,0.5,1,0,0
1,45,E,6,42,GI12,1,0.5,0,0,0
1,38,F,5,43,GI5,0,1,1,0,0
1,46,F,6,44,GI13,1,0.5,0,0,0
1,39,G,5,45,GI6,0,0.5,1,0,0
1,47,G,6,46,GI14,0,0,0,0,0
1,40,H,5,47,GI7,1,0.5,1,0,0
1,48,H,6,48,GI15,1,0,0,0,0
1,49,A,7,49,YE11,0,0.5,0,0,0
1,57,A,8,50,YE23,0,0.5,0,0,0
1,50,B,7,51,YE13,0,0.5,0,1,0
1,58,B,8,52,YE24,0,0,0,0,0
1,51,C,7,53,YE14,0,0,0,0,0
1,59,C,8,54,YE26,1,0,1,0,0
1,52,D,7,55,YE15,0,0.5,0,0,0
1,60,D,8,56,YE27,0,0,1,1,0
1,53,E,7,57,YE19,0,0.5,0,0,0
1,61,E,8,58,YE33,0,0.5,0,0,0
1,54,F,7,59,YE20,0,0.5,0,0,0
1,62,F,8,60,YE40,0,0.5,0,0,0
1,55,G,7,61,YE21,0,0.5,0,0,0
1,63,G,8,62,YE41,1,0,0,0,0
1,56,H,7,63,YE22,1,0,1,0,0
1,64,H,8,64,YE48,1,0,0,0,0
1,65,A,9,65,YE49,0,0,0,0,0
1,73,A,10,66,MA9,0,0.5,0,0,0
1,66,B,9,67,YE51,0,0.5,1,0,1
1,74,B,10,68,MA12,0,0,0,0,0
1,67,C,9,69,YE69,0,0.5,0,0,0
1,75,C,10,70,MA13,0,0,0,0,0
1,68,D,9,71,YE80,1,0.5,1,0,0
1,76,D,10,72,MA16,0,0,0,0,0
1,69,E,9,73,MA3,0,0,1,0,0
1,77,E,10,74,MA18,0,0.5,1,0,0
1,70,F,9,75,MA5,0,0.5,0,1,0
1,78,F,10,76,MA19,0,0.5,0,0,0
1,71,G,9,77,MA6,0,0,0,0,0
1,79,G,10,78,MA20,0,0,0,1,0
1,72,H,9,79,MA7,0,0.5,0,0,0
1,80,H,10,80,MA21,0,0,0,0,0
1,81,A,11,81,MA23,0,0,0,0,0
1,89,A,12,82,MU1,0,0,0,0,0
1,82,B,11,83,MA26,0,0.5,0,0,0
1,90,B,12,84,MU2,0,0.5,0,0,1
1,83,C,11,85,MA27,0,0.5,0,0,0
1,91,C,12,86,MU3,0,0.5,0,0,0
1,84,D,11,87,MA28,0,0,0,0,0
1,92,D,12,88,MU4,0,0.5,0,1,0
1,85,E,11,89,MA30,0,0.5,1,1,0
1,93,E,12,90,MU5,0,0.5,0,0,0
1,86,F,11,91,MA31,0,0.5,1,0,0
1,94,F,12,92,MU6,0,0.5,0,1,0
1,87,G,11,93,MA32,0,1,0,0,0
1,95,G,12,94,MU7,0,0,0,1,1
1,88,H,11,95,MA33,0,0.5,0,0,0
1,96,H,12,96,MU8,0,0.5,0,0,0
2,1,A,1,1,MU9,0,0,0,0,0
2,9,A,2,2,MU17,0,0,0,1,0
2,2,B,1,3,MU10,0,0.5,1,0,0
2,10,B,2,4,MU18,0,0.5,0,0,0
2,3,C,1,5,MU11,0,0,0,1,0
2,11,C,2,6,MU19,0,0,0,0,1
2,4,D,1,7,MU12,0,0,0,0,0
2,12,D,2,8,MU20,0,0.5,0,0,0
2,5,E,1,9,MU13,0,0.5,0,0,0
2,13,E,2,10,VA1,0,0.5,0,0,0
2,6,F,1,11,MU14,0,0.5,0,0,0
2,14,F,2,12,VA6,0,0,0,0,0
2,7,G,1,13,MU15,0,0.5,0,0,0
2,15,G,2,14,VA9,0,0.5,0,0,0
2,8,H,1,15,MU16,0,0.5,0,0,0
2,16,H,2,16,VA11,0,0,0,0,0
