Supervisor.PI,Diet,Batch,Population,Line,ReplicateVialOld,ReplivateVial,Treatment,FliesNonInfected,FliesInfected,FliesControl,HostResistance,Virulence,Lethality
Hrcek,NS,1,AK,AK1,7,Hrcek_1_AK1_7,parasitoid,35,25,63,0.555555556,0.396825397,0.047619048
Hrcek,NS,1,AK,AK1,10,Hrcek_1_AK1_10,parasitoid,21,4,63,0.333333333,0.063492063,0.603174603
Hrcek,NS,1,AK,AK1,8,Hrcek_1_AK1_8,parasitoid,21,28,63,0.333333333,0.444444444,0.222222222
Hrcek,NS,1,AK,AK1,6,Hrcek_1_AK1_6,parasitoid,11,9,63,0.174603175,0.142857143,0.682539683
Hrcek,NS,1,AK,AK1,9,Hrcek_1_AK1_9,parasitoid,7,44,63,0.111111111,0.698412698,0.19047619
Hrcek,NS,4,AK,AK11,10,Hrcek_4_AK11_10,parasitoid,6,43,58.5,0.102564103,0.735042735,0.162393162
Hrcek,NS,4,AK,AK11,5,Hrcek_4_AK11_5,parasitoid,6,43,58.5,0.102564103,0.735042735,0.162393162
Hrcek,NS,4,AK,AK11,6,Hrcek_4_AK11_6,parasitoid,8,43,58.5,0.136752137,0.735042735,0.128205128
Hrcek,NS,4,AK,AK11,7,Hrcek_4_AK11_7,parasitoid,6,51,58.5,0.102564103,0.871794872,0.025641026
Hrcek,NS,4,AK,AK11,9,Hrcek_4_AK11_9,parasitoid,5,49,58.5,0.085470085,0.837606838,0.076923077
Hrcek,NS,3,AK,AK3,10,Hrcek_3_AK3_10,parasitoid,8,39,58,0.137931034,0.672413793,0.189655172
Hrcek,NS,3,AK,AK3,5,Hrcek_3_AK3_5,parasitoid,16,8,58,0.275862069,0.137931034,0.586206897
Hrcek,NS,3,AK,AK3,6,Hrcek_3_AK3_6,parasitoid,10,29,58,0.172413793,0.5,0.327586207
Hrcek,NS,3,AK,AK3,7,Hrcek_3_AK3_7,parasitoid,12,28,58,0.206896552,0.482758621,0.310344828
Hrcek,NS,3,AK,AK3,8,Hrcek_3_AK3_8,parasitoid,18,28,58,0.310344828,0.482758621,0.206896552
Hrcek,NS,3,AK,AK3,9,Hrcek_3_AK3_9,parasitoid,16,2,58,0.275862069,0.034482759,0.689655172
Hrcek,NS,3,AK,AK4,10,Hrcek_3_AK4_10,parasitoid,21,10,63.75,0.329411765,0.156862745,0.51372549
Hrcek,NS,3,AK,AK4,5,Hrcek_3_AK4_5,parasitoid,5,31,63.75,0.078431373,0.48627451,0.435294118
Hrcek,NS,3,AK,AK4,6,Hrcek_3_AK4_6,parasitoid,6,20,63.75,0.094117647,0.31372549,0.592156863
Hrcek,NS,3,AK,AK4,7,Hrcek_3_AK4_7,parasitoid,11,12,63.75,0.17254902,0.188235294,0.639215686
Hrcek,NS,3,AK,AK4,8,Hrcek_3_AK4_8,parasitoid,4,32,63.75,0.062745098,0.501960784,0.435294118
Hrcek,NS,3,AK,AK4,9,Hrcek_3_AK4_9,parasitoid,10,24,63.75,0.156862745,0.376470588,0.466666667
Hrcek,NS,3,AK,AK5,5,Hrcek_3_AK5_5,parasitoid,6,29,60.75,0.098765432,0.477366255,0.423868313
