"Supervisor.PI","Diet","Batch","Population","Line","Sex","ReplicateVialOld","ReplicateVial","Individual","CCRT_seconds","Censor","Country","Latitude","Longitude","Altitude"
"Vieira","S",18,"MA","MA5","M",1,"Vieira_18_MA5_M_1",2,1000,0,"Austria",48.375,15.56,572
"Vieira","S",8,"MU","MU3","F",1,"Vieira_8_MU3_F_1",4,1000,0,"Germany",48.18,11.61,520
"Vieira","S",19,"MA","MA31","F",1,"Vieira_19_MA31_F_1",1,1001,0,"Austria",48.375,15.56,572
"Vieira","S",24,"VA","VA22","F",1,"Vieira_24_VA22_F_1",3,1002,0,"Russia",57.979,33.244,217
"Vieira","S",9,"MU","MU15","F",1,"Vieira_9_MU15_F_1",1,1003,0,"Germany",48.18,11.61,520
"Vieira","S",20,"MA","MA21","M",1,"Vieira_20_MA21_M_1",1,1005,0,"Austria",48.375,15.56,572
"Vieira","S",3,"AK","AK12","F",1,"Vieira_3_AK12_F_1",1,1006,0,"Finland",61.1,23.52,88
"Vieira","S",13,"UM","UM29","F",1,"Vieira_13_UM29_F_1",4,1006,0,"Ukraine",48.753,30.206,214
"Vieira","S",5,"AK","AK18","F",1,"Vieira_5_AK18_F_1",6,1008,0,"Finland",61.1,23.52,88
"Vieira","S",20,"MA","MA16","F",1,"Vieira_20_MA16_F_1",4,1008,0,"Austria",48.375,15.56,572
"Vieira","S",10,"MU","MU16","F",1,"Vieira_10_MU16_F_1",4,1009,0,"Germany",48.18,11.61,520
"Vieira","S",23,"VA","VA1","M",1,"Vieira_23_VA1_M_1",6,1011,0,"Russia",57.979,33.244,217
"Vieira","S",12,"KA","KA10","M",1,"Vieira_12_KA10_M_1",5,1013,0,"Denmark",55.945,10.213,15
"Vieira","S",17,"KA","KA17","F",1,"Vieira_17_KA17_F_1",4,1013,0,"Denmark",55.945,10.213,15
"Vieira","S",20,"MA","MA23","M",1,"Vieira_20_MA23_M_1",4,1014,0,"Austria",48.375,15.56,572
"Vieira","S",2,"RE","RE9","F",1,"Vieira_2_RE9_F_1",1,1014,0,"Portugal",41.15,-8.41,175
"Vieira","S",22,"VA","VA34","F",1,"Vieira_22_VA34_F_1",2,1014,0,"Russia",57.979,33.244,217
"Vieira","S",25,"YE","YE26","M",1,"Vieira_25_YE26_M_1",6,1014,0,"Turkey",40.231,32.26,680
"Vieira","S",16,"KA","KA24","F",1,"Vieira_16_KA24_F_1",6,1015,0,"Denmark",55.945,10.213,15
"Vieira","S",8,"MU","MU2","F",1,"Vieira_8_MU2_F_1",2,1015,0,"Germany",48.18,11.61,520
"Vieira","S",24,"VA","VA67","F",1,"Vieira_24_VA67_F_1",5,1016,0,"Russia",57.979,33.244,217
"Vieira","S",21,"MA","MA7","F",1,"Vieira_21_MA7_F_1",3,1017,0,"Austria",48.375,15.56,572
"Vieira","S",11,"RE","RE18","F",1,"Vieira_11_RE18_F_1",4,1018,0,"Portugal",41.15,-8.41,175
"Vieira","S",8,"MU","MU1","F",1,"Vieira_8_MU1_F_1",1,1019,0,"Germany",48.18,11.61,520
"Vieira","S",10,"MU","MU14","M",1,"Vieira_10_MU14_M_1",4,1021,0,"Germany",48.18,11.61,520
"Vieira","S",13,"RE","RE2","F",1,"Vieira_13_RE2_F_1",2,1023,0,"Portugal",41.15,-8.41,175
"Vieira","S",26,"YE","YE69","F",1,"Vieira_26_YE69_F_1",5,1023,0,"Turkey",40.231,32.26,680
"Vieira","S",14,"KA","KA5","M",1,"Vieira_14_KA5_M_1",6,1024,0,"Denmark",55.945,10.213,15
"Vieira","S",22,"VA","VA34","F",1,"Vieira_22_VA34_F_1",5,1024,0,"Russia",57.979,33.244,217
"Vieira","S",23,"VA","VA46","M",1,"Vieira_23_VA46_M_1",2,1024,0,"Russia",57.979,33.244,217
"Vieira","S",5,"AK","AK19","F",1,"Vieira_5_AK19_F_1",2,1026,0,"Finland",61.1,23.52,88
"Vieira","S",21,"MA","MA9","F",1,"Vieira_21_MA9_F_1",1,1027,0,"Austria",48.375,15.56,572
"Vieira","S",4,"RE","RE7","F",1,"Vieira_4_RE7_F_1",1,1028,0,"Portugal",41.15,-8.41,175
"Vieira","S",20,"MA","MA20","M",1,"Vieira_20_MA20_M_1",6,1031,0,"Austria",48.375,15.56,572
"Vieira","S",23,"VA","VA46","F",1,"Vieira_23_VA46_F_1",5,1031,0,"Russia",57.979,33.244,217
"Vieira","S",2,"RE","RE5","F",1,"Vieira_2_RE5_F_1",5,1032,0,"Portugal",41.15,-8.41,175
"Vieira","S",22,"YE","YE21","M",1,"Vieira_22_YE21_M_1",5,1032,0,"Turkey",40.231,32.26,680
"Vieira","S",14,"KA","KA2","M",1,"Vieira_14_KA2_M_1",5,1033,0,"Denmark",55.945,10.213,15
