"Supervisor.PI","Diet","Batch","Population","Line","Data.Label","Sex","ReplicateChamberOld","ReplicateChamber","Period","CircPhase","AbsPhase","Experiment","ND","Activity","Country","Latitude","Longitude","Altitude"
"Tauber","NS",1,"YE","YE27","YE 29-9-18","M",3,"Tauber_1_YE27_M_3",23.58,23.21,12.5,1,0.678161,29.2,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE33","YE 33-9-18","M",3,"Tauber_1_YE33_M_3",20.2,13.07,0.7,1,0.95,46.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE40","YE 40-9-18","M",3,"Tauber_1_YE40_M_3",24.04,4.59,11.7,1,1.082569,45.4,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE40","YE 40-9-18","M",3,"Tauber_1_YE40_M_3",24.2,9.32,12.5,1,0.948454,37.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE40","YE 40-9-18","M",3,"Tauber_1_YE40_M_3",23.12,12.98,12.5,1,1.454545,37.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE49","TE49-9-19","M",3,"Tauber_1_YE49_M_3",24.72,5.63,12,1,0.962963,31.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE51","YE 51-9-18","M",3,"Tauber_1_YE51_M_3",23.96,10.42,12.7,1,0.831933,43.6,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE51","YE 51-9-18","M",3,"Tauber_1_YE51_M_3",23.52,6.22,0.5,1,0.768595,42.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE69","YE 69-9-18","M",3,"Tauber_1_YE69_M_3",24.44,7.46,12.4,1,1.3125,29.6,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE69","YE 69-9-18","M",3,"Tauber_1_YE69_M_3",23.78,12.11,12.6,1,1,21.6,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE69","YE 69-9-18","M",3,"Tauber_1_YE69_M_3",24.46,9.22,12.6,1,0.394958,33.2,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE80","YE 80-9-18","M",3,"Tauber_1_YE80_M_3",23.14,14,12.5,1,0.731707,28.4,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE80","YE 80-9-18","M",3,"Tauber_1_YE80_M_3",23.08,18.93,12.4,1,0.492958,21.2,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE13","YE 13-9-18","M",3,"Tauber_1_YE13_M_3",22.78,1.18,12.5,1,1.107843,43,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE13","YE 13-9-18","M",3,"Tauber_1_YE13_M_3",23.94,6.32,12.8,1,1.032609,37.4,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE13","YE 13-9-18","M",3,"Tauber_1_YE13_M_3",23.1,0.31,12.6,1,0.958678,47.4,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE13","YE 13-9-18","M",3,"Tauber_1_YE13_M_3",25.02,5.76,12.5,1,3.75,26.6,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE13","YE 13-9-18","M",3,"Tauber_1_YE13_M_3",26.8,17.91,12.4,1,0.805825,37.2,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE13","YE 13-9-18","M",3,"Tauber_1_YE13_M_3",25.54,11.46,12.3,1,1.042553,38.4,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE13","YE 13-9-18","M",3,"Tauber_1_YE13_M_3",25.38,7.94,12.6,1,1.010989,36.6,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE13","YE 13-9-18","M",3,"Tauber_1_YE13_M_3",27.6,20,12.8,1,0.904348,43.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE13","YE 13-9-18","M",3,"Tauber_1_YE13_M_3",23.52,14.69,12.6,1,1.290323,42.6,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE13","YE 13-9-18","M",3,"Tauber_1_YE13_M_3",24.54,4.3,12.7,1,0.785124,43.2,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE14","YE 14-9-18","M",3,"Tauber_1_YE14_M_3",23.7,9.92,12.4,1,0.834783,42.2,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE14","YE 14-9-18","M",3,"Tauber_1_YE14_M_3",24.4,11.41,12.3,1,1.290909,25.2,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE14","YE 14-9-18","M",3,"Tauber_1_YE14_M_3",25.46,0.41,12.5,1,0.735849,36.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE14","YE 14-9-18","M",3,"Tauber_1_YE14_M_3",23.62,18.49,12.5,1,0.92437,45.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE14","YE 14-9-18","M",3,"Tauber_1_YE14_M_3",23.24,13.43,12.5,1,0.991736,48.2,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE14","YE 14-9-18","M",3,"Tauber_1_YE14_M_3",24.08,10.37,12.6,1,0.892562,45.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE14","YE 14-9-18","M",3,"Tauber_1_YE14_M_3",23.22,12.4,13,1,0.916667,46,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE14","YE 14-9-18","M",3,"Tauber_1_YE14_M_3",24.5,2.74,12.5,1,1,47.6,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE14","YE 14-9-18","M",3,"Tauber_1_YE14_M_3",24.16,18.08,12.8,1,0.975207,47.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE14","YE 14-9-18","M",3,"Tauber_1_YE14_M_3",23.42,10.35,12.5,1,0.866667,44.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE15","YE 15-9-18","M",3,"Tauber_1_YE15_M_3",24.3,11.75,12.5,1,0.958333,47,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE15","YE 15-9-18","M",3,"Tauber_1_YE15_M_3",22.72,17.32,12.5,1,1.016949,47.6,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE15","YE 15-9-18","M",3,"Tauber_1_YE15_M_3",26.74,17.95,12.4,1,0.983471,48,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE15","YE 15-9-18","M",3,"Tauber_1_YE15_M_3",24.22,7.04,12.5,1,0.815126,43.2,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE15","YE 15-9-18","M",3,"Tauber_1_YE15_M_3",23.68,13.68,12.5,1,1.017857,45.2,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE15","YE 15-9-18","M",3,"Tauber_1_YE15_M_3",24.58,11.23,12.5,1,1.035714,45.6,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE19","YE 19-9-18","M",3,"Tauber_1_YE19_M_3",19.12,6.28,13.7,1,0.966387,46.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE19","YE 19-9-18","M",3,"Tauber_1_YE19_M_3",22.44,11.66,12.6,1,1.037037,44,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE19","YE 19-9-18","M",3,"Tauber_1_YE19_M_3",23.36,21.58,12.5,1,0.99115,45,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE19","YE 19-9-18","M",3,"Tauber_1_YE19_M_3",23.48,12.67,12.8,1,1,48,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE19","YE 19-9-18","M",3,"Tauber_1_YE19_M_3",24.28,9.88,12.6,1,0.991736,48.2,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE19","YE 19-9-18","M",3,"Tauber_1_YE19_M_3",23.6,23.49,12.5,1,0.913793,44.4,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE19","YE 19-9-18","M",3,"Tauber_1_YE19_M_3",22.84,14.19,12.2,1,0.941176,46.2,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE20","YE 20-9-18","M",3,"Tauber_1_YE20_M_3",23.74,12.03,12.6,1,0.983471,48,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE20","YE 20-9-18","M",3,"Tauber_1_YE20_M_3",25.38,18.91,12.6,1,1,48,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE20","YE 20-9-18","M",3,"Tauber_1_YE20_M_3",24.06,10.37,12.5,1,0.958678,47.4,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE21","YE 21-9-18","M",2,"Tauber_1_YE21_M_2",23.66,12.27,12.5,1,1.803571,31.4,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE21","YE 21-9-18","M",2,"Tauber_1_YE21_M_2",21.94,14.11,12.5,1,1.913793,33.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE22","YE 22-9-18","M",2,"Tauber_1_YE22_M_2",25.26,22.52,23.9,1,0.529412,10.4,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE22","YE 22-9-18","M",2,"Tauber_1_YE22_M_2",23.96,12.02,12.4,1,0.607595,25.4,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE24","YE 24-9-18","M",2,"Tauber_1_YE24_M_2",23.98,10.31,12.3,1,1.04878,33.6,"Turkey",40.231,32.26,680
