"Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Mensch","1","F","AK","AK1",2035.16666666667,427.155436189997,2095,1310,2468,174.385476586912,0.209887201469166,2092
"Mensch","1","F","AK","AK2",1327.5,290.456020767344,1281,985,1835,118.578173933205,0.218799262348282,1281
"Mensch","1","F","KA","KA10",1311.66666666667,105.397659683063,1304.5,1183,1457,43.0284143845023,0.0803539972170744,1400
"Mensch","1","F","KA","KA23",1369,250.497904182849,1402.5,955,1714,102.265341147429,0.182978746663878,1457
"Mensch","1","F","MA","MA33",1640,479.651957152267,1687.5,970,2226,195.817091525059,0.29247070558065,970
"Mensch","1","F","MA","MA5",1863.33333333333,885.216960223123,1457,1246,3600,361.388310700708,0.475071713894342,1442
"Mensch","1","F","UM","UM28",2353.66666666667,855.927021811245,2502.5,1028,3081,349.430743416266,0.363656856738951,3066
"Mensch","1","F","UM","UM29",1120.66666666667,166.341415969285,1082,987,1419,67.9085987027989,0.148430769752485,1158
"Mensch","1","F","UM","UM5",1420.66666666667,567.511644520768,1342,771,2266,231.685658693939,0.399468543773417,1470
"Mensch","1","F","VA","VA11",1708.66666666667,862.864454399801,1448.5,1096,3321,352.262938410753,0.504992852750566,1838
"Mensch","1","F","VA","VA46",1400.66666666667,312.203566069747,1459.5,1002,1698,127.456572124696,0.22289640604694,1651
"Mensch","1","F","YE","YE19",1477.16666666667,233.655658323668,1446,1137,1806,95.3895230678459,0.158178263561098,1653
"Mensch","1","F","YE","YE22",2062.33333333333,1014.36495733373,1547.5,1151,3600,414.112759737946,0.491853058348343,1151
"Mensch","1","F","YE","YE48",2353.66666666667,761.321657820574,2168,1521,3600,310.808265298363,0.323461970466183,2196
"Mensch","1","M","AK","AK1",1898.33333333333,883.459035081235,1843.5,1051,3247,360.670640766768,0.46538667344051,1051
"Mensch","1","M","AK","AK2",1949.83333333333,873.796410307725,1719,1243,3600,356.725890721589,0.448139025715561,2079
"Mensch","1","M","KA","KA10",2035.16666666667,1225.20388779446,1405,945,3600,500.187392661768,0.602016487328374,3600
"Mensch","1","M","KA","KA23",1594.66666666667,472.254874688093,1608.5,950,2276,192.79724525464,0.296146451518453,1887
"Mensch","1","M","MA","MA33",1922.66666666667,833.42226192169,1637.5,1386,3600,340.243213664056,0.433472050236663,1530
"Mensch","1","M","MA","MA5",1322.16666666667,78.9390059898569,1284,1258,1428,32.2267142462757,0.0597042778191279,1284
"Mensch","1","M","UM","UM28",1998.83333333333,863.291009258562,1641,1195,3600,352.437078702631,0.431897444805418,1660
"Mensch","1","M","UM","UM29",1168.66666666667,146.669242401625,1170,1022,1431,59.8774674740934,0.125501348318561,1170
"Mensch","1","M","UM","UM5",1603.33333333333,518.877506418101,1472,1051,2519,211.830854955342,0.323624224377194,1334
"Mensch","1","M","VA","VA11",1652,759.073909444924,1408,1067,3167,309.890625866611,0.459487838647048,1336
"Mensch","1","M","VA","VA46",1307.83333333333,264.740942558318,1198.5,1090,1773,108.080037215225,0.202427125697707,1090
"Mensch","1","M","YE","YE19",2859.33333333333,1039.24042774839,3442.5,1351,3600,424.268128009216,0.363455500494892,3600
"Mensch","1","M","YE","YE22",2003.66666666667,815.079300845425,1765,1242,3600,332.754731162625,0.406793861676306,3600
"Mensch","1","M","YE","YE48",2415.66666666667,1125.15130834331,2475,776,3600,459.341098144336,0.465772585211803,3600
"Mensch","2","F","AK","AK4",1164.16666666667,128.016275006995,1180,932,1328,52.2624254231576,0.109963872590118,1180
