"Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Mensch","1","F","AK",1681.33333333333,507.803529174842,1628.5,985,2468,146.590252132268,0.302024303632935,1281
"Mensch","1","F","KA",1340.33333333333,185.656248007554,1341,955,1714,53.5943423819486,0.138514982348337,1457
"Mensch","1","F","MA",1751.66666666667,688.741188141398,1474.5,970,3600,198.822455187709,0.393191924723919,970
"Mensch","1","F","UM",1631.66666666667,781.149454706483,1316.5,771,3081,184.118692181043,0.478743281740439,1158
"Mensch","1","F","VA",1554.66666666667,639.219884395081,1459.5,1002,3321,184.526886163431,0.411162018264417,1838
"Mensch","1","F","YE",1964.38888888889,793.606965909366,1602.5,1137,3600,187.054955730465,0.403996871697972,3600
"Mensch","1","M","AK",1924.08333333333,838.182932770573,1719,1051,3600,241.96257093262,0.435627146833855,1051
"Mensch","1","M","KA",1814.91666666667,914.671670683812,1502,945,3600,264.042967644712,0.50397447303392,3600
"Mensch","1","M","MA",1622.41666666667,645.6794107877,1423,1258,3600,186.391590814239,0.397973852249854,1530
"Mensch","1","M","UM",1590.27777777778,653.008855498513,1382.5,1022,3600,153.915663299288,0.410625655859327,1170
"Mensch","1","M","VA",1479.91666666667,571.024352025429,1339,1067,3167,164.840531677856,0.3858489906135,1336
"Mensch","1","M","YE",2426.22222222222,1007.30277915277,2076,776,3600,237.423541948992,0.415173338174341,3600
"Mensch","2","F","AK",1420.25,340.216542006037,1341,932,2071,98.2120560549745,0.239546940331658,1180
"Mensch","2","F","GI",1427.16666666667,462.836085914055,1302,920,2627,133.609269396576,0.324304159229748,2627
"Mensch","2","F","KA",1687.08333333333,686.899947502391,1517.5,986,3600,198.290934798423,0.407152352187142,1406
"Mensch","2","F","MA",1707.66666666667,632.7718914954,1563,1140,2877,258.328042956582,0.370547662402147,1362
"Mensch","2","F","MU",1406.33333333333,411.6540618853,1292.5,1015,2165,168.057067027179,0.292714431300285,1160
"Mensch","2","F","RE",1584.66666666667,485.142215950096,1543.5,725,2357,140.04849448702,0.306147801398883,1501
"Mensch","2","F","UM",1739.33333333333,322.657506757036,1703.5,1303,2292,131.724375538892,0.185506423969166,1755
"Mensch","2","F","VA",1540.83333333333,360.2556962307,1545,1096,1982,147.073772116052,0.233805752015598,1874
"Mensch","2","F","YE",2279.6,817.081574874871,1967,1466,3600,365.409988916559,0.358431994593293,2455
"Mensch","2","M","AK",1506.58333333333,609.332042386405,1404.5,910,3284,175.899009348828,0.404446291754901,1295
"Mensch","2","M","GI",1937,647.431288035474,1811.5,1285,3600,186.897314214533,0.334244340751406,1854
"Mensch","2","M","KA",1903.09090909091,458.262469452923,1831,1243,2711,138.171333334277,0.24079904289587,2130
"Mensch","2","M","MA",1642,364.550682347462,1610,1257,2291,148.827192855786,0.222016249907102,2291
