"Supervisor.PI","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Mensch","F","AK",1937.7,699.196076176902,1780.5,913,3600,63.8275771735316,0.360838146347165,3600
"Mensch","F","GI",1571.07142857143,660.802556693657,1394.5,752,3600,72.0994698921198,0.4206063102392,3600
"Mensch","F","KA",1737.23333333333,676.861289779701,1562,804,3600,61.7886994523972,0.389620252381968,3600
"Mensch","F","MA",1906.575,753.683733935077,1684.5,805,3600,68.8015970501606,0.395307676821041,3600
"Mensch","F","MU",1880.075,762.339986378737,1727.5,851,3600,69.5918011713025,0.405483816538562,3600
"Mensch","F","RE",1750.96875,662.17543315674,1567,725,3600,67.5829971433517,0.378176614035367,3600
"Mensch","F","UM",1947.39215686275,725.941562125385,1864.5,771,3600,71.8789254083099,0.372776258529704,3600
"Mensch","F","VA",1832.40833333333,729.424332657493,1672.5,927,3600,66.5870268316102,0.398068661546959,3600
"Mensch","F","YE",1961.29166666667,729.56162036744,1746.5,849,3600,66.5995594275446,0.371980176516721,3600
"Mensch","M","AK",1898.59166666667,749.712353756659,1631.5,893,3600,68.4390612988025,0.394878144110323,3600
"Mensch","M","GI",1705.36904761905,662.850885115104,1529.5,821,3600,72.3229608454391,0.388684716683784,3600
"Mensch","M","KA",1919.26666666667,773.414341357443,1693.5,844,3600,70.6027468432453,0.402973883092905,3600
"Mensch","M","MA",1703.24166666667,626.278416834044,1519.5,869,3600,57.1711360297715,0.367697919262217,3600
"Mensch","M","MU",1753.21666666667,590.76119794482,1615.5,790,3600,53.9288723688588,0.3369584656459,3600
"Mensch","M","RE",1507.05208333333,448.341748641102,1411.5,890,3226,45.7586881065773,0.29749585538507,950
"Mensch","M","UM",1755.69607843137,748.140675991874,1559,682,3600,74.0769652134262,0.42612197246593,3600
"Mensch","M","VA",1666.8,666.510637763645,1483,795,3600,60.8438185200505,0.39987439270677,3600
"Mensch","M","YE",2046.31481481481,876.429605408451,1744,776,3600,84.3344781013878,0.428296564665083,3600
"Vieira","F","AK",1677.19166666667,640.61516254659,1477.5,783,3600,58.4798958677677,0.381957038827757,3600
"Vieira","F","GI",1545.33333333333,425.74319027938,1416.5,997,2725,48.2059236796794,0.275502495866725,1638
"Vieira","F","KA",1450.96666666667,509.039083760293,1369.5,816,3600,46.468698137879,0.35082755204137,3600
"Vieira","F","MA",1336.225,473.961659664506,1246.5,738,3600,43.2665820651394,0.354701984818804,1244
"Vieira","F","MU",1556.91666666667,668.969816094821,1402.5,864,3600,61.0683097608693,0.429676058081563,3600
"Vieira","F","RE",1441.22916666667,439.141110977869,1388,900,3600,44.8196519572792,0.304699017432136,1059
"Vieira","F","UM",1754.9298245614,533.263067778565,1721.5,814,3600,49.9446623121931,0.303865750251204,3600
"Vieira","F","VA",1423.79166666667,445.922137677811,1313.5,747,3600,40.7069356161769,0.31319338925602,1205
"Vieira","F","YE",1481.64166666667,494.786072027931,1353.5,836,3403,45.1675821315123,0.333944490870778,1063
"Vieira","M","AK",1563.50833333333,254.815602988927,1574,1035,2376,23.2613756268861,0.162976811543864,1935
"Vieira","M","GI",1844.85897435897,638.985310165051,1693.5,1057,3600,72.3508391855649,0.346359976044823,1421
"Vieira","M","KA",1515.06666666667,514.843106285435,1412,901,3600,46.9985304814271,0.339815479815257,3600
"Vieira","M","MA",1349.31666666667,440.945469738508,1231.5,724,3600,40.252630067582,0.32679168695649,1084
"Vieira","M","MU",1694.40833333333,736.550642297913,1418,813,3600,67.2375669219143,0.434694888952139,3600
"Vieira","M","RE",1584.39583333333,390.497051115402,1558,994,3600,39.8549383872606,0.246464325959412,1188
"Vieira","M","UM",1612.61403508772,434.621399861077,1547,812,3600,40.7060236519659,0.269513591227944,1587
"Vieira","M","VA",1538.79166666667,428.955559701561,1485,935,3600,39.1581060359665,0.278761296277855,1593
"Vieira","M","YE",1733.33333333333,607.742458907178,1642.5,938,3600,55.4790423161863,0.350620649369526,3600
