"Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","1",NA,"MU","mixed population",5.15e-11,NA,5.15e-11,5.15e-11,5.15e-11,NA,NA,5.15e-11
"Wegener","1",NA,"UM","mixed population",7.54e-19,NA,7.54e-19,7.54e-19,7.54e-19,NA,NA,7.54e-19
"Wegener","2",NA,"AK","mixed population",2.87569750000001e-09,5.74953515042955e-09,1.39500000001365e-12,5.26e-24,1.15e-08,2.87476757521477e-09,1.99935325270809,5.26e-24
"Wegener","2",NA,"GI","mixed population",1.335e-05,1.88797510576808e-05,1.335e-05,6.27e-22,2.67e-05,1.335e-05,1.41421356237309,6.27e-22
"Wegener","2",NA,"KA","mixed population",2.1750000338e-06,3.07591445036106e-06,2.1750000338e-06,6.76e-14,4.35e-06,2.1749999662e-06,1.41421351841869,6.76e-14
"Wegener","2",NA,"MA","mixed population",3.14676434333333e-05,5.45010195261717e-05,2.92e-09,1.03e-11,9.44e-05,3.14661782945443e-05,1.73197016299096,2.92e-09
"Wegener","2",NA,"MU","mixed population",1.87e-07,NA,1.87e-07,1.87e-07,1.87e-07,NA,NA,1.87e-07
"Wegener","2",NA,"RE","mixed population",8.95000000000026e-11,1.26572113832388e-10,8.95000000000026e-11,5.26e-24,1.79e-10,8.94999999999974e-11,1.41421356237301,5.26e-24
"Wegener","2",NA,"UM","mixed population",2.29500000001035e-07,3.24562012563162e-07,2.29500000001035e-07,2.07e-18,4.59e-07,2.29499999998965e-07,1.41421356236034,4.59e-07
"Wegener","2",NA,"VA","mixed population",3.020000655e-13,4.27092403205686e-13,3.020000655e-13,1.31e-19,6.04e-13,3.019999345e-13,1.41421294892297,1.31e-19
"Wegener","2",NA,"YE","mixed population",1.46e-10,NA,1.46e-10,1.46e-10,1.46e-10,NA,NA,1.46e-10
"Wegener","3",NA,"GI","mixed population",1.005e-09,1.42128463018496e-09,1.005e-09,5.7e-27,2.01e-09,1.005e-09,1.4142135623731,5.7e-27
"Wegener","3",NA,"KA","mixed population",1.54500000000001e-05,2.18495995386642e-05,1.54500000000001e-05,1.62e-19,3.09e-05,1.54499999999999e-05,1.41421356237308,1.62e-19
"Wegener","3",NA,"MA","mixed population",9.54e-23,NA,9.54e-23,9.54e-23,9.54e-23,NA,NA,9.54e-23
"Wegener","3",NA,"MU","mixed population",1.5755e-23,1.63270955775974e-23,1.5755e-23,4.21e-24,2.73e-23,1.1545e-23,1.03631200111694,4.21e-24
"Wegener","3",NA,"RE","mixed population",5.09e-13,NA,5.09e-13,5.09e-13,5.09e-13,NA,NA,5.09e-13
"Wegener","3",NA,"UM","mixed population",3.81e-23,NA,3.81e-23,3.81e-23,3.81e-23,NA,NA,3.81e-23
"Wegener","3",NA,"VA","mixed population",1.4e-12,NA,1.4e-12,1.4e-12,1.4e-12,NA,NA,1.4e-12
"Wegener","3",NA,"YE","mixed population",2.72358566692367e-13,4.71673318716635e-13,7.57e-17,7.71e-23,8.17e-13,2.72320717530613e-13,1.7318101077004,7.71e-23
"Wegener","4",NA,"RE","mixed population",4.1e-23,NA,4.1e-23,4.1e-23,4.1e-23,NA,NA,4.1e-23
"Wegener","4",NA,"VA","mixed population",2.73e-23,NA,2.73e-23,2.73e-23,2.73e-23,NA,NA,2.73e-23
