"Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","1",NA,"MU","mixed population",1.36,NA,1.36,1.36,1.36,NA,NA,1.36
"Wegener","1",NA,"UM","mixed population",7.64,NA,7.64,7.64,7.64,NA,NA,7.64
"Wegener","2",NA,"AK","mixed population",3.4125,1.88193827387262,2.74,2.01,6.16,0.940969136936311,0.551483743259377,6.16
"Wegener","2",NA,"GI","mixed population",3.89,0.565685424949238,3.89,3.49,4.29,0.4,0.14542041772474,3.49
"Wegener","2",NA,"KA","mixed population",5.4,2.27688383542068,5.4,3.79,7.01,1.61,0.421645154707534,7.01
"Wegener","2",NA,"MA","mixed population",6.06333333333333,3.4261543067021,5.35,3.05,9.79,1.97809111125965,0.565061183073463,9.79
"Wegener","2",NA,"MU","mixed population",4.2,NA,4.2,4.2,4.2,NA,NA,4.2
"Wegener","2",NA,"RE","mixed population",2.99,1.06066017177982,2.99,2.24,3.74,0.75,0.354735843404622,3.74
"Wegener","2",NA,"UM","mixed population",4.765,1.03944696834422,4.765,4.03,5.5,0.735,0.218142071006133,5.5
"Wegener","2",NA,"VA","mixed population",2.975,0.530330085889911,2.975,2.6,3.35,0.375,0.178262213744508,3.35
"Wegener","2",NA,"YE","mixed population",4.14,NA,4.14,4.14,4.14,NA,NA,4.14
"Wegener","3",NA,"GI","mixed population",3.97,2.17788888605457,3.97,2.43,5.51,1.54,0.548586621172435,2.43
"Wegener","3",NA,"KA","mixed population",4.855,0.120208152801714,4.855,4.77,4.94,0.0850000000000004,0.0247596607212592,4.94
"Wegener","3",NA,"MA","mixed population",4.66,NA,4.66,4.66,4.66,NA,NA,4.66
"Wegener","3",NA,"MU","mixed population",2.85,0.919238815542512,2.85,2.2,3.5,0.65,0.322539935278074,3.5
"Wegener","3",NA,"RE","mixed population",4.72,NA,4.72,4.72,4.72,NA,NA,4.72
"Wegener","3",NA,"UM","mixed population",4.25,NA,4.25,4.25,4.25,NA,NA,4.25
"Wegener","3",NA,"VA","mixed population",4.3,NA,4.3,4.3,4.3,NA,NA,4.3
"Wegener","3",NA,"YE","mixed population",4.37,0.70760158281338,4.3,3.7,5.11,0.40853396431631,0.161922558996197,5.11
"Wegener","4",NA,"RE","mixed population",1.67,NA,1.67,1.67,1.67,NA,NA,1.67
"Wegener","4",NA,"VA","mixed population",3.14,NA,3.14,3.14,3.14,NA,NA,3.14
