"Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Vieira","1","F","MU","MU1",0.916666666666667,0.0288675134594812,0.9,0.9,0.95,0.0166666666666666,0.0314918328648886,0.9
"Vieira","1","F","MU","MU10",0.783333333333333,0.125830573921179,0.8,0.65,0.9,0.0726483157256779,0.160634775218527,0.65
"Vieira","1","F","MU","MU2",0.85,0.0866025403784438,0.8,0.8,0.95,0.05,0.101885341621699,0.8
"Vieira","1","F","MU","MU3",0.983333333333333,0.0288675134594813,1,0.95,1,0.0166666666666667,0.0293567933486251,1
"Vieira","1","F","MU","MU5",1,0,1,1,1,0,0,1
"Vieira","1","F","MU","MU6",0.979166666666667,0.0360843918243516,1,0.9375,1,0.0208333333333333,0.036852144841891,1
"Vieira","1","M","MU","MU1",0.916666666666667,0.104083299973307,0.95,0.8,1,0.0600925212577331,0.113545418152698,1
"Vieira","1","M","MU","MU10",0.982456140366667,0.03038685624579,1,0.9473684211,1,0.0175438596333333,0.0309294786782535,1
"Vieira","1","M","MU","MU2",0.983333333333333,0.0288675134594813,1,0.95,1,0.0166666666666667,0.0293567933486251,1
"Vieira","1","M","MU","MU3",0.916666666666667,0.0288675134594812,0.9,0.9,0.95,0.0166666666666666,0.0314918328648886,0.9
"Vieira","1","M","MU","MU5",0.883333333333333,0.125830573921179,0.9,0.75,1,0.0726483157256779,0.142449706325863,1
"Vieira","1","M","MU","MU6",1,0,1,1,1,0,0,1
"Vieira","2","F","AK","AK2",0.864035087733333,0.126434520219152,0.8421052632,0.75,1,0.0729970042833884,0.146330307662428,0.75
"Vieira","2","F","AK","AK3",0.982456140366667,0.03038685624579,1,0.9473684211,1,0.0175438596333333,0.0309294786782535,1
"Vieira","2","F","GI","GI2",0.9657894737,0.0296563885894587,0.95,0.9473684211,1,0.0171221239353161,0.0307068873673299,0.9473684211
"Vieira","2","F","GI","GI3",0.9,0.0866025403784438,0.95,0.8,0.95,0.05,0.0962250448649376,0.95
"Vieira","2","F","MU","MU14",0.58875129,0.129090782621596,0.5294117647,0.5,0.7368421053,0.0745305980964778,0.219261995369209,0.7368421053
"Vieira","2","F","MU","MU18",0.7937908497,0.063539194768692,0.7647058824,0.75,0.8666666667,0.0366843712037964,0.0800452597717718,0.8666666667
"Vieira","2","F","MU","MU20",0.948148148133333,0.0501027750330082,0.9444444444,0.9,1,0.0289268506524545,0.0528427705434515,1
"Vieira","2","F","UM","UM2",0.847368421066667,0.0502073263881586,0.8421052632,0.8,0.9,0.0289872134054948,0.0592508820720009,0.9
"Vieira","2","F","UM","UM5",0.766666666666667,0.0288675134594813,0.75,0.75,0.8,0.0166666666666667,0.0376532784254104,0.75
"Vieira","2","M","AK","AK2",0.762280701766667,0.0333217893073801,0.75,0.7368421053,0.8,0.0192383440264959,0.0437132794128899,0.8
"Vieira","2","M","AK","AK3",0.766666666666667,0.0400616808538971,0.7777777778,0.7222222222,0.8,0.0231296222251864,0.0522543663311702,0.7222222222
"Vieira","2","M","GI","GI2",1,0,1,1,1,0,0,1
"Vieira","2","M","GI","GI3",0.916666666666667,0.104083299973307,0.95,0.8,1,0.0600925212577331,0.113545418152698,1
