"Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Vieira","F","AK","AK1",0.962962962966667,0.0641500299035434,1,0.8888888889,1,0.0370370370333334,0.0666173387457312,1
"Vieira","F","AK","AK10",0.885784313733333,0.012848374920467,0.8823529412,0.875,0.9,0.00741801271898088,0.014505082920598,0.9
"Vieira","F","AK","AK11",0.9411764706,0.0588235294,0.9411764706,0.8823529412,1,0.0339617805337739,0.0624999999867188,0.9411764706
"Vieira","F","AK","AK12",0.925925925933333,0.128300059807087,1,0.7777777778,1,0.0740740740666667,0.138564064590545,1
"Vieira","F","AK","AK13",0.476096491233333,0.291440932956962,0.3157894737,0.3,0.8125,0.168263501095578,0.61214677764581,0.3
"Vieira","F","AK","AK14",1,0,1,1,1,0,0,1
"Vieira","F","AK","AK15",0.75,0.1,0.75,0.65,0.85,0.0577350269189626,0.133333333333333,0.65
"Vieira","F","AK","AK16",0.896491228066667,0.105307008415587,0.9,0.7894736842,1,0.0607990296562932,0.117465743242895,0.7894736842
"Vieira","F","AK","AK17",0.7798245614,0.0754640919782854,0.7894736842,0.7,0.85,0.0435692138178137,0.0967706016373818,0.85
"Vieira","F","AK","AK18",0.75,0.0866025403784439,0.7,0.7,0.85,0.05,0.115470053837925,0.7
"Vieira","F","AK","AK19",0.983333333333333,0.0288675134594813,1,0.95,1,0.0166666666666667,0.0293567933486251,1
"Vieira","F","AK","AK2",0.864035087733333,0.126434520219152,0.8421052632,0.75,1,0.0729970042833884,0.146330307662428,0.75
"Vieira","F","AK","AK20",0.960784313733333,0.0679235610675478,1,0.8823529412,1,0.0392156862666667,0.0706959513146257,1
"Vieira","F","AK","AK3",0.982456140366667,0.03038685624579,1,0.9473684211,1,0.0175438596333333,0.0309294786782535,1
"Vieira","F","AK","AK4",0.7509746589,0.195908251135088,0.75,0.5555555556,0.9473684211,0.113107681529312,0.260871986575482,0.5555555556
"Vieira","F","AK","AK5",0.794117647066667,0.125853487627864,0.85,0.65,0.8823529412,0.0726615449604004,0.158482169603893,0.65
"Vieira","F","AK","AK6",0.9019607843,0.169808902726604,1,0.7058823529,1,0.0980392157,0.188266392156274,1
"Vieira","F","AK","AK7",0.963937621833333,0.031265136321665,0.9473684211,0.9444444444,1,0.0180509348715636,0.0324348128068714,1
"Vieira","F","AK","AK8",0.946181630566667,0.00452990304484248,0.9473684211,0.9411764706,0.95,0.00261534074234271,0.0047875618153034,0.95
"Vieira","F","AK","AK9",0.660784313733333,0.191884060067784,0.55,0.55,0.8823529412,0.110784313733333,0.290388340158481,0.55
"Vieira","F","GI","GI1",0.9,0.0866025403784439,0.85,0.85,1,0.05,0.0962250448649376,0.85
"Vieira","F","GI","GI10",0.6,0.2,0.6,0.4,0.8,0.115470053837925,0.333333333333333,0.4
"Vieira","F","GI","GI11",0.95,0.05,0.95,0.9,1,0.0288675134594813,0.0526315789473684,1
"Vieira","F","GI","GI12",0.672794117633333,0.0423991271702227,0.6875,0.625,0.7058823529,0.0244791474851332,0.0630194677078461,0.625
"Vieira","F","GI","GI13",0.8,0.229128784747792,0.85,0.55,1,0.13228756555323,0.28641098093474,0.85
"Vieira","F","GI","GI15",1,0,1,1,1,0,0,1
"Vieira","F","GI","GI2",0.9657894737,0.0296563885894587,0.95,0.9473684211,1,0.0171221239353161,0.0307068873673299,0.9473684211
"Vieira","F","GI","GI3",0.9,0.0866025403784438,0.95,0.8,0.95,0.05,0.0962250448649376,0.95
"Vieira","F","GI","GI4",0.883333333333333,0.0763762615825973,0.9,0.8,0.95,0.0440958551844098,0.0864636923576573,0.8
"Vieira","F","GI","GI5",0.920343137266667,0.0329517883718926,0.9375,0.8823529412,0.9411764706,0.0190247238867918,0.0358038073383764,0.9375
"Vieira","F","GI","GI7",0.6393762183,0.181482947123064,0.6111111111,0.4736842105,0.8333333333,0.104779228374828,0.283843755724288,0.6111111111
"Vieira","F","GI","GI8",0.859356725133333,0.0317530935839878,0.85,0.8333333333,0.8947368421,0.0183326571283187,0.036949840101689,0.85
"Vieira","F","GI","GI9",0.95,0.05,0.95,0.9,1,0.0288675134594813,0.0526315789473684,0.9
"Vieira","F","KA","KA1",0.947058823533333,0.0502588455600029,0.9411764706,0.9,1,0.0290169580132275,0.0530683462432615,0.9411764706
"Vieira","F","KA","KA10",0.819078947366667,0.114377227963481,0.875,0.6875,0.8947368421,0.066035723353879,0.139641274301095,0.875
"Vieira","F","KA","KA11",0.980392156866667,0.0339617805337739,1,0.9411764706,1,0.0196078431333333,0.0346410161443108,1
"Vieira","F","KA","KA13",1,0,1,1,1,0,0,1
"Vieira","F","KA","KA14",0.8157894737,0.274744908140568,0.9473684211,0.5,1,0.158624046673436,0.336784080939984,0.9473684211
"Vieira","F","KA","KA15",0.7,0.476969600708473,0.95,0.15,1,0.275378527364305,0.681385143869247,0.15
"Vieira","F","KA","KA16",0.916666666666667,0.0763762615825973,0.9,0.85,1,0.0440958551844099,0.0833195580901062,1
"Vieira","F","KA","KA17",0.883333333333333,0.0577350269189626,0.85,0.85,0.95,0.0333333333333333,0.0653604078327878,0.85
"Vieira","F","KA","KA18",0.870833333333333,0.112036080497906,0.8125,0.8,1,0.0646840612344168,0.128653872342093,0.8125
"Vieira","F","KA","KA2",0.946393762166667,0.0526586458483948,0.9444444444,0.8947368421,1,0.0304024833557319,0.0556413703824912,0.9444444444
"Vieira","F","KA","KA23",0.931481481466667,0.0274049047801343,0.9444444444,0.9,0.95,0.0158222291519266,0.0294207725278487,0.9444444444
"Vieira","F","KA","KA24",0.783333333333333,0.0577350269189626,0.75,0.75,0.85,0.0333333333333333,0.073704289683782,0.75
"Vieira","F","KA","KA25",1,0,1,1,1,0,0,1
"Vieira","F","KA","KA28",0.9649122807,0.0607737125493151,1,0.8947368421,1,0.0350877193,0.062983665733041,1
