"Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Vieira","1","F","MU",0.91875,0.0985417573477177,0.95,0.65,1,0.0232265149502035,0.107256334528128,1
"Vieira","1","M","MU",0.947076023394444,0.0737057072185969,0.975,0.75,1,0.0173726017954734,0.0778244886344245,1
"Vieira","2","F","AK",0.92324561405,0.1047410296219,0.97368421055,0.75,1,0.0427603462845656,0.113448716168207,1
"Vieira","2","F","GI",0.93289473685,0.0681929395801683,0.95,0.8,1,0.0278396510053092,0.0730982144999849,0.95
"Vieira","2","F","MU",0.776896762611111,0.173730176296878,0.7647058824,0.5,1,0.057910058765626,0.22362067221516,0.7368421053
"Vieira","2","F","UM",0.807017543866667,0.0574062325146281,0.8,0.75,0.9,0.023435996286068,0.0711338098544641,0.8
"Vieira","2","M","AK",0.764473684216667,0.0330436525315405,0.7638888889,0.7222222222,0.8,0.0134900146566833,0.0432240549462463,0.8
"Vieira","2","M","GI",0.958333333333333,0.0801040989379861,1,0.8,1,0.032702361450581,0.0835868858483333,1
"Vieira","2","M","MU",0.827972709544444,0.232601925678416,0.9,0.3684210526,1,0.0775339752261388,0.280929459385679,1
"Vieira","2","M","UM",0.492483660133333,0.32588958881157,0.55833333335,0,0.8823529412,0.133043867512295,0.661726703223697,0
"Vieira","3","F","AK",0.660784313733333,0.191884060067784,0.55,0.55,0.8823529412,0.110784313733333,0.290388340158481,0.55
"Vieira","3","F","GI",0.6393762183,0.181482947123064,0.6111111111,0.4736842105,0.8333333333,0.104779228374828,0.283843755724288,0.6111111111
"Vieira","3","F","MU",0.901258934377778,0.135861089863991,0.91875,0.4,1,0.0320227659807411,0.150745900741377,1
"Vieira","3","F","UM",0.691666666666667,0.272794183711212,0.675,0.4,1,0.111367759148587,0.394401229461994,1
"Vieira","3","M","AK",0.15,0.1,0.15,0.05,0.25,0.0577350269189626,0.666666666666667,0.05
"Vieira","3","M","GI",0.216666666666667,0.256580071972344,0.15,0,0.5,0.148136573621926,1.18421571679543,0.5
"Vieira","3","M","MU",0.782163742694444,0.173095812494349,0.8,0.5,1,0.0407990742699164,0.221303805131721,0.5
"Vieira","3","M","UM",0.5818627451,0.409127760974302,0.625,0.1,1,0.167025708999067,0.703134483896178,0.9411764706
"Vieira","4","F","AK",0.870833333333333,0.138921713292928,0.9,0.65,1,0.0401032442829779,0.159527326269391,1
"Vieira","4","F","MU",0.845833333333333,0.128732162636109,0.9,0.6,1,0.0371617743756602,0.15219566025944,0.95
"Vieira","4","M","AK",0.768567251466667,0.202633765307729,0.81666666665,0.35,1,0.0584953294736624,0.263651313429034,0.9473684211
"Vieira","4","M","MU",0.796028265108333,0.25178843523216,0.9,0.2105263158,1,0.0726850604300611,0.316305898004631,0.9
"Vieira","5","F","AK",0.916799965608333,0.0966278495263631,0.94590643275,0.65,1,0.0278940574676302,0.105396872983352,1
"Vieira","5","F","GI",0.883333333333333,0.0763762615825973,0.9,0.8,0.95,0.0440958551844098,0.0864636923576573,0.8
"Vieira","5","F","MU",0.912962962966667,0.0325525848685709,0.9,0.8888888889,0.95,0.0187942436366876,0.035655975312286,0.9
"Vieira","5","M","AK",0.82208247335,0.113537084424121,0.82843137255,0.6,1,0.0327753331276358,0.138109116913119,0.9
"Vieira","5","M","GI",0.516666666666667,0.152752523165195,0.55,0.35,0.65,0.0881917103688197,0.295650044835861,0.55
"Vieira","5","M","MU",0.966666666666667,0.0577350269189626,1,0.9,1,0.0333333333333333,0.0597258899161682,1
"Vieira","6","F","AK",0.807245800375,0.24375839401155,0.8823529412,0.3,1,0.0703669871998996,0.301963037650136,1
"Vieira","6","M","AK",0.733504256966667,0.207384881899083,0.8,0.4,0.95,0.059866858695147,0.282731667784318,0.8
"Vieira","7","F","GI",0.95,0.0661437827766148,1,0.85,1,0.0220479275922049,0.0696250345016998,1
"Vieira","7","M","GI",0.742196995755556,0.338431090107888,0.9411764706,0.1052631579,1,0.112810363369296,0.455985529506712,1
"Vieira","8","F","AK",0.931372549016667,0.120073026620563,1,0.7058823529,1,0.0490196078486667,0.128920512793011,1
"Vieira","8","F","GI",0.8898499312,0.0441976748607076,0.88854489165,0.8333333333,0.9411764706,0.0180436252043615,0.0496686837982953,0.9375
"Vieira","8","M","AK",0.822033023733333,0.176549400318238,0.875,0.5263157895,1,0.0720759908623407,0.214771663936837,0.85
"Vieira","8","M","GI",0.76875,0.337430548409595,0.85,0.1,1,0.137755444538501,0.438934046711668,0.85
"Vieira","9","F","GI",0.755698529408333,0.192138193150051,0.75294117645,0.4,1,0.0554655187683951,0.254252437543426,1
"Vieira","9","M","GI",0.759978070183333,0.225597961926644,0.84868421055,0.3,0.95,0.0651245220234895,0.296847989142926,0.95
"Vieira","10","F","UM",0.742665692006667,0.246968129791853,0.8,0.2,1,0.0637668969151892,0.332542801491948,0.95
"Vieira","10","M","UM",0.67614035088,0.271973519008567,0.75,0.2,1,0.0702232606486403,0.402244177047845,0.45
"Vieira","11","F","UM",0.761111111111111,0.176383420737639,0.85,0.5,0.95,0.0587944735792131,0.23174464038522,0.95
"Vieira","11","M","UM",0.546296296288889,0.203138947750952,0.6,0.25,0.8333333333,0.0677129825836508,0.371847565379667,0.4
"Vieira","12","F","RE",0.833333333333333,0.115470053837925,0.85,0.55,0.95,0.0333333333333333,0.13856406460551,0.95
"Vieira","12","M","RE",0.79495614035,0.193603511679809,0.8197368421,0.3,1,0.0558885197921974,0.243539865727146,0.75
"Vieira","13","F","RE",0.805099759225,0.169287974758159,0.8073529412,0.4210526316,1,0.0488692288985949,0.210269563266443,0.9473684211
"Vieira","13","M","RE",0.653338206633333,0.234070008454477,0.71842105265,0.1666666667,1,0.0675701911952052,0.358267748737128,0.75
"Vieira","14","F","AK",0.809096816122222,0.13506821240216,0.7894736842,0.5555555556,1,0.0450227374673867,0.166937021269599,0.7894736842
"Vieira","14","M","AK",0.535250162444444,0.328128093179271,0.5789473684,0.1052631579,0.95,0.109376031059757,0.613036886678813,0.1052631579
"Vieira","15","F","RE",0.902573427033333,0.119850449095098,0.9444444444,0.6,1,0.0261535121453686,0.132787478010553,1
"Vieira","15","M","RE",0.791313601461905,0.135454376888446,0.8,0.3888888889,1,0.0295585683478276,0.171176606389934,0.8333333333
"Vieira","16","F","KA",0.8450718811,0.200074048656823,0.9210526316,0.3888888889,1,0.0577564029249375,0.23675388228087,1
"Vieira","16","F","RE",0.931578947366667,0.0593127772099748,0.9,0.8947368421,1,0.0342442478885633,0.0636690828808838,0.9
"Vieira","16","M","KA",0.505988418775,0.181054295936101,0.58359133125,0.2,0.7368421053,0.0522658732483229,0.357823003883041,0.6315789474
"Vieira","16","M","RE",0.820833333333333,0.0260208249933266,0.8125,0.8,0.85,0.0150231303144333,0.0317004974537989,0.8125
"Vieira","17","F","KA",0.927529813091667,0.0889861193945093,0.9428104575,0.7,1,0.0256880799932801,0.0959388238938632,1
"Vieira","17","F","UM",0.778477597183333,0.154128993594213,0.74166666665,0.55,1,0.0444932079707726,0.197987705942828,1
"Vieira","17","M","KA",0.77743664718,0.325154154885265,0.94868421055,0.05555555556,1,0.0938639194255665,0.418238780053266,1
"Vieira","17","M","UM",0.754656862741667,0.222932140172031,0.775,0.3,1,0.0643549655696708,0.295408617052947,1
"Vieira","18","F","UM",0.959876543211111,0.0562990374558794,1,0.85,1,0.0187663458186265,0.0586523734266285,1
"Vieira","18","M","UM",0.905912930477778,0.0809473994919085,0.9,0.7777777778,1,0.0269824664973028,0.0893545028099079,0.9
"Vieira","19","F","KA",0.932060543522222,0.16381710952695,1,0.5,1,0.0546057031756499,0.175758013431071,1
"Vieira","19","M","KA",0.853684592755556,0.172768703887775,0.8947368421,0.4705882353,1,0.0575895679625916,0.202380018749203,1
"Vieira","20","F","KA",0.808333333333333,0.327744819435284,0.925,0.15,1,0.133801262242842,0.405457508579732,1
"Vieira","20","M","KA",0.741666666666667,0.287083030962589,0.825,0.4,1,0.117201156611661,0.387078243994502,1
"Vieira","21","F","KA",0.905648960361111,0.0896348362925276,0.9222222222,0.75,1,0.0211271335243308,0.0989730460870703,1
"Vieira","21","M","KA",0.871003898638889,0.13620870058264,0.9,0.6315789474,1,0.0321046986128643,0.156381275440319,1
"Vieira","22","F","KA",0.9149122807,0.0770083517680178,0.8947368421,0.85,1,0.0444607926231145,0.0841702023161157,0.85
"Vieira","22","F","MA",0.608404999417778,0.28966161589432,0.65,0.05555555556,0.9,0.0965538719647734,0.476099992885522,0.65
"Vieira","22","M","KA",0.677777777766667,0.302459057548229,0.8,0.3333333333,0.9,0.174624818294311,0.446251068521096,0.9
"Vieira","22","M","MA",0.554191033144444,0.203770333373152,0.4736842105,0.3,0.9473684211,0.0679234444577173,0.367689697570479,0.45
"Vieira","23","F","MA",0.724074074066667,0.207136822068617,0.775,0.3529411765,0.9444444444,0.0845632535016301,0.286071314368791,0.3529411765
"Vieira","23","M","MA",0.594914574016667,0.16574173017141,0.59502923975,0.4210526316,0.8823529412,0.0676637780010011,0.278597528805483,0.6315789474
"Vieira","24","F","MA",0.94522417154,0.0483938214547753,0.95,0.85,1,0.0124952309702453,0.0511982478991518,1
"Vieira","24","M","MA",0.879512670566667,0.104931394169557,0.8947368421,0.6111111111,1,0.0270931694742013,0.11930629049602,1
"Vieira","25","F","MA",0.9274691358,0.0843289591767737,0.95,0.7,1,0.0198765262947668,0.0909237363505738,0.95
"Vieira","25","M","MA",0.604685768061111,0.235312045643446,0.5707236842,0.2,0.9444444444,0.055463581056453,0.389147650023185,0.45
"Vieira","26","F","MA",0.951041666666667,0.0960081574027894,1,0.7,1,0.0277151677604502,0.100950526951454,1
"Vieira","26","F","YE",0.947368421066667,0.0911605687951051,1,0.8421052632,1,0.0526315789333333,0.0962250448378521,1
"Vieira","26","M","MA",0.890789473683333,0.102778694707681,0.9,0.75,1,0.0296696535282189,0.115379332315974,1
"Vieira","26","M","YE",0.947368421066667,0.0911605687951051,1,0.8421052632,1,0.0526315789333333,0.0962250448378521,1
"Vieira","27","F","YE",0.87892853047619,0.188995391273765,0.95,0.3684210526,1,0.0412421755480869,0.215029305251213,1
"Vieira","27","M","YE",0.826740462261905,0.173558874284236,0.9,0.4666666667,1,0.0378736513780398,0.209931510802545,1
"Vieira","28","F","VA",0.951212590305555,0.0515167162167665,0.95,0.85,1,0.0121426064604462,0.0541589932069948,1
"Vieira","28","F","YE",0.812402534108333,0.124720009578702,0.84166666665,0.6,0.95,0.0360035655517981,0.153519966201965,0.85
