"Supervisor.PI","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Vieira","F","AK",0.858841374275,0.163929967148954,0.89444444445,0.3,1,0.0211632677570742,0.190873392991036,1
"Vieira","F","GI",0.849307154258974,0.156904057268718,0.9,0.4,1,0.0251247570149675,0.184743595390549,1
"Vieira","F","KA",0.892603055843333,0.161064936211576,0.94590643275,0.15,1,0.0207933938535131,0.180444078873785,1
"Vieira","F","MA",0.868423274277667,0.188997334380672,0.94868421055,0.05555555556,1,0.0243994509511313,0.217632737374382,1
"Vieira","F","MU",0.87735200952,0.133557542427687,0.9,0.4,1,0.0172422045860941,0.152228000823474,1
"Vieira","F","RE",0.862707831677083,0.13479778143477,0.9,0.4210526316,1,0.0194563838493821,0.156249632245399,1
"Vieira","F","UM",0.788819485936842,0.195490892550136,0.8235294118,0.2,1,0.0258934012694181,0.247827159490059,1
"Vieira","F","VA",0.928078202045,0.102337596782782,0.95,0.55,1,0.0132117269343534,0.110268290492421,1
"Vieira","F","YE",0.881333562665,0.145258886218801,0.95,0.3684210526,1,0.0187528415738018,0.164817150250767,1
"Vieira","M","AK",0.711268991518333,0.247578171611322,0.8,0.05,1,0.0319622045178377,0.348079523448395,0.8
"Vieira","M","GI",0.727231020615385,0.304205350082655,0.85,0,1,0.0487118410863657,0.418306344832809,1
"Vieira","M","KA",0.754094427251,0.252838208578627,0.85,0.05555555556,1,0.0326412723703313,0.335287199376783,1
"Vieira","M","MA",0.72206190517,0.225241826688844,0.7894736842,0.2,1,0.0290785947878411,0.311942542704582,1
"Vieira","M","MU",0.850506822613333,0.187362450273272,0.9,0.2105263158,1,0.0241883883204333,0.220295058536471,1
"Vieira","M","RE",0.75957537071875,0.182544820920932,0.7947368421,0.1666666667,1,0.0263480753744681,0.2403248287898,0.75
"Vieira","M","UM",0.679192089270175,0.276741283002786,0.75,0,1,0.0366552783872885,0.407456575797516,1
"Vieira","M","VA",0.789120585373333,0.170949648147814,0.8273026316,0.4,1,0.0220695046772167,0.216633111993825,1
"Vieira","M","YE",0.892437363836667,0.133293225453688,0.9473684211,0.4666666667,1,0.0172080814114802,0.149358633843667,1
