"Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Hoedjes","1","F","AK",0.459475,0.0560928046285122,0.4515,0.343,0.586,0.00512054906812772,0.122080210302002,0.497
"Hoedjes","1","F","GI",0.450094017094017,0.0529526435968617,0.452,0.317,0.611,0.00489547363230397,0.117647961505342,0.462
"Hoedjes","1","F","KA",0.445513513513514,0.0565405509933703,0.444,0.213,0.613,0.00536659160596093,0.126910967408075,0.416
"Hoedjes","1","F","MA",0.411441666666667,0.0467433176518103,0.4145,0.317,0.555,0.00426706158175432,0.11360861438878,0.395
"Hoedjes","1","F","MU",0.462866666666667,0.0608367333380853,0.455,0.256,0.627,0.00555360852903265,0.131434682424208,0.489
"Hoedjes","1","F","RE",0.483578947368421,0.070767912392638,0.48,0.304,0.673,0.00726063461371053,0.146342004294746,0.486
"Hoedjes","1","F","UM",0.441949494949495,0.0561927030155277,0.439,0.33,0.613,0.00564757914722357,0.127147340720345,0.435
"Hoedjes","1","F","VA",0.457295238095238,0.0816644075339769,0.427,0.309,0.645,0.00796963012697068,0.178581364359121,0.405
"Hoedjes","1","F","YE",0.429409638554217,0.0477506317528323,0.419,0.338,0.571,0.00524131275838984,0.111200651931345,0.409
"Hoedjes","1","M","AK",0.280575221238938,0.0306168153231353,0.277,0.198,0.409,0.00288018770979201,0.10912159380269,0.258
"Hoedjes","1","M","GI",0.2763125,0.0306509060313156,0.273,0.212,0.364,0.00289623838634539,0.110928409070584,0.291
"Hoedjes","1","M","KA",0.274319327731092,0.029611590943215,0.274,0.222,0.387,0.00271449009122594,0.107945696674506,0.283
"Hoedjes","1","M","MA",0.259041666666667,0.0330294993775512,0.258,0.198,0.414,0.00301516697869794,0.12750651199312,0.241
"Hoedjes","1","M","MU",0.282818965517241,0.0318950995657929,0.283,0.206,0.385,0.00296138565003033,0.112775674387539,0.285
"Hoedjes","1","M","RE",0.284261538461538,0.0368405673659643,0.278,0.222,0.412,0.00456950999535324,0.12960095679968,0.283
"Hoedjes","1","M","UM",0.275591666666667,0.0295428746498548,0.275,0.217,0.367,0.00269688314321216,0.107197996975676,0.268
"Hoedjes","1","M","VA",0.280777777777778,0.0392878981470117,0.277,0.168,0.423,0.0037804797618453,0.139925240729365,0.275
"Hoedjes","1","M","YE",0.268987951807229,0.0411225099997626,0.27,0.195,0.38,0.00451378187904258,0.152878631639358,0.282
"Hoedjes","2","F","AK",0.425641666666667,0.0483260626715371,0.4245,0.316,0.588,0.00441154577343488,0.113536964202762,0.443
"Hoedjes","2","F","GI",0.458381355932203,0.0567221326572659,0.4515,0.32,0.612,0.00522169555973406,0.123744414826626,0.411
"Hoedjes","2","F","KA",0.458440677966102,0.0592815305944601,0.466,0.304,0.6,0.00545730723754228,0.12931123576875,0.488
"Hoedjes","2","F","MA",0.449883333333333,0.0582866263590966,0.4445,0.313,0.576,0.00532081667629207,0.12955942583432,0.402
"Hoedjes","2","F","MU",0.43,0.0497608314930246,0.423,0.304,0.572,0.00464022146292815,0.115722863937267,0.405
"Hoedjes","2","F","RE",0.4517578125,0.0531125303799974,0.456,0.31,0.583,0.00469452879970908,0.117568592972584,0.46
"Hoedjes","2","F","UM",0.466100775193798,0.054819283354668,0.458,0.317,0.621,0.00482656877137386,0.117612512727263,0.439
