"Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Bergland","F","AK","AK1",0.0833333333333333,NA,0.0833333333333333,0.0833333333333333,0.0833333333333333,NA,NA,0.0833333333333333
"Bergland","F","AK","AK10",0.142857142857143,NA,0.142857142857143,0.142857142857143,0.142857142857143,NA,NA,0.142857142857143
"Bergland","F","AK","AK11",0.117647058823529,NA,0.117647058823529,0.117647058823529,0.117647058823529,NA,NA,0.117647058823529
"Bergland","F","AK","AK12",0.304347826086957,NA,0.304347826086957,0.304347826086957,0.304347826086957,NA,NA,0.304347826086957
"Bergland","F","AK","AK14",0.208333333333333,NA,0.208333333333333,0.208333333333333,0.208333333333333,NA,NA,0.208333333333333
"Bergland","F","AK","AK15",0,NA,0,0,0,NA,NA,0
"Bergland","F","AK","AK16",0.0416666666666667,NA,0.0416666666666667,0.0416666666666667,0.0416666666666667,NA,NA,0.0416666666666667
"Bergland","F","AK","AK17",0,NA,0,0,0,NA,NA,0
"Bergland","F","AK","AK18",0,NA,0,0,0,NA,NA,0
"Bergland","F","AK","AK2",0,NA,0,0,0,NA,NA,0
"Bergland","F","AK","AK20",0.0833333333333333,NA,0.0833333333333333,0.0833333333333333,0.0833333333333333,NA,NA,0.0833333333333333
"Bergland","F","AK","AK4",0.181818181818182,NA,0.181818181818182,0.181818181818182,0.181818181818182,NA,NA,0.181818181818182
"Bergland","F","AK","AK5",0.157894736842105,NA,0.157894736842105,0.157894736842105,0.157894736842105,NA,NA,0.157894736842105
"Bergland","F","AK","AK6",0,NA,0,0,0,NA,NA,0
"Bergland","F","AK","AK7",0.105263157894737,NA,0.105263157894737,0.105263157894737,0.105263157894737,NA,NA,0.105263157894737
"Bergland","F","AK","AK8",0.25,NA,0.25,0.25,0.25,NA,NA,0.25
"Bergland","F","AK","AK9",0.375,NA,0.375,0.375,0.375,NA,NA,0.375
"Bergland","F","AK","AK21",0,NA,0,0,0,NA,NA,0
"Bergland","F","GI","GI1",0,NA,0,0,0,NA,NA,0
"Bergland","F","GI","GI10",0.111111111111111,NA,0.111111111111111,0.111111111111111,0.111111111111111,NA,NA,0.111111111111111
"Bergland","F","GI","GI11",0,NA,0,0,0,NA,NA,0
"Bergland","F","GI","GI12",0.578947368421053,NA,0.578947368421053,0.578947368421053,0.578947368421053,NA,NA,0.578947368421053
"Bergland","F","GI","GI13",0.15,NA,0.15,0.15,0.15,NA,NA,0.15
"Bergland","F","GI","GI15",0.105263157894737,NA,0.105263157894737,0.105263157894737,0.105263157894737,NA,NA,0.105263157894737
"Bergland","F","GI","GI2",0.454545454545455,NA,0.454545454545455,0.454545454545455,0.454545454545455,NA,NA,0.454545454545455
"Bergland","F","GI","GI3",0.409090909090909,NA,0.409090909090909,0.409090909090909,0.409090909090909,NA,NA,0.409090909090909
"Bergland","F","GI","GI4",0.0434782608695652,NA,0.0434782608695652,0.0434782608695652,0.0434782608695652,NA,NA,0.0434782608695652
"Bergland","F","GI","GI5",0,0,0,0,0,0,NA,0
"Bergland","F","GI","GI7",0.4375,NA,0.4375,0.4375,0.4375,NA,NA,0.4375
"Bergland","F","GI","GI8",0.142857142857143,NA,0.142857142857143,0.142857142857143,0.142857142857143,NA,NA,0.142857142857143
"Bergland","F","GI","GI9",0.125,NA,0.125,0.125,0.125,NA,NA,0.125
"Bergland","F","GI","GI14",0,NA,0,0,0,NA,NA,0
"Bergland","F","GI","GI6",0.0434782608695652,NA,0.0434782608695652,0.0434782608695652,0.0434782608695652,NA,NA,0.0434782608695652
"Bergland","F","KA","KA1",0.208465608465608,0.208809106521536,0.133333333333333,0.0476190476190476,0.444444444444444,0.120555993859454,1.00164774448148,0.444444444444444
"Bergland","F","KA","KA10",0.161387631975867,0.154399678530745,0.176470588235294,0,0.307692307692308,0.0891426959625171,0.956700811830688,0.307692307692308
"Bergland","F","KA","KA11",0.105263157894737,NA,0.105263157894737,0.105263157894737,0.105263157894737,NA,NA,0.105263157894737
"Bergland","F","KA","KA13",0.08,NA,0.08,0.08,0.08,NA,NA,0.08
"Bergland","F","KA","KA14",0.277777777777778,NA,0.277777777777778,0.277777777777778,0.277777777777778,NA,NA,0.277777777777778
"Bergland","F","KA","KA15",0.0714285714285714,NA,0.0714285714285714,0.0714285714285714,0.0714285714285714,NA,NA,0.0714285714285714
"Bergland","F","KA","KA16",0.111111111111111,NA,0.111111111111111,0.111111111111111,0.111111111111111,NA,NA,0.111111111111111
"Bergland","F","KA","KA17",0.166666666666667,NA,0.166666666666667,0.166666666666667,0.166666666666667,NA,NA,0.166666666666667
"Bergland","F","KA","KA18",0.142857142857143,NA,0.142857142857143,0.142857142857143,0.142857142857143,NA,NA,0.142857142857143
"Bergland","F","KA","KA2",0.363636363636364,NA,0.363636363636364,0.363636363636364,0.363636363636364,NA,NA,0.363636363636364
"Bergland","F","KA","KA23",0.105263157894737,NA,0.105263157894737,0.105263157894737,0.105263157894737,NA,NA,0.105263157894737
"Bergland","F","KA","KA24",0.128815628815629,0.04649033299999,0.142857142857143,0.0769230769230769,0.166666666666667,0.0268412062722596,0.360905997412245,0.166666666666667
"Bergland","F","KA","KA25",0.0833333333333333,NA,0.0833333333333333,0.0833333333333333,0.0833333333333333,NA,NA,0.0833333333333333
"Bergland","F","KA","KA28",0.272727272727273,NA,0.272727272727273,0.272727272727273,0.272727272727273,NA,NA,0.272727272727273
"Bergland","F","KA","KA29",0.19047619047619,NA,0.19047619047619,0.19047619047619,0.19047619047619,NA,NA,0.19047619047619
"Bergland","F","KA","KA3",0.142857142857143,NA,0.142857142857143,0.142857142857143,0.142857142857143,NA,NA,0.142857142857143
"Bergland","F","KA","KA5",0,NA,0,0,0,NA,NA,0
"Bergland","F","KA","KA6",0.166666666666667,NA,0.166666666666667,0.166666666666667,0.166666666666667,NA,NA,0.166666666666667
"Bergland","F","KA","KA7",0.142857142857143,NA,0.142857142857143,0.142857142857143,0.142857142857143,NA,NA,0.142857142857143
"Bergland","F","KA","KA9",0.142857142857143,NA,0.142857142857143,0.142857142857143,0.142857142857143,NA,NA,0.142857142857143
"Bergland","F","MA","MA12",0.0526315789473684,NA,0.0526315789473684,0.0526315789473684,0.0526315789473684,NA,NA,0.0526315789473684
"Bergland","F","MA","MA13",0.08,NA,0.08,0.08,0.08,NA,NA,0.08
"Bergland","F","MA","MA18",0.5,NA,0.5,0.5,0.5,NA,NA,0.5
"Bergland","F","MA","MA19",0.285714285714286,NA,0.285714285714286,0.285714285714286,0.285714285714286,NA,NA,0.285714285714286
"Bergland","F","MA","MA20",0,NA,0,0,0,NA,NA,0
"Bergland","F","MA","MA21",0.15,NA,0.15,0.15,0.15,NA,NA,0.15
"Bergland","F","MA","MA23",0.0588235294117647,NA,0.0588235294117647,0.0588235294117647,0.0588235294117647,NA,NA,0.0588235294117647
"Bergland","F","MA","MA26",0.227272727272727,NA,0.227272727272727,0.227272727272727,0.227272727272727,NA,NA,0.227272727272727
"Bergland","F","MA","MA27",0.0869565217391304,NA,0.0869565217391304,0.0869565217391304,0.0869565217391304,NA,NA,0.0869565217391304
"Bergland","F","MA","MA28",0,NA,0,0,0,NA,NA,0
"Bergland","F","MA","MA3",0,NA,0,0,0,NA,NA,0
"Bergland","F","MA","MA30",0.2,NA,0.2,0.2,0.2,NA,NA,0.2
"Bergland","F","MA","MA31",0.1,NA,0.1,0.1,0.1,NA,NA,0.1
"Bergland","F","MA","MA32",0.0367063492063492,0.0326477830791753,0.0476190476190476,0,0.0625,0.0188492063492063,0.889431495778613,0.0625
"Bergland","F","MA","MA33",0.0909090909090909,NA,0.0909090909090909,0.0909090909090909,0.0909090909090909,NA,NA,0.0909090909090909
"Bergland","F","MA","MA5",0.346153846153846,NA,0.346153846153846,0.346153846153846,0.346153846153846,NA,NA,0.346153846153846
"Bergland","F","MA","MA6",0.5,NA,0.5,0.5,0.5,NA,NA,0.5
"Bergland","F","MA","MA7",0.476190476190476,NA,0.476190476190476,0.476190476190476,0.476190476190476,NA,NA,0.476190476190476
"Bergland","F","MA","MA9",0.153846153846154,NA,0.153846153846154,0.153846153846154,0.153846153846154,NA,NA,0.153846153846154
"Bergland","F","MU","MU1",0.368421052631579,NA,0.368421052631579,0.368421052631579,0.368421052631579,NA,NA,0.368421052631579
"Bergland","F","MU","MU10",0.272727272727273,NA,0.272727272727273,0.272727272727273,0.272727272727273,NA,NA,0.272727272727273
"Bergland","F","MU","MU11",0.0833333333333333,NA,0.0833333333333333,0.0833333333333333,0.0833333333333333,NA,NA,0.0833333333333333
"Bergland","F","MU","MU12",0.4,NA,0.4,0.4,0.4,NA,NA,0.4
"Bergland","F","MU","MU13",0.24,NA,0.24,0.24,0.24,NA,NA,0.24
"Bergland","F","MU","MU14",0,NA,0,0,0,NA,NA,0
"Bergland","F","MU","MU15",0.0588235294117647,NA,0.0588235294117647,0.0588235294117647,0.0588235294117647,NA,NA,0.0588235294117647
"Bergland","F","MU","MU16",0.13030303030303,0.0379695881398232,0.133333333333333,0.0909090909090909,0.166666666666667,0.0219217519335462,0.291394513631202,0.0909090909090909
"Bergland","F","MU","MU17",0.363636363636364,NA,0.363636363636364,0.363636363636364,0.363636363636364,NA,NA,0.363636363636364
"Bergland","F","MU","MU19",0,NA,0,0,0,NA,NA,0
"Bergland","F","MU","MU2",0.166666666666667,NA,0.166666666666667,0.166666666666667,0.166666666666667,NA,NA,0.166666666666667
"Bergland","F","MU","MU20",0.126984126984127,0.18028280462858,0.0476190476190476,0,0.333333333333333,0.104086325782571,1.41972708645007,0
"Bergland","F","MU","MU3",0.244444444444444,0.167774098561572,0.266666666666667,0.0666666666666667,0.4,0.0968644209675705,0.686348585024614,0.266666666666667
"Bergland","F","MU","MU4",0,NA,0,0,0,NA,NA,0
"Bergland","F","MU","MU5",0.0588235294117647,NA,0.0588235294117647,0.0588235294117647,0.0588235294117647,NA,NA,0.0588235294117647
"Bergland","F","MU","MU6",0.115384615384615,NA,0.115384615384615,0.115384615384615,0.115384615384615,NA,NA,0.115384615384615
"Bergland","F","MU","MU8",0.210526315789474,NA,0.210526315789474,0.210526315789474,0.210526315789474,NA,NA,0.210526315789474
"Bergland","F","MU","MU9",0.526315789473684,NA,0.526315789473684,0.526315789473684,0.526315789473684,NA,NA,0.526315789473684
"Bergland","F","RE","RE10",0.1,NA,0.1,0.1,0.1,NA,NA,0.1
"Bergland","F","RE","RE11",0,NA,0,0,0,NA,NA,0
"Bergland","F","RE","RE12",0,NA,0,0,0,NA,NA,0
"Bergland","F","RE","RE13",0.2,NA,0.2,0.2,0.2,NA,NA,0.2
"Bergland","F","RE","RE15",0.29030303030303,0.250159177974882,0.28,0.0454545454545455,0.545454545454545,0.144429468744054,0.86171741891139,0.545454545454545
"Bergland","F","RE","RE16",0.0454545454545455,NA,0.0454545454545455,0.0454545454545455,0.0454545454545455,NA,NA,0.0454545454545455
"Bergland","F","RE","RE17",0,NA,0,0,0,NA,NA,0
"Bergland","F","RE","RE18",0.0833333333333333,NA,0.0833333333333333,0.0833333333333333,0.0833333333333333,NA,NA,0.0833333333333333
"Bergland","F","RE","RE2",0.136363636363636,NA,0.136363636363636,0.136363636363636,0.136363636363636,NA,NA,0.136363636363636
"Bergland","F","RE","RE3",0.181818181818182,NA,0.181818181818182,0.181818181818182,0.181818181818182,NA,NA,0.181818181818182
