"Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Bergland","1","F","AK","AK10",0.857142857142857,NA,0.857142857142857,0.857142857142857,0.857142857142857,NA,NA,0.857142857142857
"Bergland","1","F","AK","AK18",0.454545454545455,NA,0.454545454545455,0.454545454545455,0.454545454545455,NA,NA,0.454545454545455
"Bergland","1","F","AK","AK4",0.181818181818182,NA,0.181818181818182,0.181818181818182,0.181818181818182,NA,NA,0.181818181818182
"Bergland","1","F","AK","AK6",0.411764705882353,NA,0.411764705882353,0.411764705882353,0.411764705882353,NA,NA,0.411764705882353
"Bergland","1","F","AK","AK21",0.916666666666667,NA,0.916666666666667,0.916666666666667,0.916666666666667,NA,NA,0.916666666666667
"Bergland","1","F","GI","GI12",0.736842105263158,NA,0.736842105263158,0.736842105263158,0.736842105263158,NA,NA,0.736842105263158
"Bergland","1","F","GI","GI3",0.818181818181818,NA,0.818181818181818,0.818181818181818,0.818181818181818,NA,NA,0.818181818181818
"Bergland","1","F","GI","GI5",0,NA,0,0,0,NA,NA,0
"Bergland","1","F","GI","GI7",0.8125,NA,0.8125,0.8125,0.8125,NA,NA,0.8125
"Bergland","1","F","GI","GI8",0.857142857142857,NA,0.857142857142857,0.857142857142857,0.857142857142857,NA,NA,0.857142857142857
"Bergland","1","F","KA","KA1",0.888888888888889,NA,0.888888888888889,0.888888888888889,0.888888888888889,NA,NA,0.888888888888889
"Bergland","1","F","KA","KA10",0.461538461538462,NA,0.461538461538462,0.461538461538462,0.461538461538462,NA,NA,0.461538461538462
"Bergland","1","F","KA","KA14",0.833333333333333,NA,0.833333333333333,0.833333333333333,0.833333333333333,NA,NA,0.833333333333333
"Bergland","1","F","KA","KA15",0.928571428571429,NA,0.928571428571429,0.928571428571429,0.928571428571429,NA,NA,0.928571428571429
"Bergland","1","F","KA","KA17",0.75,NA,0.75,0.75,0.75,NA,NA,0.75
"Bergland","1","F","KA","KA24",0.666666666666667,NA,0.666666666666667,0.666666666666667,0.666666666666667,NA,NA,0.666666666666667
"Bergland","1","F","KA","KA28",0.818181818181818,NA,0.818181818181818,0.818181818181818,0.818181818181818,NA,NA,0.818181818181818
"Bergland","1","F","KA","KA29",0.571428571428571,NA,0.571428571428571,0.571428571428571,0.571428571428571,NA,NA,0.571428571428571
"Bergland","1","F","MA","MA19",0.904761904761905,NA,0.904761904761905,0.904761904761905,0.904761904761905,NA,NA,0.904761904761905
"Bergland","1","F","MA","MA21",0.6,NA,0.6,0.6,0.6,NA,NA,0.6
"Bergland","1","F","MA","MA31",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"Bergland","1","F","MA","MA32",0.875,NA,0.875,0.875,0.875,NA,NA,0.875
"Bergland","1","F","MA","MA6",0.5,NA,0.5,0.5,0.5,NA,NA,0.5
"Bergland","1","F","MA","MA7",0.666666666666667,NA,0.666666666666667,0.666666666666667,0.666666666666667,NA,NA,0.666666666666667
"Bergland","1","F","MA","MA9",0.384615384615385,NA,0.384615384615385,0.384615384615385,0.384615384615385,NA,NA,0.384615384615385
"Bergland","1","F","MU","MU1",0.894736842105263,NA,0.894736842105263,0.894736842105263,0.894736842105263,NA,NA,0.894736842105263
"Bergland","1","F","MU","MU10",0.727272727272727,NA,0.727272727272727,0.727272727272727,0.727272727272727,NA,NA,0.727272727272727
"Bergland","1","F","MU","MU14",0.25,NA,0.25,0.25,0.25,NA,NA,0.25
"Bergland","1","F","MU","MU15",0.529411764705882,NA,0.529411764705882,0.529411764705882,0.529411764705882,NA,NA,0.529411764705882
"Bergland","1","F","MU","MU16",0.545454545454545,NA,0.545454545454545,0.545454545454545,0.545454545454545,NA,NA,0.545454545454545
"Bergland","1","F","MU","MU17",1,NA,1,1,1,NA,NA,1
"Bergland","1","F","MU","MU2",1,NA,1,1,1,NA,NA,1
"Bergland","1","F","MU","MU20",1,NA,1,1,1,NA,NA,1
"Bergland","1","F","MU","MU3",0.533333333333333,NA,0.533333333333333,0.533333333333333,0.533333333333333,NA,NA,0.533333333333333
"Bergland","1","F","MU","MU4",0,NA,0,0,0,NA,NA,0
"Bergland","1","F","MU","MU5",0.764705882352941,NA,0.764705882352941,0.764705882352941,0.764705882352941,NA,NA,0.764705882352941
"Bergland","1","F","MU","MU8",0.842105263157895,NA,0.842105263157895,0.842105263157895,0.842105263157895,NA,NA,0.842105263157895
"Bergland","1","F","RE","RE10",0.5,NA,0.5,0.5,0.5,NA,NA,0.5
"Bergland","1","F","RE","RE12",0,NA,0,0,0,NA,NA,0
"Bergland","1","F","RE","RE13",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"Bergland","1","F","RE","RE15",0.727272727272727,NA,0.727272727272727,0.727272727272727,0.727272727272727,NA,NA,0.727272727272727
"Bergland","1","F","RE","RE2",0.681818181818182,NA,0.681818181818182,0.681818181818182,0.681818181818182,NA,NA,0.681818181818182
