"Supervisor.PI","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Bergland","F","AK",0.537875540850369,0.239531080021567,0.492324561403509,0.181818181818182,0.916666666666667,0.0564580169960626,0.445328076533976,0.916666666666667
"Bergland","F","GI",0.545090174102792,0.273867961630673,0.608695652173913,0,0.857142857142857,0.0664227372515216,0.502426891259697,0.736842105263158
"Bergland","F","KA",0.614502245095541,0.244186414706307,0.666666666666667,0.0625,1,0.0478888959054508,0.397372697423329,0.666666666666667
"Bergland","F","MA",0.679009169706726,0.245146323059483,0.714285714285714,0.227272727272727,1,0.0534953134171515,0.361035364464026,1
"Bergland","F","MU",0.70324294656725,0.2444781103312,0.771241830065359,0,1,0.049903885299274,0.347643885409124,1
"Bergland","F","RE",0.57206463267125,0.290003649003216,0.600909090909091,0,1,0.0725009122508041,0.506942104861556,0.5
"Bergland","F","UM",0.776435877872189,0.228630053837814,0.857142857142857,0.181818181818182,1,0.0498911679930292,0.29446095982114,1
"Bergland","F","VA",0.758500504405374,0.24965623504397,0.784615384615385,0.05,1,0.0532268881540191,0.329144454873749,1
"Bergland","F","YE",0.698183730557003,0.178053751674795,0.707107843137255,0.391304347826087,1,0.0363450698659561,0.255024206211086,0.75
"Flatt","F","AK",0.950056104026692,0.0786111245351701,1,0.733333333333333,1,0.0175779818248342,0.0827436655603673,1
"Flatt","F","GI",0.942255661005661,0.10533144097468,1,0.6875,1,0.0281510117273182,0.111786477209657,1
"Flatt","F","KA",0.971464646464646,0.0649064623131621,1,0.777777777777778,1,0.0145135261911259,0.0668129947387892,1
"Flatt","F","MA",0.941102756892231,0.105160503444956,1,0.666666666666667,1,0.0241254740720224,0.111741786616611,1
"Flatt","F","MU",0.984242059396858,0.0308373302071761,1,0.888888888888889,1,0.00689543665878534,0.0313310429205526,1
"Flatt","F","RE",0.959911656970481,0.0630649123471822,1,0.8,1,0.0168548067950061,0.0656986628813506,1
"Flatt","F","UM",0.9872557997558,0.0276971552027739,1,0.923076923076923,1,0.00692428880069347,0.028054689787211,1
"Flatt","F","VA",0.931506667352256,0.13449475292704,1,0.454545454545455,1,0.0300739410161901,0.144384101199546,1
"Flatt","F","YE",0.956325549450549,0.0903625555074383,1,0.642857142857143,1,0.020205681673523,0.0944893248531899,1
"Schlotterer","F","AK",0.528666666666667,0.28881623017901,0.6,0,0.933333333333333,0.057763246035802,0.546310649771141,0.6
"Schlotterer","F","GI",0.608906006274427,0.280580836645508,0.666666666666667,0.0666666666666667,1,0.0643696585490454,0.460794989299306,0.666666666666667
"Schlotterer","F","KA",0.7046875,0.273544988362449,0.766666666666667,0.0666666666666667,1,0.0558371369319636,0.388179140913454,1
"Schlotterer","F","MA",0.730758574758575,0.254958544436311,0.8,0.2,1,0.0509917088872621,0.348895727320809,0.866666666666667
"Schlotterer","F","MU",0.730555555555556,0.20965042601248,0.8,0.266666666666667,1,0.0427947140073077,0.286973967165371,0.866666666666667
"Schlotterer","F","RE",0.701785714285714,0.216534060240282,0.7,0.2,1,0.0541335150600705,0.308547261411089,0.666666666666667
"Schlotterer","F","UM",0.813316095669037,0.239947603501634,0.933333333333333,0.266666666666667,1,0.0581958419912391,0.295023797978881,1
"Schlotterer","F","VA",0.714814814814815,0.271337096428649,0.766666666666667,0.133333333333333,1,0.0639547669573885,0.37959075666184,1
"Schlotterer","F","YE",0.707454890788224,0.20810708000625,0.733333333333333,0.333333333333333,1,0.0400502262206251,0.294163038118775,0.866666666666667
