"Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Vieira","1","F","MU","MU1",318.75,33.6323707703808,330,240,420,4.49431459027554,0.10551332006394,330
"Vieira","1","F","MU","MU10",345.818181818182,56.2300469661744,360,180,420,7.58205798617929,0.162600030659285,330
"Vieira","1","F","MU","MU2",299.454545454545,71.0612198720017,300,150,420,9.58189293283475,0.237302191436557,300
"Vieira","1","F","MU","MU3",337.368421052632,68.0998824151878,330,120,420,9.02004977712411,0.201856125723646,420
"Vieira","1","F","MU","MU5",399.473684210526,38.5181336066709,420,270,420,5.10185142957901,0.0964222053394925,420
"Vieira","1","F","MU","MU6",395.263157894737,46.449098990104,420,180,420,6.152333456891,0.11751436495499,420
"Vieira","1","M","MU","MU1",306.101694915254,53.0782424790416,300,210,420,6.91019858512253,0.173400681409937,270
"Vieira","1","M","MU","MU10",277.777777777778,61.449984775676,270,30,420,8.36228374456672,0.221219945192434,270
"Vieira","1","M","MU","MU2",259.8,54.4167591231726,270,150,390,7.69569187723805,0.209456347664252,270
"Vieira","1","M","MU","MU3",305.593220338983,45.4203048335736,300,150,360,5.9132200227,0.148629949261278,270
"Vieira","1","M","MU","MU5",366.428571428571,48.7825815198443,375,240,420,6.51884666034384,0.13312985210094,420
"Vieira","1","M","MU","MU6",386.470588235294,41.416109397758,390,210,420,5.79941531476058,0.107164971044427,420
"Vieira","2","F","AK","AK2",407,33.7638860322683,420,210,420,4.35889894354067,0.0829579509392341,420
"Vieira","2","F","AK","AK3",405.272727272727,38.2416558535878,420,270,420,5.1565038233711,0.0943602993246894,420
"Vieira","2","F","GI","GI2",327.222222222222,62.5682017818463,330,180,420,8.5144538049456,0.191210124290872,390
"Vieira","2","F","GI","GI3",390.5,45.3769522622462,420,240,420,5.85813934711095,0.116202182489747,420
"Vieira","2","F","MU","MU14",390,42.4264068711929,420,270,420,5.88348405414552,0.108785658644084,420
"Vieira","2","F","MU","MU18",350.689655172414,55.1190758511609,360,210,420,7.23748923254041,0.157173372633595,420
"Vieira","2","F","MU","MU20",288.461538461538,85.2995785426136,300,120,420,11.8289232388793,0.295705205614394,270
"Vieira","2","F","UM","UM2",403.965517241379,42.8763892485238,420,150,420,5.62994572612862,0.106138735655757,420
"Vieira","2","F","UM","UM5",403.636363636364,60.7777870108759,420,30,420,8.19527512871055,0.150575598450368,420
"Vieira","2","M","AK","AK2",379.615384615385,53.0985594303147,420,240,420,7.36344533381814,0.139874624639127,420
"Vieira","2","M","AK","AK3",340,49.5335384216737,360,150,420,6.56087743994314,0.145686877710805,360
"Vieira","2","M","GI","GI2",247.777777777778,54.4151292317511,240,30,360,7.40496116141086,0.21961262918644,240
"Vieira","2","M","GI","GI3",287.142857142857,65.6911308726275,270,150,420,8.77834660982502,0.228775082640991,360
"Vieira","2","M","MU","MU14",317.307692307692,63.8047076945103,315,30,390,8.84812096955956,0.201081503037245,300
"Vieira","2","M","MU","MU18",265.714285714286,42.5913838003178,270,210,360,5.69151306462083,0.160290154087218,270
"Vieira","2","M","MU","MU20",241.636363636364,47.7556913949119,240,150,360,6.43937611405732,0.197634539256595,210
"Vieira","2","M","UM","UM2",312.692307692308,49.4723287527199,300,240,420,6.86057761671319,0.158214089492093,270
"Vieira","2","M","UM","UM5",272.181818181818,41.575050793533,270,150,360,5.60597870538045,0.152747347604831,240
"Vieira","3","F","AK","AK9",402.321428571429,40.7650060012962,420,180,420,5.44745306523693,0.101324471197185,420
"Vieira","3","F","GI","GI7",354.310344827586,55.7598883989645,360,150,420,7.32163204232425,0.157375840736737,360
"Vieira","3","F","MU","MU11",297.446808510638,60.9157681131114,270,210,420,8.88547799790671,0.204795500809459,270
"Vieira","3","F","MU","MU12",354.210526315789,47.5825361278789,330,180,420,6.30246087325921,0.134334054447206,330
"Vieira","3","F","MU","MU13",360.535714285714,44.8601723685394,360,270,420,5.99469268981063,0.124426431532353,390
"Vieira","3","F","MU","MU15",361.636363636364,62.8273246865783,390,150,420,8.4716347325249,0.173730661526486,420
"Vieira","3","F","MU","MU17",354.827586206897,53.0554618551934,330,210,420,6.96652343993052,0.149524625247872,330
"Vieira","3","F","MU","MU19",365.593220338983,59.6041883057604,390,180,420,7.7598043654229,0.163034172927207,420
"Vieira","3","F","UM","UM6",401.578947368421,37.9280085765977,420,210,420,5.02368745987441,0.094447203532812,420
"Vieira","3","F","UM","UM7",418.392857142857,8.89878147210682,420,360,420,1.18914969387127,0.0212689612649587,420
"Vieira","3","M","AK","AK9",369.642857142857,50.8818340762304,390,270,420,6.79937108299762,0.137651338563715,420
"Vieira","3","M","GI","GI7",315.818181818182,77.6433181187206,300,180,420,10.4694228793662,0.245848157543445,270
"Vieira","3","M","MU","MU11",204.827586206897,31.3576639005436,210,120,300,4.11746298959447,0.153092971905011,210
"Vieira","3","M","MU","MU12",322.372881355932,53.8945004887693,330,210,420,7.01646632648836,0.167180627173364,330
"Vieira","3","M","MU","MU13",303.050847457627,59.6615233627091,330,180,420,7.76726875404808,0.196869679999991,330
"Vieira","3","M","MU","MU15",308.135593220339,65.1648989572418,330,120,420,8.48374722941874,0.211481245240774,330
"Vieira","3","M","MU","MU17",315.535714285714,68.8851387286281,300,210,420,9.20516386296139,0.218311701686654,270
"Vieira","3","M","MU","MU19",309.152542372881,63.3351276828058,300,180,420,8.24553129985592,0.204866915202058,360
"Vieira","3","M","UM","UM6",316.363636363636,46.1223668871484,300,180,420,6.21913868235893,0.145789090735239,300
"Vieira","3","M","UM","UM7",266.315789473684,49.4480816812431,270,150,420,6.54955841816017,0.18567461500862,270
"Vieira","4","F","AK","AK14",407.368421052632,24.0183200754782,420,330,420,3.18130421023158,0.0589597004436804,420
"Vieira","4","F","AK","AK15",320.357142857143,71.0176491691079,315,210,420,9.49013255731832,0.221682739881273,300
"Vieira","4","F","AK","AK18",398.035714285714,35.9504529169671,420,210,420,4.80408134695138,0.0903196663683336,420
"Vieira","4","F","AK","AK19",369,68.1648052734408,390,60,420,8.80003852071692,0.18472846957572,420
"Vieira","4","F","MU","MU4",342,85.9601799810405,360,180,420,11.0974115167854,0.251345555500119,420
"Vieira","4","F","MU","MU7",364.5,50.2679262231859,360,210,420,6.4895613703594,0.13790926261505,420
"Vieira","4","F","MU","MU8",337,54.2217668469038,330,240,420,7,0.160895450584284,330
"Vieira","4","F","MU","MU9",334.5,74.6840803947319,330,120,420,9.64167331985375,0.22327079340727,420
"Vieira","4","M","AK","AK14",330.576923076923,84.5382721435302,345,90,420,11.7233490366395,0.255729502702942,420
"Vieira","4","M","AK","AK15",334,67.0744590052537,330,180,420,8.65927542277399,0.200821733548664,420
