"Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Vieira","F","AK","AK1",340.677966101695,66.562503858628,360,150,420,8.66569988951166,0.195382474012888,360
"Vieira","F","AK","AK10",366,58.7083185474313,390,210,420,7.91622805802528,0.160405241932872,420
"Vieira","F","AK","AK11",413,20.1939746005954,420,330,420,2.60703091072805,0.0488958222774707,420
"Vieira","F","AK","AK12",401.25,32.1396102256164,420,300,420,4.29483607173974,0.0800987170731873,420
"Vieira","F","AK","AK13",401.538461538462,61.7834489983826,420,30,420,8.56782282071857,0.153866827007466,420
"Vieira","F","AK","AK14",407.368421052632,24.0183200754782,420,330,420,3.18130421023158,0.0589597004436804,420
"Vieira","F","AK","AK15",320.357142857143,71.0176491691079,315,210,420,9.49013255731832,0.221682739881273,300
"Vieira","F","AK","AK16",401.785714285714,57.9688675962332,420,30,420,7.74641577301308,0.144278070461736,420
"Vieira","F","AK","AK17",390.508474576271,48.0812433431797,420,240,420,6.25964470945256,0.123124711686094,420
"Vieira","F","AK","AK18",398.035714285714,35.9504529169671,420,210,420,4.80408134695138,0.0903196663683336,420
"Vieira","F","AK","AK19",369,68.1648052734408,390,60,420,8.80003852071692,0.18472846957572,420
"Vieira","F","AK","AK2",407,33.7638860322683,420,210,420,4.35889894354067,0.0829579509392341,420
"Vieira","F","AK","AK20",320.588235294118,65.3119212611567,330,120,420,9.14549825916032,0.203725258979755,300
"Vieira","F","AK","AK3",405.272727272727,38.2416558535878,420,270,420,5.1565038233711,0.0943602993246894,420
"Vieira","F","AK","AK4",418.448275862069,8.74627221603301,420,360,420,1.1484418055074,0.0209016806151592,420
"Vieira","F","AK","AK5",405.263157894737,22.0474539474269,420,360,420,2.92025661442683,0.0544028084417027,420
"Vieira","F","AK","AK6",420,0,420,420,420,0,0,420
"Vieira","F","AK","AK7",405.254237288136,29.1462384278735,420,300,420,3.79451704011229,0.0719208727413021,420
"Vieira","F","AK","AK8",411,22.2999581971182,420,330,420,2.87891222395202,0.0542578058324044,420
"Vieira","F","AK","AK9",402.321428571429,40.7650060012962,420,180,420,5.44745306523693,0.101324471197185,420
"Vieira","F","GI","GI1",352.909090909091,48.9774221329367,360,180,420,6.60411425316602,0.138781979253556,390
"Vieira","F","GI","GI10",405.576923076923,30.577029795767,420,300,420,4.24027110692416,0.0753914437828299,420
"Vieira","F","GI","GI11",345.254237288136,56.0897043906667,360,240,420,7.30225753185724,0.162459133973949,330
"Vieira","F","GI","GI12",330.6,71.0679467919574,330,150,420,10.0505254203196,0.214966566218867,300
"Vieira","F","GI","GI13",379,50.0067792014412,405,240,420,6.45584743482178,0.131944008447074,420
"Vieira","F","GI","GI15",365.084745762712,70.0584209749493,390,30,420,9.12082953176476,0.191896324861746,420
"Vieira","F","GI","GI2",327.222222222222,62.5682017818463,330,180,420,8.5144538049456,0.191210124290872,390
"Vieira","F","GI","GI3",390.5,45.3769522622462,420,240,420,5.85813934711095,0.116202182489747,420
"Vieira","F","GI","GI4",338.888888888889,76.3474349117903,360,120,420,10.3895699280132,0.225287512854463,420
"Vieira","F","GI","GI5",319.636363636364,44.0523105024704,300,270,420,5.94001233639071,0.137820084052097,300
"Vieira","F","GI","GI7",354.310344827586,55.7598883989645,360,150,420,7.32163204232425,0.157375840736737,360
"Vieira","F","GI","GI8",302.5,46.6368952654441,300,240,420,6.02079728939615,0.154171554596509,270
"Vieira","F","GI","GI9",355.862068965517,77.9571290812563,390,150,420,10.2362725356447,0.219065575906631,420
"Vieira","F","KA","KA1",393.559322033898,56.2862974647565,420,60,420,7.32785177007936,0.143018585289433,420
"Vieira","F","KA","KA10",415.2,19.5082400172704,420,300,420,2.75888176104533,0.0469851638180885,420
"Vieira","F","KA","KA11",418.333333333333,6.93636846967992,420,390,420,0.943920189924757,0.0165809604852907,420
"Vieira","F","KA","KA13",414.210526315789,26.250671312576,420,240,420,3.47698635481861,0.0633751912247706,420
"Vieira","F","KA","KA14",409.655172413793,34.8915873458576,420,240,420,4.581489871198,0.0851730667533562,420
"Vieira","F","KA","KA15",309.642857142857,72.3869472340845,300,180,420,9.67311270801527,0.233775608137758,360
"Vieira","F","KA","KA16",382.372881355932,59.1123705779742,420,240,420,7.69577515104136,0.154593522344879,420
"Vieira","F","KA","KA17",417.894736842105,15.8943882847805,420,300,420,2.10526315789474,0.0380344304043867,420
"Vieira","F","KA","KA18",401.578947368421,56.9081174753344,420,30,420,7.53766429757391,0.141710908523113,420
"Vieira","F","KA","KA2",392.542372881356,40.2831880881866,420,270,420,5.24442438803671,0.102621247720337,420
"Vieira","F","KA","KA23",404.444444444444,30.1359602572895,420,300,420,4.10098475217512,0.0745119896471443,420
"Vieira","F","KA","KA24",414.736842105263,18.9081674678558,420,330,420,2.50444796239797,0.0455907591230026,420
