"Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Tauber","1","M","AK","AK1",12.54,0.0894427190999913,12.5,12.5,12.7,0.0399999999999999,0.00713259322966438,12.5
"Tauber","1","M","AK","AK2",12.6,0.173205080756888,12.5,12.5,12.8,0.1,0.0137464349807054,12.5
"Tauber","1","M","AK","AK3",12.675,0.125830573921179,12.7,12.5,12.8,0.0629152869605897,0.00992746145334748,12.7
"Tauber","1","M","AK","AK4",12.5,0.0816496580927723,12.5,12.4,12.6,0.0408248290463862,0.00653197264742179,12.5
"Tauber","1","M","AK","AK5",12.1333333333333,7.56879558890757,12.4,0,23.9,3.08994786004194,0.623801834250624,12.4
"Tauber","1","M","GI","GI2",12.25,0.0707106781186558,12.25,12.2,12.3,0.0500000000000007,0.00577230025458414,12.2
"Tauber","1","M","GI","GI3",12.24,8.42068880793014,12.4,0,23.8,3.76584651838069,0.687964771889718,12.4
"Tauber","1","M","GI","GI4",12.1,0.2,12.1,11.9,12.3,0.115470053837925,0.0165289256198347,12.1
"Tauber","1","M","GI","GI5",12.6666666666667,0.404145188432738,12.6,12.3,13.1,0.233333333333333,0.0319061990867951,12.6
"Tauber","1","M","GI","GI6",10.4333333333333,5.11142511112768,12.5,0,12.6,2.08673056345194,0.48991294994834,12.5
"Tauber","1","M","GI","GI7",12.4333333333333,0.115470053837925,12.5,12.3,12.5,0.0666666666666664,0.00928713569742022,12.5
"Tauber","1","M","GI","GI8",NA,NA,NA,NA,NA,NA,NA,12.4
"Tauber","1","M","KA","KA1",12.4,NA,12.4,12.4,12.4,NA,NA,12.4
"Tauber","1","M","KA","KA10",12.1666666666667,0.152752523165195,12.2,12,12.3,0.0881917103688198,0.0125550019039886,12.3
"Tauber","1","M","KA","KA11",8.56666666666667,6.98665394400877,12.5,0.5,12.7,4.03374653530823,0.815562717199468,0.5
"Tauber","1","M","KA","KA2",12.4625,0.0916125381312901,12.5,12.3,12.6,0.0323899234771732,0.00735105621916069,12.5
"Tauber","1","M","KA","KA3",12.325,0.275378527364305,12.35,12,12.6,0.137689263682153,0.0223430853845278,12.6
"Tauber","1","M","KA","KA5",11.27,3.64571285515223,12.4,0.9,12.6,1.15287563172366,0.3234882746364,12.4
"Tauber","1","M","KA","KA6",9.1,6.05144610816291,12.5,0,13.1,2.28723163921553,0.6649940778201,12.6
"Tauber","1","M","KA","KA7",12.5,0.207019667802706,12.5,12.1,12.8,0.07319250547114,0.0165615734242165,12.5
"Tauber","1","M","KA","KA9",9.16666666666667,4.84183160935336,11.5,3.6,12.4,2.795432783031,0.528199811929457,3.6
"Tauber","1","M","MA","MA12",13.2333333333333,1.53057723315966,12.5,12.4,16.3,0.624855538860339,0.115660748097707,12.5
"Tauber","1","M","MA","MA13",12.6166666666667,0.44007575105505,12.5,12.3,13.5,0.179660173042825,0.0348805086701493,12.5
"Tauber","1","M","MA","MA16",10.6857142857143,4.58091278074162,12.4,0.3,12.6,1.73142228507424,0.428695046326087,12.3
"Tauber","1","M","MA","MA18",12.1875,0.712014245443366,12.35,10.5,12.7,0.251735050627213,0.0584216816774044,12.3
"Tauber","1","M","MA","MA19",11.33,6.60135507974604,12.5,0,21.6,2.087531769552,0.582643872881381,12.5
"Tauber","1","M","MA","MA3",12.54,0.15165750888103,12.6,12.3,12.7,0.0678232998312524,0.0120939002297472,12.6
"Tauber","1","M","MA","MA5",12.5,0.0999999999999996,12.5,12.4,12.6,0.0577350269189624,0.00799999999999997,12.5
"Tauber","1","M","MA","MA6",12.5,0.173205080756887,12.6,12.3,12.6,0.0999999999999997,0.013856406460551,12.6
"Tauber","1","M","MA","MA7",0.4,NA,0.4,0.4,0.4,NA,NA,0.4
"Tauber","1","M","MA","MA9",12.4,0.282842712474619,12.4,12.2,12.6,0.2,0.022809896167308,12.6
"Tauber","1","M","MU","MU1",NA,NA,NA,NA,NA,NA,NA,NA
"Tauber","1","M","MU","MU2",12.56,0.0547722557505164,12.6,12.5,12.6,0.0244948974278317,0.00436084838777997,12.6
"Tauber","1","M","MU","MU3",12.6,0,12.6,12.6,12.6,0,0,12.6
"Tauber","1","M","MU","MU4",12.1,NA,12.1,12.1,12.1,NA,NA,12.1
"Tauber","1","M","MU","MU5",15.5,5.74049939755535,12.8,12.3,24.1,2.87024969877768,0.370354799842281,12.6
"Tauber","1","M","MU","MU6",12.1,0.141421356237309,12.1,12,12.2,0.0999999999999996,0.0116877153915131,12
"Tauber","1","M","MU","MU9",12.3666666666667,0.416333199893226,12.5,11.9,12.7,0.240370085030932,0.0336657574037649,11.9
"Tauber","1","M","RE","RE10",12.425,0.15,12.5,12.2,12.5,0.0750000000000002,0.0120724346076459,12.5
"Tauber","1","M","RE","RE11",12.5142857142857,0.273426232761059,12.6,12.1,12.8,0.103345401972432,0.0218491281886691,12.6
"Tauber","1","M","RE","RE2",13.6625,7.32431127917743,12.2,1,23.8,2.58953508651374,0.536088657213353,11.8
"Tauber","1","M","RE","RE3",12.2714285714286,0.325137333621173,12.3,11.6,12.6,0.122890360957752,0.0264954753824006,12.3
"Tauber","1","M","RE","RE4",12.54,0.0894427190999913,12.5,12.5,12.7,0.0399999999999999,0.00713259322966438,12.5
"Tauber","1","M","RE","RE6",15.7384615384615,7.14335804104513,13.4,0.4,29,1.9812110535374,0.453879054416357,12.5
"Tauber","1","M","RE","RE7",12.7,0.14142135623731,12.7,12.6,12.8,0.100000000000001,0.0111355398612055,12.8
"Tauber","1","M","RE","RE8",16.95,6.43467170879758,16.95,12.4,21.5,4.55,0.379626649486583,21.5
"Tauber","1","M","UM","UM13",11.5,NA,11.5,11.5,11.5,NA,NA,11.5
"Tauber","1","M","UM","UM18",12.55,0.0707106781186545,12.55,12.5,12.6,0.0499999999999998,0.0056343169815661,12.6
"Tauber","1","M","UM","UM2",12.4333333333333,0.0577350269189624,12.4,12.4,12.5,0.0333333333333332,0.00464356784871011,12.4
"Tauber","1","M","UM","UM4",12.5714285714286,0.125356634105602,12.6,12.4,12.8,0.0473803541479343,0.00997155044021833,12.6
"Tauber","1","M","UM","UM5",13.7875,4.04843444167884,12.4,12.2,23.8,1.43133772345014,0.29363078452793,12.2
"Tauber","1","M","UM","UM6",12.5333333333333,0.152752523165194,12.5,12.4,12.7,0.0881917103688194,0.0121877013163719,12.7
"Tauber","1","M","UM","UM7",11.125,7.53054889544359,12.7,0.6,18.5,3.76527444772179,0.676903271500547,12.7
"Tauber","1","M","UM","UM9",12.6272727272727,0.11908743922773,12.6,12.5,12.8,0.0359062139238756,0.00943097070917948,12.6
"Tauber","1","M","VA","VA11",12.1125,5.79197412681672,12.4,0.6,22.2,2.04777209076457,0.478181558457521,12.5
"Tauber","1","M","VA","VA15",12.6166666666667,0.306050104830347,12.5,12.4,13.2,0.124944432093275,0.0242576040816656,12.4
"Tauber","1","M","VA","VA18",12.3875,0.229518128757994,12.45,11.9,12.6,0.0811469126250125,0.0185282041378805,12.5
"Tauber","1","M","VA","VA22",10.7875,4.38257507473794,12.5,0,12.7,1.54947427720317,0.406264201597955,12.7
"Tauber","1","M","VA","VA26",12.475,0.0499999999999998,12.5,12.4,12.5,0.0249999999999999,0.00400801603206411,12.5
"Tauber","1","M","VA","VA34",12.5,0,12.5,12.5,12.5,0,0,12.5
"Tauber","1","M","VA","VA6",12.2833333333333,0.194079021706795,12.35,12,12.5,0.0792324288266982,0.0158001917264691,12.4
"Tauber","1","M","VA","VA9",12.4285714285714,0.125356634105602,12.4,12.2,12.6,0.0473803541479343,0.0100861659625197,12.4
"Tauber","1","M","YE","YE13",12.58,0.161932770686548,12.6,12.3,12.8,0.051207638319124,0.012872239323255,12.6
"Tauber","1","M","YE","YE14",12.56,0.201108041719978,12.5,12.3,13,0.0635959467611297,0.0160117867611447,12.5
"Tauber","1","M","YE","YE15",12.4833333333333,0.0408248290463862,12.5,12.4,12.5,0.0166666666666666,0.00327034678609235,12.5
"Tauber","1","M","YE","YE19",12.7,0.476095228569523,12.6,12.2,13.7,0.179947082168487,0.0374878132731908,12.6
"Tauber","1","M","YE","YE20",12.5666666666667,0.0577350269189624,12.6,12.5,12.6,0.0333333333333332,0.00459429922432061,12.6
"Tauber","1","M","YE","YE21",12.5,0,12.5,12.5,12.5,0,0,12.5
"Tauber","1","M","YE","YE22",18.15,8.1317279836453,18.15,12.4,23.9,5.75,0.448029090008005,23.9
"Tauber","1","M","YE","YE24",12.46,0.167332005306814,12.5,12.3,12.7,0.0748331477354786,0.0134295349363415,12.3
"Tauber","1","M","YE","YE27",12.5,NA,12.5,12.5,12.5,NA,NA,12.5
"Tauber","1","M","YE","YE33",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"Tauber","1","M","YE","YE40",12.2333333333333,0.461880215351701,12.5,11.7,12.5,0.266666666666667,0.037755875914308,12.5
"Tauber","1","M","YE","YE49",12,NA,12,12,12,NA,NA,12
"Tauber","1","M","YE","YE51",6.6,8.62670273047588,6.6,0.5,12.7,6.1,1.30707617128422,12.7
"Tauber","1","M","YE","YE69",12.5333333333333,0.115470053837925,12.6,12.4,12.6,0.0666666666666664,0.00921303621047272,12.6
"Tauber","1","M","YE","YE80",12.45,0.0707106781186545,12.45,12.4,12.5,0.0499999999999998,0.00567957253965096,12.5
"Tauber","2","M","AK","AK1",12.39,0.0894427190999916,12.4,12.25,12.5,0.04,0.00721894423728746,12.4
"Tauber","2","M","AK","AK2",12.6,0.151657508881031,12.6,12.4,12.85,0.061913918736689,0.0120363102286532,12.6
"Tauber","2","M","AK","AK3",12.3,0.100000000000001,12.3,12.2,12.4,0.0577350269189629,0.00813008130081305,12.3
"Tauber","2","M","AK","AK4",12.125,0.364348734044734,12.25,11.4,12.4,0.148744747806435,0.0300493801274007,12.25
"Tauber","2","M","AK","AK5",5.9625,6.42746385961576,5.875,0.3,11.8,3.21373192980788,1.07798136010327,11.25
"Tauber","2","M","AK","AK6",12.1325,6.241453013064,12.325,0.5,23.8,2.20668687499738,0.514440800582238,12.4
"Tauber","2","M","AK","AK7",12.30875,0.540672530941129,12.35,11.17,12.95,0.191156606514883,0.0439258682596631,12.4
"Tauber","2","M","AK","AK8",NA,NA,NA,NA,NA,NA,NA,12.35
"Tauber","2","M","GI","GI1",12.718,0.207050718424254,12.79,12.5,12.95,0.0925958962373602,0.0162801319723427,12.5
"Tauber","2","M","GI","GI2",23.9,NA,23.9,23.9,23.9,NA,NA,23.9
"Tauber","2","M","GI","GI3",17.61,6.73165655689593,17.61,12.85,22.37,4.76,0.382263291135487,22.37
"Tauber","2","M","GI","GI4",12.1814285714286,7.16272161628392,11.85,0.6,23.5,2.70725430101055,0.588003416371379,11.85
"Tauber","2","M","GI","GI5",15.43,4.81613953286239,12.75,12.55,20.99,2.7805994557529,0.312128291177083,12.75
"Tauber","2","M","GI","GI6",12.46,0.0547722557505164,12.5,12.4,12.5,0.0244948974278317,0.00439584717098848,12.5
"Tauber","2","M","GI","GI7",12.13,6.18101663698349,12.5,0.6,21.91,2.33620469585873,0.509564438333346,12.4
"Tauber","2","M","GI","GI9",12.5,NA,12.5,12.5,12.5,NA,NA,12.5
"Tauber","2","M","KA","KA1",14.73,11.3172037182336,19.62,1.79,22.78,6.53399061319599,0.768309824727331,22.78
"Tauber","2","M","KA","KA10",NA,NA,NA,NA,NA,NA,NA,11.88
"Tauber","2","M","KA","KA11",8.41333333333333,4.60143818097487,6.23,5.31,13.7,2.65664157244526,0.546922129275935,6.23
"Tauber","2","M","KA","KA13",10.85,9.78402269007998,13.06,0.15,19.34,5.64880813387509,0.901753243325344,19.34
"Tauber","2","M","KA","KA2",NA,NA,NA,NA,NA,NA,NA,22.01
"Tauber","2","M","KA","KA3",7.245,7.03571247280615,7.245,2.27,12.22,4.975,0.971112832685459,2.27
"Tauber","2","M","KA","KA5",18.4525,4.56011969872137,18.54,13.3,23.43,2.28005984936068,0.247127473172815,20.89
"Tauber","2","M","KA","KA6",NA,NA,NA,NA,NA,NA,NA,0
"Tauber","2","M","KA","KA7",14.26,7.29455276216438,13.98,2.28,22.5,2.75708179058946,0.511539464387404,11.96
"Tauber","2","M","KA","KA9",6.53166666666667,7.03418343993577,4.575,0.21,19.49,2.87169336416299,1.07693545903584,3.25
"Tauber","2","M","MA","MA12",NA,NA,NA,NA,NA,NA,NA,NA
"Tauber","2","M","MA","MA13",9.54,5.59856529240602,9.915,3.01,15.32,2.79928264620301,0.586851707799373,15.32
"Tauber","2","M","MA","MA16",10.476,7.24921581965939,12.89,0.15,19.34,3.24194787126505,0.691983182479896,6.94
"Tauber","2","M","MA","MA18",20.33,NA,20.33,20.33,20.33,NA,NA,20.33
"Tauber","2","M","MA","MA19",16.29,2.20617315730203,16.29,14.73,17.85,1.56,0.135431133044937,14.73
"Tauber","2","M","MA","MA3",11.5633333333333,1.27692338585106,12.25,10.09,12.35,0.737232060555638,0.110428658332464,12.25
"Tauber","2","M","MA","MA5",6.8975,8.59317704150605,3.28,1.37,19.66,4.29658852075302,1.24583936810526,19.66
"Tauber","2","M","MA","MA6",13.73,11.2649411893716,17.78,1,22.41,6.50381682808898,0.82046184918948,1
"Tauber","2","M","MA","MA7",9.47666666666667,5.92938726457746,12.24,2.67,13.52,3.42333333333333,0.625682792604023,2.67
"Tauber","2","M","MA","MA9",17.86,NA,17.86,17.86,17.86,NA,NA,17.86
"Tauber","2","M","MU","MU10",12.3416666666667,0.32926686238774,12.475,11.7,12.6,0.134422633676195,0.0266792866215589,12.5
"Tauber","2","M","MU","MU2",0,NA,0,0,0,NA,NA,0
"Tauber","2","M","MU","MU3",13.8366666666667,3.61893170240427,12.4,12.15,21.22,1.47742268081202,0.261546497403344,12.4
"Tauber","2","M","MU","MU5",16.865,6.03162084352125,16.865,12.6,21.13,4.265,0.357641318916173,12.6
"Tauber","2","M","MU","MU6",12.3875,0.278013788626871,12.45,12,12.65,0.139006894313436,0.0224430909083246,12.4
"Tauber","2","M","MU","MU7",12.55,0.346410161513775,12.75,12.15,12.75,0.2,0.0276024033078705,12.75
"Tauber","2","M","MU","MU8",23.6,0.141421356237309,23.6,23.5,23.7,0.0999999999999996,0.00599243034903852,23.7
"Tauber","2","M","MU","MU9",14.205,4.35825079590425,12.45,12.05,23.08,1.77924843684068,0.30681103807844,23.08
"Tauber","2","M","UM","UM13",12.18125,6.34124466714315,12.25,0,23.7,2.24196855264998,0.520574215876297,12.25
"Tauber","2","M","UM","UM17",12.3357142857143,0.159985118355546,12.25,12.15,12.6,0.0604686909485728,0.0129692626344971,12.25
"Tauber","2","M","UM","UM18",12.2266666666667,0.460724067817893,12.45,11.36,12.55,0.188089813062212,0.0376819030385409,12.45
"Tauber","2","M","UM","UM5",6.19166666666667,6.78383495278789,6.075,0,12.5,2.76948902226466,1.09563956168849,0
"Tauber","2","M","UM","UM6",12.475,0.0353553390593279,12.475,12.45,12.5,0.0250000000000004,0.00283409531537698,12.45
"Tauber","2","M","UM","UM7",14.6,2.9698484809835,14.6,12.5,16.7,2.1,0.203414279519418,12.5
"Tauber","2","M","UM","UM9",12.6,NA,12.6,12.6,12.6,NA,NA,12.6
