"Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Tauber","M","AK","AK1",24.62,9.91763860783178,25.7,11.6,42.8,3.13623270111699,0.402828538092274,32
"Tauber","M","AK","AK2",37.1555555555556,7.13637007012513,39,24.4,44.8,2.37879002337504,0.192067376289253,44.8
"Tauber","M","AK","AK3",28.2857142857143,6.3517526640103,28.2,17.6,36.8,2.40073684833761,0.224556912364,27.4
"Tauber","M","AK","AK4",34.82,5.13502136747691,35.5,24.4,42.8,1.62383633548595,0.14747333048469,36.8
"Tauber","M","AK","AK5",26.26,8.27582825663591,26.6,14,39.8,2.617046681535,0.31514959088484,27.2
"Tauber","M","AK","AK6",29.6,10.4021975700192,32.4,13.2,40.8,3.67773222050142,0.351425593581731,26.2
"Tauber","M","AK","AK7",36.125,7.54107798281235,35.9,22.4,45.8,2.66617368955159,0.208749563538058,32
"Tauber","M","AK","AK8",26.8888888888889,11.1839666984085,28.4,1,39.2,3.72798889946951,0.415932645808582,22.4
"Tauber","M","GI","GI1",47.08,1.17983049630021,47.8,45.6,48,0.527636238330916,0.0250601209919331,48
"Tauber","M","GI","GI2",20.3333333333333,7.64286159323413,23.6,11.6,25.8,4.41260819823278,0.375878439011515,25.8
"Tauber","M","GI","GI3",33.3428571428571,9.16857988692127,33.4,20.4,48.2,3.4653974652032,0.274978831227287,33.4
"Tauber","M","GI","GI4",31.22,11.3937409718377,33.6,12.6,45.2,3.60301725409875,0.36495006315944,45.2
"Tauber","M","GI","GI5",40.9,5.28658680057369,40.7,34.6,46.8,2.15824002372303,0.129256400992022,37.8
"Tauber","M","GI","GI6",35.2363636363636,8.31712362866787,36.8,19.6,44.6,2.50770712829914,0.236038080276952,44.6
"Tauber","M","GI","GI7",30.62,12.4026699634483,31.2,11.2,45.2,3.92206861518539,0.405051272483615,45.2
"Tauber","M","GI","GI8",39.675,5.9463674385532,41.3,29,45.4,2.10235836961392,0.149876936069394,45.4
