"Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Tauber","M","AK","AK1",8.112,6.673342990336,8.6,0.08,18.34,2.11029634569808,0.822650763108482,9.74
"Tauber","M","AK","AK2",10.9188888888889,5.34922761818107,11.5,1.89,16.24,1.78307587272702,0.489905856961734,11.34
"Tauber","M","AK","AK3",9.24428571428571,6.32402524015324,8.23,0.62,21.22,2.39025686719157,0.684101015006532,10.39
"Tauber","M","AK","AK4",10.269,4.88183583410085,9.54,3.83,20.46,1.54377203987866,0.475395445914972,20.46
"Tauber","M","AK","AK5",6.676,4.32188796193927,7.24,0.19,13.5,1.36670097517912,0.647376866677541,13.5
"Tauber","M","AK","AK6",8.805,4.75914157925866,7.25,1.4,16.07,1.68261064166033,0.540504438303084,7.46
"Tauber","M","AK","AK7",9.2525,2.55928980104135,9.435,5.74,12.46,0.904845586668955,0.276605220323302,11.83
"Tauber","M","AK","AK8",10.6755555555556,3.54057237996595,11.86,1.95,13.45,1.18019079332198,0.331652283718709,11.11
"Tauber","M","GI","GI1",16.254,6.02109873694162,13.15,10.19,22.76,2.69271721500792,0.3704379683119,22.76
"Tauber","M","GI","GI2",11.5266666666667,6.71178317091169,9.97,5.73,18.88,3.87504982046826,0.58228309753427,18.88
"Tauber","M","GI","GI3",13.25,6.62367219398223,12.42,4.72,23.92,2.50351277018436,0.499899788225074,13.69
"Tauber","M","GI","GI4",12.464,5.2827290926818,11.13,2.26,20.66,1.67054561945092,0.423838983687564,20.66
"Tauber","M","GI","GI5",20.1483333333333,4.12919080046765,21.19,13.21,23.72,1.68573508529003,0.204939571534502,13.21
"Tauber","M","GI","GI6",10.7454545454545,2.21220868652288,10.68,6.33,13.65,0.667006015560121,0.205873904837154,12.22
"Tauber","M","GI","GI7",9.732,5.80642326317253,8.995,2.18,18.88,1.83615225706125,0.596632065677407,9.32
"Tauber","M","GI","GI8",15.9325,6.76021290873509,16.475,5.25,23.5,2.39009619501571,0.424303336496789,23.5
"Tauber","M","GI","GI9",8.96,NA,8.96,8.96,8.96,NA,NA,8.96
"Tauber","M","KA","KA1",13.185,5.47272936172315,12.64,7.12,20.34,2.73636468086157,0.41507238238325,11.84
"Tauber","M","KA","KA10",14.624,6.11496770228592,12.99,8.04,23.68,2.7346966925054,0.418146040911237,8.04
"Tauber","M","KA","KA11",14.14,10.3990768821083,17.07,0.04,23.8,4.24540535952301,0.735436837489981,23.64
"Tauber","M","KA","KA13",13.7633333333333,11.0303505535107,19.2,1.07,21.02,6.36837586132533,0.801430168576702,1.07
"Tauber","M","KA","KA2",13.687,7.50085484017211,15.035,1.12,21.8,2.37197856932421,0.548027678831892,16.77
"Tauber","M","KA","KA3",12.9016666666667,8.11258631181614,13.425,0.3,23.8,3.31194949303948,0.628801419337254,23.8
"Tauber","M","KA","KA5",13.7321428571429,7.97883081715556,15.605,0.54,22.21,2.13243223320212,0.581033193446959,0.54
"Tauber","M","KA","KA6",13.248,6.04220300410845,13.06,0.56,22.83,1.56009010728776,0.456084163957461,11.85
"Tauber","M","KA","KA7",14.6486666666667,8.35037541214822,12.83,1.29,23.65,2.15605766038866,0.570043376790712,23.65
"Tauber","M","KA","KA9",15.4966666666667,9.73378138238167,21.34,0.22,23.74,3.24459379412722,0.628120975417187,2.5
"Tauber","M","MA","MA12",13.3308333333333,9.79128876124387,15.93,0.29,23.4,2.82650160100875,0.734484372913212,0.29
"Tauber","M","MA","MA13",11.872,9.80601493415592,14.15,0.14,22.99,3.10093419615588,0.82597834687971,2
"Tauber","M","MA","MA16",14.6691666666667,9.22366369560908,20,0.14,23.98,2.66264235878724,0.628778982828546,23.98
"Tauber","M","MA","MA18",14.6688888888889,5.82744250174218,11.49,7.91,23.81,1.94248083391406,0.397265433386453,9.67
"Tauber","M","MA","MA19",13.625,6.90671807340176,12.955,1.49,23.07,1.99379776944768,0.506915087956093,5.66
"Tauber","M","MA","MA3",12.59625,7.12022860287104,12.98,1.82,23.46,2.51738096434426,0.565265742016159,17.85
"Tauber","M","MA","MA5",12.97,8.36909592887229,13.49,1.21,23.59,3.16322093231988,0.645265684569953,14.24
"Tauber","M","MA","MA6",4.99166666666667,6.94626062472944,1.095,0,14.95,2.83579902516224,1.39157141063027,0
"Tauber","M","MA","MA7",13.4975,11.4494843406446,14.105,2.26,23.52,5.72474217032232,0.848267037647315,23.21
"Tauber","M","MA","MA9",14.2066666666667,3.5863258821994,12.36,11.92,18.34,2.07056621348955,0.252439644453266,12.36
"Tauber","M","MU","MU1",16.595,0.304055915910215,16.595,16.38,16.81,0.215,0.0183221401572893,16.38
"Tauber","M","MU","MU10",12.4666666666667,7.8895466705424,9.97,2.28,23.15,3.2208939407838,0.632851337209283,2.28
"Tauber","M","MU","MU2",14.37,4.48629468492653,13.25,9.82,21.6,1.83152213563837,0.312198655875193,21.6
"Tauber","M","MU","MU3",12.51375,8.11628510641238,12.57,1.05,22.14,2.86954011839379,0.648589360216752,18.8
"Tauber","M","MU","MU4",22.75,NA,22.75,22.75,22.75,NA,NA,22.75
"Tauber","M","MU","MU5",5.605,3.38508345539663,4.835,1.37,10.49,1.38195453374318,0.603939956359791,5.47
"Tauber","M","MU","MU6",8.635,4.02167999721509,10.125,3.54,12.42,1.64184398365578,0.465741748374649,10.61
"Tauber","M","MU","MU7",18.2533333333333,5.72596134577709,19.81,11.91,23.04,3.30588532435379,0.313694010908168,23.04
"Tauber","M","MU","MU8",11.995,16.7089332394381,11.995,0.18,23.81,11.815,1.39299151641835,23.81
"Tauber","M","MU","MU9",13.2555555555556,4.74987134328687,12.22,7.26,21.24,1.58329044776229,0.358330612653661,19.53
"Tauber","M","RE","RE10",11.5925,7.74045379806636,9.625,4.5,22.62,3.87022689903318,0.667712210314114,9.84
"Tauber","M","RE","RE11",15.56,8.23554491214759,17.41,1.1,23.33,3.11274339266369,0.529276665305115,12.05
"Tauber","M","RE","RE2",12.34625,5.38261205178304,10.615,6.72,23.04,1.90304074115611,0.435971412516597,6.72
"Tauber","M","RE","RE3",11.3628571428571,0.915090419680195,11.05,10.68,13.03,0.345871668230217,0.0805334792275756,10.72
"Tauber","M","RE","RE4",12.442,1.30087278394161,12.44,10.67,13.97,0.581767994994568,0.104554957719146,11.77
"Tauber","M","RE","RE6",13.8146153846154,8.7191825069638,11.57,0,23.96,2.4182661237682,0.631156370569238,19.9
"Tauber","M","RE","RE7",13.06,9.05096679918781,13.06,6.66,19.46,6.4,0.693029617089419,19.46
"Tauber","M","RE","RE8",9.055,2.04353859762912,9.055,7.61,10.5,1.445,0.225680684442752,10.5
"Tauber","M","UM","UM13",12.6077777777778,7.42323679027178,11.82,2.39,23.62,2.47441226342393,0.588782331122288,17.88
"Tauber","M","UM","UM17",12.0714285714286,3.15657741111808,11.28,8.44,17.88,1.19307411770608,0.261491619855936,13.71
"Tauber","M","UM","UM18",9.5975,6.60303772084161,9.55,1.46,18.45,2.33452637441883,0.687995594773807,6.48
"Tauber","M","UM","UM2",10.21,3.75920204298732,9.67,6.75,14.21,2.17037631145692,0.368188251027161,14.21
"Tauber","M","UM","UM4",9.64857142857143,6.99537330090737,7.34,2.46,20.47,2.64400258318027,0.725016480698128,2.46
"Tauber","M","UM","UM5",7.72785714285714,7.07283228935952,5.2,0.97,20.43,1.89029394149252,0.915238488317157,18.2
"Tauber","M","UM","UM6",13.772,4.62486972789505,13.86,6.97,18.11,2.06830461973086,0.335816855060634,6.97
"Tauber","M","UM","UM7",12.2933333333333,6.45575298990495,10.3,4.59,22.62,2.63555012178567,0.525142596792702,11.05
"Tauber","M","UM","UM9",12.8608333333333,7.14590595863792,12.185,1.71,23.79,2.06284536441168,0.5556331983649,20.2
"Tauber","M","VA","VA11",14.7023076923077,7.22298086416561,12.92,0,22.86,2.00329445134187,0.491282118108894,12.49
"Tauber","M","VA","VA15",15.208,5.50683776973884,12.875,9.7,23.08,1.74141500574166,0.362101378862364,17.1
"Tauber","M","VA","VA18",12.1913333333333,9.49172411454667,12.28,0,23.59,2.4507526281623,0.778563251042817,0
"Tauber","M","VA","VA22",14.8025,5.26150643827412,14.78,5.94,22.67,1.86022344088015,0.355447150026963,5.94
"Tauber","M","VA","VA26",11.8185714285714,7.65931987531406,13.17,1.71,21.18,2.89495080028218,0.648074932034309,9.34
"Tauber","M","VA","VA30",22.44,0.509116882454316,22.44,22.08,22.8,0.360000000000001,0.0226879181129374,22.08
"Tauber","M","VA","VA34",7.96,7.69332177930964,7.96,2.52,13.4,5.44,0.966497710968547,13.4
"Tauber","M","VA","VA6",11.349,4.61464444278574,11.715,3.35,18.72,1.45927870310415,0.406612427772116,8.91
"Tauber","M","VA","VA9",8.957,4.08371032273348,11.235,1.92,12.02,1.29138259241791,0.45592389446617,5.62
"Tauber","M","YE","YE11",14.9,NA,14.9,14.9,14.9,NA,NA,14.9
"Tauber","M","YE","YE13",8.987,6.80176619219842,7.13,0.31,20,2.15090732792776,0.756845019717193,1.18
"Tauber","M","YE","YE14",10.76,5.73531942344006,10.89,0.41,18.49,1.81366724866743,0.533022251249077,9.92
"Tauber","M","YE","YE15",13.1616666666667,4.09114857548179,12.715,7.04,17.95,1.67020441197411,0.310838184790309,11.75
"Tauber","M","YE","YE19",14.25,6.20392886269123,12.67,6.28,23.49,2.34486470317383,0.435363428960788,6.28
"Tauber","M","YE","YE20",13.77,4.52809010511054,12.03,10.37,18.91,2.61429404110045,0.328837335156902,12.03
"Tauber","M","YE","YE21",13.19,1.30107647738325,13.19,12.27,14.11,0.92,0.0986411279289801,12.27
"Tauber","M","YE","YE22",17.27,7.42462120245875,17.27,12.02,22.52,5.25,0.429914371885278,22.52
"Tauber","M","YE","YE24",10.278,2.30324119449093,10.47,6.45,12.21,1.03004077589191,0.224094297965648,10.31
"Tauber","M","YE","YE26",15.8633333333333,13.4090355109282,23.56,0.38,23.65,7.74171026180764,0.845284860953658,0.38
"Tauber","M","YE","YE27",18.05,7.62123786970769,20.9,2.32,23.21,2.88055715510203,0.422229244859152,23.21
"Tauber","M","YE","YE33",17.6725,3.72334415098399,18.19,13.07,21.24,1.86167207549199,0.210685763247078,13.07
"Tauber","M","YE","YE40",8.96333333333333,4.20635630128183,9.32,4.59,12.98,2.42854094285254,0.469284823497415,4.59
"Tauber","M","YE","YE41",13.985,10.3820779643163,19.035,1.06,23.4,3.67061886568775,0.742372396447361,23.4
"Tauber","M","YE","YE48",19.27,3.10305494633917,18.98,15.13,23.11,1.38772835958627,0.161030355284856,15.13
"Tauber","M","YE","YE49",7.9125,7.87142246780508,5.545,1.24,19.32,3.93571123390254,0.994808526736819,5.63
"Tauber","M","YE","YE51",8.80285714285714,8.04239125775768,6.22,0.16,21.58,3.0397381734724,0.913611470371693,10.42
"Tauber","M","YE","YE69",9.59666666666667,2.34777199347239,9.22,7.46,12.11,1.35548679242715,0.244644528670274,7.46
"Tauber","M","YE","YE80",16.465,3.48603643124968,16.465,14,18.93,2.465,0.211724046841766,14
