"Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Tauber","M","AK","AK1",0.6598705,0.209581428568283,0.6896225,0.326531,0.975309,0.0662754669547655,0.317609937962498,0.975309
"Tauber","M","AK","AK2",1.033726,0.329249821417947,0.931034,0.741935,1.830189,0.109749940472649,0.318507826462667,0.931034
"Tauber","M","AK","AK3",0.730514571428571,0.17077530643593,0.692308,0.532609,1.044776,0.0645469987000455,0.233773990437955,1.044776
"Tauber","M","AK","AK4",0.793873,0.186046097933341,0.7484065,0.547368,1.087912,0.0588329419256102,0.234352469391629,1.087912
"Tauber","M","AK","AK5",1.8883179,1.71668706755971,1.0056025,0.766355,6,0.542864116324405,0.909109142883046,1.058824
"Tauber","M","AK","AK6",0.533273125,0.157241397783733,0.5630345,0.31,0.758621,0.0555932293280645,0.294860907876678,0.31
"Tauber","M","AK","AK7",0.694590375,0.215366471539585,0.639765,0.46789,1.081818,0.0761435462329299,0.310062562470124,0.675926
"Tauber","M","AK","AK8",0.504183222222222,0.180047793397182,0.494253,0.25,0.797468,0.0600159311323941,0.35710786369211,0.623188
"Tauber","M","GI","GI1",0.9647594,0.0328843876832153,0.975207,0.915966,1,0.0147063452516252,0.0340855841189164,1
"Tauber","M","GI","GI2",1.14555566666667,0.17670842169046,1.15,0.966667,1.32,0.102022654831061,0.154255639278225,1.15
"Tauber","M","GI","GI3",0.8961,0.429502059576746,0.830357,0.439252,1.783333,0.162336519604303,0.479301483737023,1.783333
"Tauber","M","GI","GI4",0.6975319,0.283581913378147,0.789541,0.205479,1.017857,0.089676474950352,0.406550457947726,1.017857
"Tauber","M","GI","GI5",0.9550465,0.192077454168624,0.910686,0.783019,1.306667,0.0784152923009919,0.201118431582781,0.783019
"Tauber","M","GI","GI6",0.816320454545455,0.197378327338826,0.801887,0.454545,1.222222,0.0595118048664394,0.241790250678859,0.889831
"Tauber","M","GI","GI7",0.594326,0.261302376299949,0.608076,0.2,0.982456,0.0826310667122239,0.439661694591771,0.982456
"Tauber","M","GI","GI8",0.928621625,0.147514612268884,0.977757,0.644231,1.082569,0.0521542913297162,0.158853302892752,0.853448
"Tauber","M","GI","GI9",0.779661,NA,0.779661,0.779661,0.779661,NA,NA,0.779661
"Tauber","M","KA","KA1",0.93964375,0.0417821724532924,0.9461475,0.884298,0.981982,0.0208910862266462,0.0444659717614175,0.884298
"Tauber","M","KA","KA10",0.9420712,0.288152312186975,0.966942,0.504132,1.3125,0.128865631584764,0.305871055379864,0.991597
"Tauber","M","KA","KA11",1.14931833333333,0.325775819311788,1.030748,0.94898,1.808511,0.132997421308502,0.283451337948252,1
"Tauber","M","KA","KA13",1.06406333333333,0.0407345639516778,1.057471,1.027027,1.107692,0.0235181114628232,0.0382820859206481,1.057471
"Tauber","M","KA","KA2",0.8349438,0.186511184972198,0.915981,0.410526,1.035714,0.0589800153609113,0.223381723383296,0.666667
"Tauber","M","KA","KA3",0.867005666666667,0.126038345244083,0.913418,0.697674,0.982609,0.0514549389787911,0.145371997081237,0.913043
"Tauber","M","KA","KA5",0.820891071428571,0.340683805703598,0.828446,0.356522,1.779661,0.0910515770117947,0.415017068111992,1
"Tauber","M","KA","KA6",0.963129133333333,0.146396880679038,0.974138,0.662162,1.221053,0.0377995120537751,0.152001300357686,1.1875
"Tauber","M","KA","KA7",1.3835202,0.757742579622262,1.04878,0.872881,3.666667,0.195648292772618,0.547691735633684,0.872881
"Tauber","M","KA","KA9",1.23402944444444,0.461634645751949,1,0.892857,2.166667,0.15387821525065,0.374087221200606,1.888889
"Tauber","M","MA","MA12",0.955852583333333,0.154029058666012,0.9909315,0.636364,1.192308,0.0444643592419234,0.161143110717835,0.636364
"Tauber","M","MA","MA13",0.9794472,0.180452400848411,0.9789915,0.710744,1.372093,0.0570640595926679,0.184239028758682,1.012195
"Tauber","M","MA","MA16",0.93385075,0.286088529835569,1.005435,0.354545,1.372093,0.082586644856315,0.306353590052339,0.354545
"Tauber","M","MA","MA18",0.952727888888889,0.268603700394487,0.958678,0.547619,1.367347,0.0895345667981622,0.281931182583249,1.367347
"Tauber","M","MA","MA19",0.951604083333333,0.118782338500039,0.925344,0.75,1.24,0.0342895075539854,0.12482327533102,0.971429
"Tauber","M","MA","MA3",0.79062875,0.153357081604386,0.791644,0.613636,1.008403,0.05421991617272,0.193968511269526,0.756757
"Tauber","M","MA","MA5",1.13712171428571,0.264266564185177,1.090909,0.863248,1.7,0.0998833726662094,0.23239954075732,1.015152
"Tauber","M","MA","MA6",0.995429333333333,0.132482363714823,1.020115,0.783333,1.18,0.0540856985031882,0.133090676835077,1.18
"Tauber","M","MA","MA7",1.0143515,0.107780421847693,0.9853695,0.92,1.166667,0.0538902109238465,0.106255496095479,1.008475
"Tauber","M","MA","MA9",0.863307666666667,0.104214240228163,0.828829,0.780702,0.980392,0.0601681196491224,0.120715063993984,0.780702
"Tauber","M","MU","MU1",0,0,0,0,0,0,NA,0
"Tauber","M","MU","MU10",1.6185245,0.835399314884505,1.4132195,0.704348,2.69697,0.341050342156281,0.516148698944319,1.542857
"Tauber","M","MU","MU2",0.987248166666667,0.332360154693319,0.832099,0.683333,1.518519,0.135685464971852,0.336653098901663,0.8
"Tauber","M","MU","MU3",0.61346525,0.165655284083502,0.56136,0.4375,0.93617,0.0585679873574141,0.270032058186673,0.93617
"Tauber","M","MU","MU4",0.616279,NA,0.616279,0.616279,0.616279,NA,NA,0.616279
"Tauber","M","MU","MU5",0.665373,0.39127896527516,0.570513,0.275862,1.404762,0.159738968668053,0.588059577522924,0.275862
"Tauber","M","MU","MU6",0.653602333333333,0.233826194353555,0.626839,0.373737,0.957447,0.09545914411051,0.357749938194155,0.643678
"Tauber","M","MU","MU7",0.906926333333333,0.123944700372115,0.954545,0.766234,1,0.071559506124468,0.136664573313872,0.766234
"Tauber","M","MU","MU8",1.6041815,0.490786553365615,1.6041815,1.257143,1.95122,0.3470385,0.305942035465199,1.257143
"Tauber","M","MU","MU9",0.818085333333333,0.127376667028345,0.8,0.601852,1.054054,0.0424588890094485,0.155700954213838,1.054054
"Tauber","M","RE","RE10",0.96487625,0.0483666821298505,0.9876035,0.892562,0.991736,0.0241833410649252,0.0501273423714704,0.991736
"Tauber","M","RE","RE11",0.826671571428571,0.202714756973814,0.905983,0.432432,1.008403,0.0766189762908011,0.245218009158707,0.905983
"Tauber","M","RE","RE2",1.020201125,0.286468470376478,0.970059,0.716814,1.564516,0.101281898999673,0.280796073790331,0.843137
"Tauber","M","RE","RE3",0.598056714285714,0.183763193428131,0.6,0.352941,0.833333,0.0694559585625563,0.307267168879807,0.8125
"Tauber","M","RE","RE4",0.8620466,0.0783411457396431,0.85124,0.785124,0.958333,0.035035225461812,0.0908780867990699,0.785124
"Tauber","M","RE","RE6",0.955166846153846,0.0471316436074642,0.974359,0.859504,1,0.013071965978739,0.0493438856229657,1
"Tauber","M","RE","RE7",0.883815,0.177051052727737,0.883815,0.758621,1.009009,0.125194,0.200325919709144,1.009009
"Tauber","M","RE","RE8",0.979132,0.0176281720549806,0.979132,0.966667,0.991597,0.0124649999999999,0.0180038769593687,0.966667
"Tauber","M","UM","UM13",0.991617888888889,0.45159213459477,0.871795,0.522222,1.789474,0.15053071153159,0.455409427013041,0.522222
"Tauber","M","UM","UM17",0.471230571428571,0.153955451700437,0.425743,0.346939,0.792683,0.0581896911688534,0.326709388216706,0.515152
"Tauber","M","UM","UM18",0.61652775,0.319361209336813,0.6597225,0.230769,1.042105,0.112911238384998,0.517999732107456,0.527778
"Tauber","M","UM","UM2",0.848032,0.163595106442705,0.931034,0.659574,0.953488,0.0944516787428013,0.192911477919118,0.931034
"Tauber","M","UM","UM4",0.832536,0.190103310395515,0.752137,0.59375,1.037736,0.0718522975309502,0.228342450531286,0.671233
"Tauber","M","UM","UM5",0.966948714285714,0.368418388241794,0.9582865,0.434211,2.057692,0.0984639559848756,0.381011301632419,2.057692
"Tauber","M","UM","UM6",0.9895514,0.347540562944529,1,0.509804,1.444444,0.155424864736502,0.351210218028623,1
"Tauber","M","UM","UM7",0.9788525,0.28950923403978,0.8286615,0.76699,1.492958,0.118191649870243,0.295763901139119,1.155844
"Tauber","M","UM","UM9",0.583660666666667,0.167001383273168,0.5733175,0.313953,0.888889,0.0482091467939017,0.286127527193029,0.615385
"Tauber","M","VA","VA11",0.904741846153846,0.278049926445128,0.786325,0.417722,1.4375,0.0771171743797615,0.307325153166229,0.730769
