"Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Flatt","1","F","AK",NA,57.0872483221477,17.2037451017151,59,3,99,0.704692856989906,0.301358807918593,59
"Flatt","1","F","GI",NA,41.9866666666667,11.3936904700116,41,5,87,0.465145465645664,0.271364491981858,43
"Flatt","1","F","KA",NA,53.754590984975,14.7643091340346,55,3,97,0.603253317120253,0.274661361262359,56
"Flatt","1","F","MA",NA,48.1661016949153,14.1000380518155,48,5,87,0.580489380131249,0.292737787689885,43
"Flatt","1","F","MU",NA,55.8686006825939,14.444167914993,56,4,93,0.596683076786782,0.258538208197742,58
"Flatt","1","F","RE",NA,43.9664429530201,12.7849260544169,43,3,85,0.523690976262694,0.290788273867825,39
"Flatt","1","F","UM",NA,49.0469565217391,14.0300655372291,49,4,83,0.585094178935535,0.286053743844646,46
"Flatt","1","F","VA",NA,53.6683673469388,16.4744565915688,54,4,97,0.67939513913536,0.306967724303402,53
"Flatt","1","F","YE",NA,48.4020100502513,12.5172041062484,49,3,80,0.512295060364147,0.258609179520706,55
"Flatt","1","M","AK",NA,50.0135593220339,13.834940850195,50,7,94,0.569575501056758,0.276623800380067,43
"Flatt","1","M","GI",NA,49.0826161790017,14.7990001073819,47,3,88,0.613965979561586,0.301512047634354,43
"Flatt","1","M","KA",NA,54.7006920415225,13.6945649330561,55,4,92,0.569618807621381,0.250354509640587,56
"Flatt","1","M","MA",NA,51.5962521294719,14.2551895678557,51,4,89,0.588374641070373,0.276283431053961,57
"Flatt","1","M","MU",NA,53.7223140495868,14.7661320896152,53,3,91,0.600328638493103,0.27486031364892,46
"Flatt","1","M","RE",NA,49.2171717171717,13.9303849081973,48,5,92,0.571570616088667,0.283039118709396,46
"Flatt","1","M","UM",NA,51.3560477001704,12.0672593198539,51,4,84,0.498069095274063,0.234972507820416,46
"Flatt","1","M","VA",NA,49.9057591623037,13.7077967066297,51,3,88,0.572651422699902,0.274673643617947,44
"Flatt","1","M","YE",NA,50.6661016949153,14.9492191955534,52,3,85,0.615449614560127,0.295053668931741,52
"Parsch","1","F","AK",NA,59.9844236760125,22.4174124648662,67,4,102,1.25121795071311,0.373720560956741,77
"Parsch","1","F","GI",NA,49.751572327044,23.13745609378,51,4,100,1.29748410939191,0.46505979633538,63
"Parsch","1","F","KA",NA,55.3764705882353,20.3512646624953,58,4,102,0.987181339039627,0.367507434950521,70
"Parsch","1","F","MA",NA,46.7317073170732,20.3566301415773,46,4,95,1.00534230394425,0.435606386119347,63
"Parsch","1","F","MU",NA,51.812987012987,21.252851222011,53,4,98,1.08314559353396,0.410183864070295,70
"Parsch","1","F","RE",NA,43.6062801932367,19.3164562237691,44,4,93,0.949352030537652,0.442974180282524,42
"Parsch","1","F","UM",NA,48.4176904176904,19.0184634576024,49,4,93,0.942710234098789,0.392799889741408,56
"Parsch","1","F","VA",NA,55.9950495049505,21.0287520351625,58,4,95,1.04621951693454,0.37554662815868,56
"Parsch","1","F","YE",NA,54.5904522613065,19.345737020152,56,7,98,0.969714174400044,0.354379497124338,63
"Parsch","1","M","AK",NA,56.6862068965517,23.5644184314489,60,4,105,1.38375029640518,0.415699333604245,49
"Parsch","1","M","GI",NA,45.9612903225806,21.2206420453085,42,4,107,1.20525147799538,0.461706838436668,35
"Parsch","1","M","KA",NA,53.9154228855721,22.1598772682502,56,4,98,1.10523422310395,0.411011841922884,56
"Parsch","1","M","MA",NA,50.2413793103448,20.3865330051323,51,4,107,1.01176664491713,0.405771761941549,56
"Parsch","1","M","MU",NA,57.6490250696379,22.2657750969277,60,4,112,1.17514266385379,0.38622986373198,63
"Parsch","1","M","RE",NA,47.0822622107969,20.330095993788,46,4,93,1.03077678438163,0.431799472649934,28
"Parsch","1","M","UM",NA,54.8346666666667,21.7433836106019,56,4,102,1.1228235015208,0.396526229342785,56
"Parsch","1","M","VA",NA,57.6550802139037,20.7681252823055,60,4,98,1.07389419277545,0.360213275313373,70
"Parsch","1","M","YE",NA,50.7105943152455,19.4980792572908,51,4,109,0.991143070322888,0.38449715529027,49
