"Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Schmidt","1","F","AK","AK1",0.2,0.0942809041582063,0.2,0.1,0.4,0.0298142396999972,0.471404520791032,0.2
"Schmidt","1","F","AK","AK10",0.23,0.0674948557710553,0.2,0.1,0.3,0.0213437474581095,0.293455894656762,0.2
"Schmidt","1","F","AK","AK11",0.17,0.0674948557710553,0.2,0.1,0.3,0.0213437474581095,0.397028563359149,0.2
"Schmidt","1","F","AK","AK12",0.23,0.125166555703457,0.2,0.1,0.5,0.0395811402901264,0.544202416101988,0.3
"Schmidt","1","F","AK","AK13",0.32,0.0421637021355784,0.3,0.3,0.4,0.0133333333333333,0.131761569173682,0.3
"Schmidt","1","F","AK","AK14",0.12,0.0421637021355784,0.1,0.1,0.2,0.0133333333333333,0.351364184463153,0.1
"Schmidt","1","F","AK","AK15",0.24,0.0843274042711568,0.3,0.1,0.3,0.0266666666666667,0.351364184463153,0.3
"Schmidt","1","F","AK","AK16",0.28,0.131656117720877,0.3,0,0.5,0.0416333199893227,0.470200420431702,0.3
"Schmidt","1","F","AK","AK17",0.21,0.0737864787372622,0.2,0.1,0.3,0.0233333333333333,0.351364184463153,0.2
"Schmidt","1","F","AK","AK18",0.1,0,0.1,0.1,0.1,0,0,0.1
"Schmidt","1","F","AK","AK2",0.19,0.0567646212197547,0.2,0.1,0.3,0.017950549357115,0.298761164314498,0.2
"Schmidt","1","F","AK","AK20",0.17,0.0674948557710553,0.2,0.1,0.3,0.0213437474581095,0.397028563359149,0.2
"Schmidt","1","F","AK","AK3",0.23,0.0674948557710553,0.2,0.2,0.4,0.0213437474581095,0.293455894656762,0.2
"Schmidt","1","F","AK","AK4",0.27,0.0948683298050514,0.3,0.1,0.4,0.03,0.351364184463153,0.3
"Schmidt","1","F","AK","AK5",0.16,0.107496769977314,0.1,0.1,0.4,0.0339934634239519,0.671854812358213,0.1
"Schmidt","1","F","AK","AK6",0.31,0.0567646212197547,0.3,0.2,0.4,0.017950549357115,0.183111681354047,0.3
"Schmidt","1","F","AK","AK7",0.18,0.103279555898864,0.15,0.1,0.4,0.032659863237109,0.573775310549247,0.1
"Schmidt","1","F","AK","AK8",0.23,0.0948683298050514,0.25,0,0.3,0.03,0.412470999152397,0.3
"Schmidt","1","F","AK","AK9",0.32,0.0632455532033676,0.3,0.2,0.4,0.02,0.197642353760524,0.3
"Schmidt","1","F","AK","AK21",0.38,0.0788810637746615,0.4,0.3,0.5,0.0249443825784929,0.207581746775425,0.4
"Schmidt","1","F","GI","GI1",0.1,0.0471404520791032,0.1,0,0.2,0.0149071198499986,0.471404520791032,0.1
"Schmidt","1","F","GI","GI10",0.22,0.0632455532033676,0.2,0.1,0.3,0.02,0.287479787288034,0.2
"Schmidt","1","F","GI","GI11",0.18,0.0788810637746616,0.2,0.1,0.3,0.0249443825784929,0.438228132081453,0.2
"Schmidt","1","F","GI","GI12",0.2,0.105409255338946,0.2,0.1,0.4,0.0333333333333333,0.52704627669473,0.1
"Schmidt","1","F","GI","GI13",0.2,0.0816496580927726,0.2,0.1,0.3,0.0258198889747161,0.408248290463863,0.2
"Schmidt","1","F","GI","GI15",0.32,0.0918936583472681,0.3,0.2,0.5,0.0290593262902712,0.287167682335213,0.3
"Schmidt","1","F","GI","GI2",0.24,0.0966091783079296,0.3,0.1,0.3,0.0305505046330389,0.402538242949707,0.3
"Schmidt","1","F","GI","GI3",0.116666666666667,0.0408248290463863,0.1,0.1,0.2,0.0166666666666667,0.349927106111883,0.1
"Schmidt","1","F","GI","GI5",0.23,0.105934990547138,0.25,0.1,0.4,0.0334995854037363,0.460586915422339,0.3
"Schmidt","1","F","GI","GI7",0.25,0.0534522483824849,0.25,0.2,0.3,0.0188982236504614,0.21380899352994,0.3
"Schmidt","1","F","GI","GI8",0.19,0.0875595035770913,0.2,0.1,0.3,0.0276887462097269,0.460839492511007,0.1
"Schmidt","1","F","GI","GI9",0.233333333333333,0.0516397779494322,0.2,0.2,0.3,0.0210818510677892,0.221313334068995,0.2
"Schmidt","1","F","GI","GI14",0.13,0.0483045891539648,0.1,0.1,0.2,0.0152752523165195,0.371573762722806,0.1
"Schmidt","1","F","KA","KA1",0.22,0.103279555898864,0.2,0.1,0.4,0.032659863237109,0.46945252681302,0.3
"Schmidt","1","F","KA","KA10",0.22,0.0421637021355784,0.2,0.2,0.3,0.0133333333333333,0.191653191525356,0.2
"Schmidt","1","F","KA","KA11",0.22,0.0788810637746616,0.2,0.1,0.3,0.0249443825784929,0.358550289884825,0.2
"Schmidt","1","F","KA","KA13",0.15,0.108012344973464,0.15,0,0.3,0.0341565025531987,0.720082299823096,0.2
"Schmidt","1","F","KA","KA14",0.31,0.0316227766016838,0.3,0.3,0.4,0.01,0.102008956779625,0.3
"Schmidt","1","F","KA","KA16",0.2,0.124721912892465,0.2,0.1,0.5,0.0394405318873308,0.623609564462324,0.2
"Schmidt","1","F","KA","KA17",0.2,0.0666666666666667,0.2,0.1,0.3,0.0210818510677892,0.333333333333333,0.2
