"Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Schmidt","1","F","AK","AK1",2,1.9436506316151,1,0,6,0.614636297152859,0.97182531580755,1
"Schmidt","1","F","AK","AK10",2.8,2.44040069569642,3,0,8,0.771722460186015,0.871571677034435,4
"Schmidt","1","F","AK","AK11",1.5,1.95789002074512,1,0,5,0.61913918736689,1.30526001383008,0
"Schmidt","1","F","AK","AK12",3.2,2.7406406388126,2.5,0,9,0.866666666666667,0.856450199628936,2
"Schmidt","1","F","AK","AK13",1.6,2.11869981094276,1,0,7,0.669991708074726,1.32418738183923,1
"Schmidt","1","F","AK","AK14",2.7,2.16281709300111,2,0,7,0.683942817622773,0.801043367778189,2
"Schmidt","1","F","AK","AK15",1.5,1.64991582276861,1,0,4,0.521749194749951,1.09994388184574,0
"Schmidt","1","F","AK","AK16",3.5,1.26929551764398,4,1,5,0.401386485959743,0.362655862183996,4
"Schmidt","1","F","AK","AK17",0.9,0.875595035770913,1,0,3,0.276887462097269,0.972883373078792,1
"Schmidt","1","F","AK","AK18",1.1,1.3703203194063,0.5,0,3,0.433333333333333,1.24574574491482,0
"Schmidt","1","F","AK","AK2",2.4,1.89736659610103,2.5,0,5,0.6,0.790569415042095,5
"Schmidt","1","F","AK","AK20",1.6,2.36643191323985,0.5,0,7,0.748331477354788,1.4790199457749,0
"Schmidt","1","F","AK","AK3",1.4,1.64654520469713,1,0,5,0.52068331172711,1.17610371764081,0
"Schmidt","1","F","AK","AK4",3.7,3.46570499481867,3.5,0,9,1.09595214818491,0.936677025626669,0
"Schmidt","1","F","AK","AK5",1.4,1.34989711542111,1.5,0,3,0.42687494916219,0.96421222530079,0
"Schmidt","1","F","AK","AK6",5.3,2.26323269290239,5,2,9,0.715697018452796,0.427025036396678,4
"Schmidt","1","F","AK","AK7",1.2,1.81352940116473,0.5,0,5,0.573488351136175,1.51127450097061,0
"Schmidt","1","F","AK","AK8",1.2,1.93218356615859,0.5,0,6,0.611010092660779,1.61015297179883,0
"Schmidt","1","F","AK","AK9",2,1.56347191994114,2,0,5,0.494413232473044,0.781735959970572,3
