"Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gibert","1","F","AK","AK1",16.6432222222222,13.025608064288,13.643,1.386,41.449,4.34186935476267,0.782637393791213,13.643
"Gibert","1","F","AK","AK10",21.1872,10.1357735965243,22.2335,5.02,35.634,3.20521304128134,0.478391368209312,26.011
"Gibert","1","F","AK","AK12",20.4452,9.44709407172385,20.4505,7.085,36.291,2.98743345365215,0.462069046608683,36.291
"Gibert","1","F","AK","AK17",20.6534,10.3692851055413,17.131,12.527,47.115,3.27905586411699,0.50206189322539,13.24
"Gibert","1","F","AK","AK18",21.9114,9.5800107190847,20.2375,11.594,45.489,3.02946538811352,0.437215820033622,26.353
"Gibert","1","F","AK","AK2",26.4703,8.42699620993283,27.678,13.771,38.738,2.66485018569942,0.31835665670328,31.714
"Gibert","1","F","AK","AK20",25.2851,10.6776839191736,24.58,10.164,45.675,3.37658013199417,0.422291543999176,24.056
"Gibert","1","F","AK","AK21",14.5415,9.16113969438301,13.3905,3.879,35.39,2.89700673972292,0.629999635139635,6.329
"Gibert","1","F","AK","AK3",24.288,14.1315024207147,22.607,5.789,50.293,4.46877344096416,0.581830633263947,24.158
"Gibert","1","F","AK","AK7",19.0461,10.2120728383397,18.8185,3.486,37.813,3.22934098006939,0.536176584095416,23.901
"Gibert","1","F","GI","GI1",21.5419,8.07489472170793,23.0685,7.216,33.019,2.55350591866686,0.374845984880996,23.068
"Gibert","1","F","GI","GI10",32.5307,11.8766775381183,33.822,13.73,54.674,3.75573520558152,0.365091361025687,19.757
"Gibert","1","F","GI","GI11",28.4328,6.78745990452655,27.196,18.726,41.638,2.14638328253729,0.238719363007743,27.139
"Gibert","1","F","GI","GI12",23.0185,8.67495039050817,26.257,6.526,32.412,2.74326018229729,0.3768686226517,12.464
"Gibert","1","F","GI","GI14",25.338,9.36983232388807,26.4855,9.487,37.348,2.96300114373548,0.369793682369882,18.374
"Gibert","1","F","GI","GI15",17.3229,4.15754562880019,16.847,11.946,27.042,1.31473136630855,0.240002864924475,16.178
"Gibert","1","F","GI","GI4",14.6078,3.81149139081046,14.879,8.095,22.365,1.2052994077084,0.26092165766306,11.81
"Gibert","1","F","GI","GI5",16.6022,4.67186845324699,15.7935,11.641,28.662,1.47737452409484,0.28140056457861,16.708
"Gibert","1","F","GI","GI7",24.0905,20.0187744005471,18.3825,12.996,80.251,6.33049230708007,0.830982105001852,80.251
"Gibert","1","F","GI","GI9",24.4695,5.55189677797898,25.7955,13.768,32.151,1.75566391525637,0.226890487258791,27.556
"Gibert","1","F","KA","KA10",24.4774,9.60052905023699,22.2605,12.809,40.594,3.0359538541362,0.39222013164131,35.488
"Gibert","1","F","KA","KA11",12.8345,4.93528054476699,11.996,5.608,24.456,1.56067274133803,0.384532357689586,5.608
"Gibert","1","F","KA","KA13",17.7732,3.13874585003487,17.684,12.558,22.645,0.992558588251148,0.176599928546062,20.19
"Gibert","1","F","KA","KA15",26.6258,10.7132418871849,21.046,16.156,46.998,3.3878245487825,0.402363192361729,18.379
"Gibert","1","F","KA","KA16",18.3811,8.37696649483305,16.186,8.132,35.632,2.64902940065896,0.455738040423753,21.835
"Gibert","1","F","KA","KA17",18.8368,8.77612067930801,17.768,7.946,35.056,2.77525303671175,0.465902949508835,19.436
"Gibert","1","F","KA","KA23",16.123,8.40982558941887,13.137,6.987,29.565,2.65942035873317,0.521604266539656,12.984
"Gibert","1","F","KA","KA24",17.3982,9.15157235791873,15.2625,6.43,35.618,2.89398128228609,0.526006848864752,21.874
"Gibert","1","F","KA","KA3",16.3102,3.47126476470273,16.473,10.589,21.608,1.09771030179491,0.212827847892897,12.672
"Gibert","1","F","KA","KA7",22.3506,9.38116457115592,19.8665,13.188,40.355,2.96658471497294,0.419727639130758,40.355
"Gibert","1","F","MA","MA16",19.6094,12.5697527086079,16.0555,5.634,42.533,3.97490481842717,0.64100649222352,14.319
"Gibert","1","F","MA","MA18",22.9372,7.34081969083381,22.732,14.183,32.036,2.32137101156479,0.320039921648405,31.418
"Gibert","1","F","MA","MA20",20.8719,5.37608067585796,22.248,11.073,26.399,1.70006598205285,0.25757504950953,25.843
"Gibert","1","F","MA","MA27",18.8148,10.8203170296541,14.4025,7.11,37.352,3.42168468188146,0.57509604299031,14.164
"Gibert","1","F","MA","MA3",14.0821,9.07968311304603,14.56,0.536,33.436,2.87124790697936,0.644767691824801,33.436
"Gibert","1","F","MA","MA30",19.9804,10.6669654562319,20.8655,5.935,35.699,3.37319065640299,0.533871466849107,5.935
"Gibert","1","F","MA","MA32",16.4262,4.30607418009077,15.208,11.659,24.441,1.36170021827289,0.262146703442718,15.049
"Gibert","1","F","MA","MA33",19.7219,7.73504429995215,17.795,11.906,35.784,2.44603577901514,0.392205837163364,15.592
"Gibert","1","F","MA","MA9",21.0688,12.3916706146598,16.634,5.604,42.283,3.91859031569035,0.588152652958866,11.305
"Gibert","1","F","MU","MU1",25.8865,13.8695200850242,21.3765,11.559,50.129,4.38592735221286,0.535781974582279,16.078
"Gibert","1","F","MU","MU11",22.6006,7.11847465246437,22.5615,13.255,36.262,2.2510593367963,0.314968392541099,13.255
"Gibert","1","F","MU","MU15",24.9973,11.8278190161068,20.77,13.782,46.086,3.74028478431493,0.473163862341405,16.142
"Gibert","1","F","MU","MU16",23.6075,11.1147040171517,22.196,9.411,44.854,3.51477802128227,0.470812412036503,17.5
"Gibert","1","F","MU","MU19",26.0829,9.43502907550133,26.4965,10.037,41.111,2.9836181668497,0.361732363943478,10.037
"Gibert","1","F","MU","MU20",19.747,4.1036123652758,18.854,15.106,26.327,1.29767617087024,0.207809407265701,26.327
"Gibert","1","F","MU","MU4",25.3103,6.3212224389134,22.7985,17.091,34.207,1.99894605035309,0.249749012809544,34.207
"Gibert","1","F","MU","MU5",19.2572,7.47146162704758,18.9305,3.618,32.017,2.36268361920179,0.387982761099619,18.422
"Gibert","1","F","MU","MU8",30.927,10.1399659543588,29.7965,14.284,46.271,3.20653878123368,0.327867751620228,14.284
"Gibert","1","F","MU","MU9",17.8346,6.03523949998857,16.4225,7.272,29.435,1.90851030445796,0.33840060892807,15.185
"Gibert","1","F","RE","RE10",24.9773,11.3954694511069,25.9815,6.708,38.576,3.60356384723666,0.456233037642456,17.15
"Gibert","1","F","RE","RE11",20.1392,10.6504264786805,17.62,8.824,42.215,3.3679605724797,0.528840593403932,14.367
"Gibert","1","F","RE","RE12",20.4177,8.42310367778212,20.99,6.465,32.954,2.66361925895325,0.412539300596155,15.646
"Gibert","1","F","RE","RE13",12.0418,7.38246816300469,10.1435,3.056,23.388,2.3345414148774,0.613070152552333,22.87
"Gibert","1","F","RE","RE15",19.5746,11.4113842591997,18.1325,7.513,47.736,3.60859655144644,0.582968962798715,8.356
"Gibert","1","F","RE","RE18",14.4729,6.920759776049,12.574,5.176,26.273,2.18853640311917,0.478187493594856,16.221
"Gibert","1","F","RE","RE3",18.8228,10.4738956649377,14.394,9.087,42.046,3.31213662761668,0.556447269531508,12.733
"Gibert","1","F","RE","RE6",12.7292,10.0103055653217,9.101,2.872,32.904,3.16553656606761,0.786404924529564,2.872
"Gibert","1","F","RE","RE7",17.5959,7.23081482191937,16.9365,9.318,30.675,2.286584417617,0.410937480999515,10.331
"Gibert","1","F","RE","RE8",18.3599,11.1762332001638,16.045,3.174,37.073,3.53423525737103,0.608730614010089,20.086
"Gibert","1","F","UM","UM17",34.0739,13.3374790092514,32.356,16.875,56.137,4.21768119139205,0.391428014088538,32.296
"Gibert","1","F","UM","UM18",20.8831,8.84228104620069,19.236,11.132,37.915,2.79617478173307,0.42341802922941,15.786
"Gibert","1","F","UM","UM2",15.4928,4.43756329031548,14.8715,10.462,26.145,1.40328072585479,0.286427455999915,17.247
"Gibert","1","F","UM","UM20",21.9675,6.97187319400843,21.062,9.562,35.571,2.20469988509396,0.317372172254851,16.977
"Gibert","1","F","UM","UM23",14.676,7.72048580797291,14.857,4.546,27.782,2.44143197961998,0.526061992911755,18.455
"Gibert","1","F","UM","UM25",15.7214,8.49600595312618,15.814,2.838,25.494,2.68667298262285,0.540410265824048,2.838
