"Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gibert","F","AK","AK1",54.6737777777778,13.3526021319608,53.94,39.795,78.015,4.45086737732027,0.244223148183259,53.94
"Gibert","F","AK","AK10",47.5433,11.1779595340314,43.948,33.927,67.997,3.53478117207338,0.235111141507456,59.432
"Gibert","F","AK","AK11",48.5575,12.0811039069744,44.889,37.709,77.788,3.82038049951979,0.248799956895935,77.788
"Gibert","F","AK","AK12",54.4381,13.0859047105936,52.862,33.987,80.332,2.92609724799721,0.240381363614704,74.923
"Gibert","F","AK","AK13",45.2903,6.70123683525827,46.254,32.18,55.072,2.11911715396347,0.147961855745232,46.802
"Gibert","F","AK","AK14",58.771,14.4344607950711,59.2865,34.641,81.84,4.56457729088296,0.245605158923127,81.84
"Gibert","F","AK","AK15",50.4627,15.0104892662135,53.5255,18.942,76.147,4.74673348747442,0.297457117162053,38.447
"Gibert","F","AK","AK16",45.0549,6.88031965423442,45.9875,32.644,53.266,2.17574811374029,0.152709686498792,44.645
"Gibert","F","AK","AK17",9.6416,9.17087235884473,6.717,0,26.356,2.90008447846304,0.951177435160629,25.239
"Gibert","F","AK","AK18",35.3781,16.0916654648714,39.155,10.229,58.247,5.08863142144657,0.454848210188545,58.247
"Gibert","F","AK","AK2",42.9492,14.517403554202,46.5645,11.811,57.892,4.59080609431019,0.338013363559786,57.892
"Gibert","F","AK","AK20",68.5401,10.3324394715543,69.3485,52.603,81.879,3.26740425159381,0.150750282995711,63.545
"Gibert","F","AK","AK3",61.7341,12.6938999562782,59.5655,46.95,85.981,4.0141636252151,0.20562217569023,46.95
"Gibert","F","AK","AK4",60.1605,10.8947989757601,59.1885,47.558,75.491,3.44523794130713,0.18109555232686,61.532
"Gibert","F","AK","AK5",24.2017,11.5875858290001,26.1725,8.754,38.568,3.66431638023308,0.47879222653781,37.549
"Gibert","F","AK","AK6",37.2581,22.3406677282584,35.572,5.342,69.559,7.06473944703161,0.599619082246769,69.559
"Gibert","F","AK","AK7",25.9044,20.1425835824945,27.8895,1.645,54.055,6.36964420809968,0.777573832341012,33.47
"Gibert","F","AK","AK8",29.7883,11.0054812005453,32.1265,9.176,41.589,3.48023873398874,0.369456504753386,41.589
"Gibert","F","AK","AK9",57.3468,8.46663342250691,57.5365,41.163,66.987,2.67738457288286,0.147639160729228,66.523
"Gibert","F","AK","AK21",73.111,9.37431467124694,70.3885,58.667,88.36,2.96441858642729,0.128220304348825,68.699
"Gibert","F","GI","GI1",19.2091,20.9854746191,13.3165,0,58.945,6.63618975760104,1.09247568179144,20.491
"Gibert","F","GI","GI10",42.04395,17.0063492801799,44.6255,10.923,65.933,3.80273530395868,0.404489808407151,62.468
"Gibert","F","GI","GI11",48.9721,13.2356221652025,50.4535,26.284,67.204,4.18547122914493,0.270268625711426,51.832
"Gibert","F","GI","GI12",44.6895,11.3393994280512,47.638,23.492,60.656,3.58583294910525,0.253737442308624,35.208
"Gibert","F","GI","GI13",45.7953,16.7477930423351,49.139,7.251,67.964,5.29611717948998,0.365709866347314,55.396
"Gibert","F","GI","GI15",62.027,15.6916089607719,62.5235,36.43,83.63,4.9621224468747,0.252980298269656,61.224
"Gibert","F","GI","GI2",48.2363,21.6720427179042,48.3155,3.048,80.734,6.85330165370434,0.449289077269696,44.457
"Gibert","F","GI","GI3",42.6476,20.2820416471759,45.1215,11.432,74.97,6.4137447203469,0.475572872733188,13.486
"Gibert","F","GI","GI4",40.3286,16.0292726472538,39.9065,18.526,65.31,5.06890108011589,0.397466627833692,25.255
"Gibert","F","GI","GI5",58.6357,17.837406793652,65.0605,29.734,76.949,5.64068330189014,0.304207279757076,29.734
"Gibert","F","GI","GI7",60.3501,8.73591536194755,57.6835,51.495,74.908,2.76253899902085,0.144753950067151,51.495
"Gibert","F","GI","GI8",32.3708,13.6696159972075,33.994,7.232,55.114,4.32271212910496,0.422282303718397,7.232
"Gibert","F","GI","GI9",48.6756,16.3729601016093,44.859,31.724,79.772,5.17758459601472,0.336368942583333,36.091
"Gibert","F","GI","GI14",29.6895,13.2304440107739,30.764,13.879,49.537,4.18383375293787,0.445627040225463,27.226
"Gibert","F","GI","GI6",71.6222,8.65721991301031,74.29,51.619,79.347,2.73765331300773,0.120873415128414,74.77
"Gibert","F","KA","KA1",46.6441,12.19596177657,49.138,23.511,62.37,3.85670174703146,0.261468476754187,60.257
"Gibert","F","KA","KA10",57.0288,18.0826701002799,50.773,42.484,98.472,5.71824236943097,0.317079617671771,44.583
"Gibert","F","KA","KA11",37.68945,14.3345711057863,38.3545,13.166,67.9,3.20530754208424,0.380333783214832,53.921
"Gibert","F","KA","KA13",41.192,21.4393517988664,44.457,9.642,68.243,6.77971832420459,0.520473679327695,11.611
