"Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gibert","1","F","AK",47.6179393939394,22.8156461969422,51.255,0,88.36,2.2930587207502,0.47913972102384,53.94
"Gibert","1","F","GI",46.47658,19.1869192147445,49.3015,0,83.63,1.91869192147445,0.412829842788443,20.491
"Gibert","1","F","KA",54.42396,18.0916231114421,53.5945,9.642,98.472,1.80916231114421,0.332420189773807,53.04
"Gibert","1","F","MA",65.2295888888889,21.1356910785622,69.7265,0.248,92.511,2.22789745766525,0.32401999519826,89.885
"Gibert","1","F","MU",56.21044,17.6549337536239,54.7115,17.438,90.998,1.76549337536239,0.314086382416218,66.47
"Gibert","1","F","RE",54.10893,20.9833553754692,58.115,0,87.534,2.09833553754692,0.387798379592226,24.051
"Gibert","1","F","UM",56.9719333333333,14.1972335490033,55.751,24.578,88.826,1.49651981627354,0.249196976797989,43.613
"Gibert","1","F","VA",55.2517,16.1615329937089,55.659,0.176,90.819,1.70357515800266,0.292507434046534,60.429
"Gibert","1","F","YE",51.7807065217391,18.8769307109702,54.085,10.167,90.048,1.96805607319698,0.364555294413472,80.551
"Gibert","2","F","AK",44.1928222222222,16.4833847999257,44.5195,5.342,81.84,1.73750131722547,0.37298782858989,37.549
"Gibert","2","F","GI",45.4285833333333,21.0088458748437,45.1435,3.048,80.734,2.71223033987694,0.462458750269424,44.457
"Gibert","2","F","KA",58.7039181818182,20.1638886072079,61.1345,0.713,91.494,1.92255134406881,0.343484544673085,60.257
"Gibert","2","F","MA",47.1729339622642,23.1277313388346,47.394,2.703,89.546,2.24636384778071,0.490275448148626,43.682
"Gibert","2","F","MU",46.5621376146789,17.9946339961893,46.445,6.83,78.427,1.72357334344843,0.386464945941753,21.592
"Gibert","2","F","RE",55.3407714285714,14.7551074018372,56.0455,19.059,84.743,1.76357265004775,0.266622727167468,52.239
"Gibert","2","F","UM",51.50545,14.378041375144,51.897,7.901,80.357,1.4378041375144,0.279155727697633,50.883
"Gibert","2","F","VA",47.9586909090909,21.7713036533408,47.082,0.665,94.001,2.07581235525664,0.453959506413757,56.162
"Gibert","2","F","YE",46.413780952381,21.0861159273935,48.642,0,84.121,2.05779420717446,0.454307222870449,0
"Gibert","3","F","AK",55.3116,13.7004408665138,55.0925,18.942,76.147,3.0635117099241,0.247695616588814,61.532
"Schmidt","1","F","AK",0.2145,0.219271864938867,0.1,0,0.9,0.0155048622621694,1.02224645659146,0
"Schmidt","1","F","GI",0.233333333333333,0.266105852866809,0.1,0,0.9,0.0242920297165504,1.14045365514347,0
"Schmidt","1","F","KA",0.357368421052632,0.294613765725849,0.3,0,0.9,0.0213735289989579,0.824397871692362,0
"Schmidt","1","F","MA",0.371584699453552,0.288156707567697,0.4,0,1,0.0213011567602278,0.775480551248361,0
"Schmidt","1","F","MU",0.301015228426396,0.2993172243412,0.2,0,1,0.0213254692448798,0.99435907580466,0
"Schmidt","1","F","RE",0.31984126984127,0.305684763446225,0.2,0,1,0.0272325631707813,0.95573896263584,0
"Schmidt","1","F","UM",0.478767123287671,0.271955600866579,0.4,0,1,0.0225072056715576,0.568033157747075,0.4
"Schmidt","1","F","VA",0.371428571428571,0.303698333057886,0.3,0,1,0.0234308350843675,0.81764935823277,0.1
"Schmidt","1","F","YE",0.330978260869565,0.319266782195318,0.2,0,1,0.0235366594510786,0.964615565253505,0
"Abbott","1","F","AK",33.9807576923077,17.2239080881515,34.3835,0,81.147,1.0681814341514,0.506872396551962,42.773
"Abbott","1","F","GI",34.0349096385542,19.2744067549541,33.271,0.031,73.528,1.49598409355353,0.566312852293293,55.51
"Abbott","1","F","KA",32.9297256637168,17.5905119800409,32.322,0.329,81.542,1.17010345151891,0.534183374610458,70.043
"Abbott","1","F","MA",47.6369248826291,17.8417733720717,47.382,0.01,92.234,1.22249816778451,0.374536631321846,71.475
"Abbott","1","F","MU",31.5159758454106,15.2660170715078,31.407,0,75.538,1.06106153488359,0.484389794762801,43.941
"Abbott","1","F","RE",42.9832526315789,16.8755051733711,41.6615,2.048,82.501,1.22427782118894,0.392606518590289,19.901
"Abbott","1","F","UM",41.7251697247706,13.1691513575467,39.5215,13.679,78.29,0.891927475447748,0.315616483873249,30.078
"Abbott","1","F","VA",33.7643797468354,16.6837386252662,32.145,0.169,80.107,1.08372528031356,0.494122467237973,38.697
"Abbott","1","F","YE",32.4849449152542,17.0172167997507,31.727,0.037,80.171,1.10772646154206,0.523849335258063,14.301
