"Supervisor.PI","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gibert","F","AK",33.4341818238804,11.2299717406675,33.75663193,9.012701962,63.70847577,0.776793388182697,0.335882953554032,29.41386112
"Gibert","F","GI",31.5058941514562,9.81308311863316,31.305429795,5.404780773,57.69402065,0.775792338085727,0.311468167558088,22.89759637
"Gibert","F","KA",33.028081618619,9.16443577967065,32.097163155,10.82826254,58.1752871,0.632406150235551,0.277474056334666,41.20947475
"Gibert","F","MA",36.306909073051,11.1166472542022,35.626282615,9.027779975,64.80742217,0.794046232443014,0.306185448941275,60.8447157
"Gibert","F","MU",35.0848234759809,9.86787117310764,33.30190549,14.64950074,72.83079202,0.682574921800565,0.281257540881265,46.61223542
"Gibert","F","RE",33.4801042045765,9.56657641759624,32.857528765,9.054528446,60.51431317,0.733722917542922,0.28573914702119,35.70308513
"Gibert","F","UM",35.7337165264737,9.84821696282734,34.76235122,12.67219482,68.04344012,0.714464751246179,0.275600131196294,26.02259018
"Gibert","F","VA",34.764720634645,10.2294213818176,34.58992195,8.200214389,72.49633127,0.723329322669788,0.29424719068858,40.42142546
"Gibert","F","YE",34.6434608015076,11.36547638415,34.73782351,7.797291624,62.87186891,0.809756664077939,0.328069890282306,57.97090584
"Schmidt","F","AK",29.8666666666667,14.2790253144521,26.6666666666667,0,80,1.00967956285835,0.478092365439246,23.3333333333333
"Schmidt","F","GI",28.3333333333333,18.8858678311278,23.3333333333333,0,73.3333333333333,1.72403597152831,0.666560041098628,10
"Schmidt","F","KA",37,18.9511888877366,36.6666666666667,0,76.6666666666667,1.37486374494017,0.512194294263152,13.3333333333333
"Schmidt","F","MA",39.9817850637523,19.0061273705697,40,6.66666666666667,90,1.40497336307971,0.475369654963225,43.3333333333333
"Schmidt","F","MU",33.9424703891709,17.6791467275271,30,3.33333333333333,86.6666666666667,1.25958705063971,0.520856217146985,16.6666666666667
"Schmidt","F","RE",38.0952380952381,20.6964455195296,38.3333333333333,0,83.3333333333333,1.84378591090744,0.543281694887652,16.6666666666667
"Schmidt","F","UM",46.2785388127854,16.7217951426495,46.6666666666667,6.66666666666667,80,1.38390561280592,0.361329367167266,30
"Schmidt","F","VA",33.9285714285714,20.0243412374092,31.6666666666667,0,80,1.54491146685815,0.590191110155218,13.3333333333333
"Schmidt","F","YE",35.1630434782609,20.3006542355845,35,0,83.3333333333333,1.49658408585939,0.577329270378293,36.6666666666667
"Abbott","F","AK",20.8501056766,7.02276990590696,20.833752015,4.615515911,44.31743437,0.435533700680125,0.336821789531196,22.26782899
"Abbott","F","GI",19.8054824573795,7.52629190395063,19.27825988,3.889927216,41.31621769,0.584153541787059,0.38001053092985,14.34484458
"Abbott","F","KA",17.5952770851327,8.5888425498635,15.877583605,4.076652578,44.69387234,0.571321307961408,0.488133406953887,41.9181466
"Abbott","F","MA",30.0581453315681,8.06765533279664,29.85184203,9.466513304,55.30696868,0.552786634881214,0.268401634359114,46.08410946
"Abbott","F","MU",20.5871939835942,7.10599866333231,20.51539256,6.026426183,52.39062683,0.493901049191697,0.345165964288044,25.22777886
"Abbott","F","RE",25.4030434454105,7.2264299312057,24.986024295,7.000271753,46.14283898,0.524260328817386,0.284471029888006,24.10788461
"Abbott","F","UM",23.6911652206881,6.81821602367654,22.450256275,10.63349601,45.00859632,0.461787858605653,0.287795723011657,26.69716905
"Abbott","F","VA",16.0999516263797,6.54254856717211,15.50290954,2.969357687,50.75648879,0.424984198037362,0.406370697192168,20.96943966
"Abbott","F","YE",20.8249821261356,8.34934610128843,19.50042421,4.116700428,47.69940548,0.543496138164364,0.400929328568782,18.26329261
