"Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gonzalez","1","F","AK","AK1",102.545454545455,18.5276206587011,104,56,128,5.58628781663171,0.180677151813574,96
"Gonzalez","1","F","AK","AK10",96.8,25.1431457414894,88,72,144,7.95096080846697,0.259743241131089,72
"Gonzalez","1","F","AK","AK11",80,20.3087282823038,72,56,112,6.42218377535589,0.253859103528797,64
"Gonzalez","1","F","AK","AK12",61.6,12.5361698917794,64,32,72,3.96428499928493,0.203509251489925,72
"Gonzalez","1","F","AK","AK13",70.4,15.3883072493371,72,48,88,6.8818602136341,0.21858390979172,48
"Gonzalez","1","F","AK","AK14",108,14.2361043360417,108,80,128,4.5018514709691,0.131815780889275,104
"Gonzalez","1","F","AK","AK15",82.4,21.3499934946646,80,56,120,6.75146074729182,0.259101862799328,80
"Gonzalez","1","F","AK","AK17",80.8,19.3953029823661,76,48,112,6.13333333333333,0.240040878494629,72
"Gonzalez","1","F","AK","AK18",53.6,5.39958846168442,56,48,64,1.70749979664876,0.100738590703068,56
"Gonzalez","1","F","AK","AK20",97.7777777777778,15.3767501262277,104,72,120,5.12558337540924,0.157262217200056,104
"Gonzalez","1","F","AK","AK4",74.4,10.0133244562766,72,56,88,3.16649122321011,0.134587694304793,72
"Gonzalez","1","F","AK","AK5",75.6363636363636,21.5743955988237,72,40,104,6.50492502545393,0.285238403349833,104
"Gonzalez","1","F","AK","AK6",76.4444444444444,14.4837073216003,72,56,96,4.82790244053343,0.189467101590701,64
"Gonzalez","1","F","AK","AK7",115.2,31.1441094840671,120,72,184,9.84863216673034,0.270348172604749,120
"Gonzalez","1","F","AK","AK8",85.3333333333333,16.9705627484771,88,64,104,5.65685424949238,0.198873782208716,64
"Gonzalez","1","F","AK","AK21",92.8,19.3034251422441,92,72,120,6.10427900920512,0.208011046791424,72
"Gonzalez","1","F","GI","GI1",50,5.65685424949238,48,40,56,2,0.113137084989848,48
"Gonzalez","1","F","GI","GI12",68.8,17.3640753025064,64,56,112,5.49100274185973,0.252384815443406,56
"Gonzalez","1","F","GI","GI13",53.3333333333333,13.2664991614216,56,32,72,4.42216638714053,0.248746859276655,56
"Gonzalez","1","F","GI","GI15",101.6,22.9550284977678,104,72,144,7.25901738070197,0.22593531985992,104
"Gonzalez","1","F","GI","GI3",74.6666666666667,20,72,48,104,6.66666666666667,0.267857142857143,72
"Gonzalez","1","F","GI","GI4",75.2,18.5520289396545,76,48,112,5.86666666666667,0.246702512495405,64
"Gonzalez","1","F","GI","GI7",81.6,12.9546216549239,80,64,104,4.09661106552992,0.158757618320145,80
"Gonzalez","1","F","GI","GI8",66.6666666666667,19.5959179422654,64,48,112,6.53197264742181,0.293938769133981,72
"Gonzalez","1","F","GI","GI9",95.1111111111111,21.3333333333333,88,72,136,7.11111111111111,0.224299065420561,80
"Gonzalez","1","F","GI","GI6",61.3333333333333,16.4924225024706,56,40,88,5.49747416749021,0.268898192975065,56
"Gonzalez","1","F","KA","KA1",80.7272727272727,25.1598525794207,72,56,128,7.58598098059945,0.311664840510842,56
"Gonzalez","1","F","KA","KA15",88,32,84,48,144,11.3137084989848,0.363636363636364,48
"Gonzalez","1","F","KA","KA16",89.3333333333333,32.331615074619,72,56,136,9.33333333333333,0.361921064268124,64
"Gonzalez","1","F","KA","KA17",69.6,35.787024339991,64,40,160,11.3168507594256,0.514181384195274,40
"Gonzalez","1","F","KA","KA18",103.2,25.9777682729761,92,72,136,8.21489162706633,0.251722560784652,136
"Gonzalez","1","F","KA","KA2",105.6,17.6080789538338,108,80,128,5.56816347141896,0.166743171911305,80
"Gonzalez","1","F","KA","KA9",66.6666666666667,9.79795897113271,64,56,80,3.2659863237109,0.146969384566991,56
"Gonzalez","1","F","MA","MA13",112,19.5959179422654,112,88,152,6.19677335393187,0.174963553055941,88
"Gonzalez","1","F","MA","MA16",71.2,18.6476093195169,72,40,104,5.89689183666559,0.261904625274114,64
"Gonzalez","1","F","MA","MA18",114.4,11.9554729447786,116,88,128,3.78065250100209,0.104505882384428,112
"Gonzalez","1","F","MA","MA19",65.7777777777778,19.9109126974241,72,32,96,6.63697089914137,0.302699686278407,48
"Gonzalez","1","F","MA","MA20",86,19.0310750663702,88,56,120,5.49379815626841,0.221291570539189,88
"Gonzalez","1","F","MA","MA21",87.3333333333333,21.9641581314705,88,56,128,6.34050630486401,0.2514979938718,88
"Gonzalez","1","F","MA","MA26",64,9.79795897113271,56,56,80,3.2659863237109,0.153093108923949,56
"Gonzalez","1","F","MA","MA27",88.8,20.4656894446399,88,64,120,6.47181925307285,0.230469475727927,64
"Gonzalez","1","F","MA","MA28",83.2,17.3640753025064,84,56,112,5.49100274185973,0.208702828155124,96
"Gonzalez","1","F","MA","MA30",50.4,7.58946638440411,48,40,64,2.4,0.150584650484209,48
"Gonzalez","1","F","MA","MA33",99.2,20.3786380528457,104,72,128,6.4442911859171,0.205429819081105,104
"Gonzalez","1","F","MA","MA5",108,41.5264306730598,116,48,160,13.1318104023948,0.384503987713517,48
"Gonzalez","1","F","MA","MA6",82.6666666666667,18.7616630392937,80,56,120,6.25388767976457,0.226955601281779,80
"Gonzalez","1","F","MA","MA7",89.6,14.5082352093178,84,72,120,4.5879068090894,0.161922267961136,80
"Gonzalez","1","F","MA","MA9",96.8,20.1152236433559,100,72,128,6.3609922356675,0.207801897142106,72
"Gonzalez","1","F","MU","MU1",80,16,80,64,104,5.33333333333333,0.2,64
"Gonzalez","1","F","MU","MU10",101,17.5987012507823,100,80,136,6.22208049725216,0.174244566839428,88
"Gonzalez","1","F","MU","MU11",108,16.9705627484771,100,88,136,5.36656314599949,0.157134840263677,96
"Gonzalez","1","F","MU","MU12",62.4,15.4574685292687,60,40,88,4.88808074128623,0.247715841815204,48
"Gonzalez","1","F","MU","MU14",138.909090909091,18.6839746598766,144,96,168,5.63343032175624,0.13450505317974,136
"Gonzalez","1","F","MU","MU15",136.888888888889,19.7765292989218,136,104,168,6.59217643297392,0.144471399099266,120
"Gonzalez","1","F","MU","MU17",98.6666666666667,19.5959179422654,104,72,128,6.53197264742181,0.198607276441879,104
"Gonzalez","1","F","MU","MU18",91.2,22.3745887609632,92,56,120,7.07546621942485,0.245335403080737,72
"Gonzalez","1","F","MU","MU19",115.2,23.0014492297043,124,64,136,7.27369690505912,0.199665357896739,128
"Gonzalez","1","F","MU","MU20",98.6666666666667,16.9705627484771,96,80,120,5.65685424949238,0.171998946775106,120
"Gonzalez","1","F","MU","MU3",80.8888888888889,13.531855420123,80,64,96,4.51061847337432,0.167289421402619,96
"Gonzalez","1","F","MU","MU4",77.6,11.9554729447786,72,64,96,3.78065250100209,0.154065372999724,72
"Gonzalez","1","F","MU","MU5",72.8,27.0505699262203,72,24,120,8.5541412972509,0.371573762722806,72
"Gonzalez","1","F","MU","MU6",87,28.5056385399701,84,48,136,10.0782651568327,0.327651017700806,72
"Gonzalez","1","F","MU","MU7",86.4,9.08233939516075,88,72,96,2.8720878971384,0.105119668925472,88
"Gonzalez","1","F","MU","MU8",115.2,23.9109458895572,112,88,152,7.56130500200417,0.207560294180184,88
"Gonzalez","1","F","MU","MU9",44,10.8320512061813,44,32,64,3.4253953543107,0.246182981958665,32
"Gonzalez","1","F","RE","RE10",74.4,14.1358488327451,72,56,104,4.47014789713072,0.189997968182058,64
"Gonzalez","1","F","RE","RE11",96.8888888888889,15.7197681634021,96,64,112,5.23992272113404,0.162245313613095,112
"Gonzalez","1","F","RE","RE12",90.4,19.2480879281265,92,64,120,6.08677984560711,0.212921326638567,96
"Gonzalez","1","F","RE","RE13",101.818181818182,18.2746719905895,104,72,136,5.51002092360024,0.179483385621861,104
"Gonzalez","1","F","RE","RE18",95,12.4211800681624,96,80,112,4.3915503282684,0.130749263875393,96
"Gonzalez","1","F","RE","RE2",86.4,25.7992247945554,80,64,144,8.15843122174846,0.298602138825872,80
"Gonzalez","1","F","RE","RE3",84.4444444444444,17.0228604464049,88,64,112,5.67428681546831,0.201586505286374,96
"Gonzalez","1","F","RE","RE5",52,10.1543641411519,56,32,64,3.21109188767795,0.19527623348369,56
