"Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gonzalez","F","AK","AK1",100.666666666667,22.1681882757381,104,24,144,3.69469804595635,0.22021379081859,104
"Gonzalez","F","AK","AK10",87.7647058823529,25.1818342696397,88,8,144,4.31864894853635,0.286924385109836,88
"Gonzalez","F","AK","AK11",76.7058823529412,16.8406604127408,76,40,112,2.8881494336505,0.219548486975915,64
"Gonzalez","F","AK","AK12",71.2727272727273,18.4784887221479,72,32,120,3.2166920023553,0.259264510132177,56
"Gonzalez","F","AK","AK13",80.8571428571429,21.8101476309203,80,16,128,4.12173047778712,0.269736808156259,80
"Gonzalez","F","AK","AK14",93.9354838709677,19.7009906415405,96,64,136,3.53840237440054,0.209728952571344,72
"Gonzalez","F","AK","AK15",87.2,19.8588119934981,88,40,128,3.62570643136435,0.227738669650207,80
"Gonzalez","F","AK","AK16",110.628571428571,17.5148436447249,112,72,136,2.96054892544879,0.15832115897866,128
"Gonzalez","F","AK","AK17",70.7469879518072,16.5033946053487,64,48,112,1.81148289617395,0.233273459169609,64
"Gonzalez","F","AK","AK18",70.4444444444444,16.2066026129466,72,48,128,2.7011004354911,0.230062182202712,56
"Gonzalez","F","AK","AK2",89.1707317073171,25.3967541617274,96,24,128,3.96630663719708,0.284810426868387,112
"Gonzalez","F","AK","AK20",91.8787878787879,14.9828184426312,88,64,120,2.60817391410303,0.163071572759508,88
"Gonzalez","F","AK","AK21",90.5882352941177,16.909953402188,96,48,120,2.900033083301,0.186668316777401,96
"Gonzalez","F","AK","AK3",79.0857142857143,17.4379090566761,80,56,136,2.94754460656375,0.220493792262885,72
"Gonzalez","F","AK","AK4",83.8857142857143,22.1542339978979,80,24,136,3.74474902471491,0.264100200928619,72
"Gonzalez","F","AK","AK5",99.0344827586207,29.9648398229619,104,40,160,5.5643310643461,0.302569761443557,104
"Gonzalez","F","AK","AK6",90.1818181818182,18.1408629643385,96,56,128,3.15791890184558,0.201158762709399,104
"Gonzalez","F","AK","AK7",99.6363636363636,23.8403782764376,96,56,184,4.15007716745939,0.239273869562786,88
"Gonzalez","F","AK","AK8",83.1515151515152,17.9932647331599,88,40,120,3.1322253477388,0.216391303277798,88
"Gonzalez","F","AK","AK9",63.3142857142857,16.7327987683426,64,24,96,2.82835921451617,0.264281568994581,56
"Gonzalez","F","GI","GI1",75.5,26.175585768471,72,32,136,4.62723354960398,0.346696500244649,56
"Gonzalez","F","GI","GI10",79.3333333333333,17.1447617989536,80,48,120,2.85746029982559,0.216110442843952,72
"Gonzalez","F","GI","GI11",92.1212121212121,20.3097230036465,96,40,120,3.5354689735843,0.220467387868531,96
"Gonzalez","F","GI","GI12",54.1176470588235,17.4003913329076,56,24,112,2.98414249451962,0.321528970281987,48
"Gonzalez","F","GI","GI13",64.5,15.3328658180246,64,32,96,2.71049334873716,0.237718849891855,72
"Gonzalez","F","GI","GI15",86.5882352941177,20.5118113011028,80,56,144,3.51774661684926,0.236889125080671,80
"Gonzalez","F","GI","GI3",70.3030303030303,22.3389861683628,72,40,128,3.88871834861535,0.317752820498263,72
