"Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Kozeretska","1","F","AK","AK1",920.5,36.4742158387625,920,851,1004,8.15588260414724,0.0396243518074552,912
"Kozeretska","1","F","AK","AK10",947.15,49.025530405891,954,811,1024,10.9624418620555,0.0517611047942681,932
"Kozeretska","1","F","AK","AK11",1013.8,42.8161307526915,1012,952,1112,9.57397788965375,0.0422333110600627,1008
"Kozeretska","1","F","AK","AK12",874.65,46.0014587869376,871,787,956,10.2862388911747,0.052594133409864,863
"Kozeretska","1","F","AK","AK13",982.6,38.1526021737912,980,912,1064,8.53118119791034,0.0388282130814077,1020
"Kozeretska","1","F","AK","AK14",981.15,56.4635653366515,978,871,1088,12.6256370344754,0.0575483517674683,944
"Kozeretska","1","F","AK","AK15",973.6,42.4591444493224,974,900,1092,9.49415332551676,0.0436104606094108,976
"Kozeretska","1","F","AK","AK16",925.05,40.0085188297114,946,843,972,8.94617677823149,0.0432501149448261,952
"Kozeretska","1","F","AK","AK17",950.6,54.8648099278677,958,876,1044,12.2681444571318,0.0577159793055625,884
"Kozeretska","1","F","AK","AK2",889.15,47.8872304701918,896,811,948,10.7079102585548,0.0538573136930684,948
"Kozeretska","1","F","AK","AK20",900.95,56.3835315635598,900,763,984,12.6077409387625,0.0625823092996946,888
"Kozeretska","1","F","AK","AK3",891.1,53.1263637595854,881.5,799,988,11.8794160763814,0.0596188573219452,831
"Kozeretska","1","F","AK","AK4",908.3,39.973807213698,898,851,1000,8.93841502493002,0.0440094761793438,876
"Kozeretska","1","F","AK","AK5",945.8,27.1440601237177,946,908,1012,6.06959636219741,0.0286995772084137,912
"Kozeretska","1","F","AK","AK6",902.65,57.7774997181793,916,795,1012,12.9194416939824,0.0640087516957617,940
"Kozeretska","1","F","AK","AK7",929.15,53.1643677663903,938,735,996,11.8879140306447,0.0572182831258573,940
"Kozeretska","1","F","AK","AK8",976.4,41.3029882951012,978,908,1076,9.23562895017243,0.0423012989503289,920
"Kozeretska","1","F","AK","AK9",940.7,50.5549206309336,944,843,1052,11.3044239127874,0.0537418099616601,944
"Kozeretska","1","F","AK","AK21",1012.2,33.3523454552813,1006,932,1056,7.45781116470651,0.0329503511709951,1052
"Kozeretska","1","F","GI","GI1",967.95,52.6322644692198,968,859,1076,11.7689321162922,0.0543749826635878,940
"Kozeretska","1","F","GI","GI11",934.7,40.8026056959473,948,847,992,9.12373999952582,0.0436531568374315,884
"Kozeretska","1","F","GI","GI15",958.2,29.2351626785641,958,888,996,6.53718110825341,0.0305105016474265,940
"Kozeretska","1","F","GI","GI2",897.4,44.9261382130363,910,795,948,10.04578990109,0.0500625565110723,928
"Kozeretska","1","F","GI","GI3",871.55,52.8697256919009,876,747,940,11.8220300598857,0.0606617241602901,876
"Kozeretska","1","F","GI","GI8",956.5,44.3033799352173,964,843,1016,9.9065369168146,0.0463182226191503,944
"Kozeretska","1","F","GI","GI9",905.8,52.9504236850004,918,787,984,11.8400746797076,0.0584570806855823,952
"Kozeretska","1","F","GI","GI14",903.35,58.8935480337193,906,795,1032,13.1689976839545,0.0651946067789,936
"Kozeretska","1","F","GI","GI6",986,49.1185461811256,990,884,1088,10.983240821696,0.0498159697577339,1012
"Kozeretska","1","F","KA","KA1",883.2,70.7535381298684,890,735,976,15.8209720907009,0.0801104371941444,843
"Kozeretska","1","F","KA","KA10",945.7,55.5622931586938,962,859,1040,12.4241064488611,0.0587525570040116,1004
"Kozeretska","1","F","KA","KA13",948.5,44.2130011838623,950,863,1044,9.88632761363948,0.0466136016698601,952
"Kozeretska","1","F","KA","KA14",882.35,33.5061266981994,884,831,956,7.49219769598944,0.0379737368370821,855
"Kozeretska","1","F","KA","KA15",980,50.396324009636,984,884,1052,11.2689606301651,0.0514248204179959,1008
"Kozeretska","1","F","KA","KA16",888.3,69.9368888431036,912,723,972,15.6383637588026,0.0787311593415553,900
"Kozeretska","1","F","KA","KA17",913.15,55.1183177117047,926,819,1012,12.3248305208802,0.060360639228719,924
"Kozeretska","1","F","KA","KA18",904.7,61.77216201494,914,723,980,13.8126753382536,0.0682791665910689,863
"Kozeretska","1","F","KA","KA2",860.45,42.4009371793149,861,795,948,9.48113778426464,0.0492776305181183,823
"Kozeretska","1","F","KA","KA3",879.3,40.3094608197498,877.5,807,952,9.0134694529325,0.0458426712382007,831
"Kozeretska","1","F","KA","KA5",905.75,44.186059959413,914,815,980,9.88030337271291,0.0487839469604339,920
"Kozeretska","1","F","KA","KA7",873,51.7137872281047,882,735,928,11.5635543616003,0.0592368696770959,871
"Kozeretska","1","F","MA","MA13",982.55,52.0278012726192,990,839,1044,11.6337700365427,0.0529518103634616,1012
"Kozeretska","1","F","MA","MA16",952.15,40.3096893145008,952,867,1008,9.01352054591207,0.042335440124456,1008
"Kozeretska","1","F","MA","MA18",995.8,35.3859918760607,1002,932,1048,7.9125483286127,0.0355352398835717,1016
"Kozeretska","1","F","MA","MA19",902.7,42.3022955704098,912,787,968,9.45908084997246,0.04686196473957,884
"Kozeretska","1","F","MA","MA20",938.2,39.1590548781169,940,876,1008,8.75623086421141,0.0417384937946247,892
"Kozeretska","1","F","MA","MA21",902.85,44.9985672286527,896,795,980,10.0619855213362,0.0498405795299914,876
"Kozeretska","1","F","MA","MA27",986.4,31.7463632397062,984,928,1056,7.09870262423835,0.0321840665447143,1012
"Kozeretska","1","F","MA","MA28",1029.4,47.7938555839445,1036,932,1100,10.6870309992508,0.0464288474683743,1036
"Kozeretska","1","F","MA","MA3",899.75,48.5840292147208,896,819,984,10.8637191944951,0.0539972539202231,863
"Kozeretska","1","F","MA","MA30",988.2,51.4787641449825,994,912,1068,11.511001602586,0.0520934670562462,1020
"Kozeretska","1","F","MA","MA31",955.9,71.1291634615285,959.5,852,1081,15.9049644682672,0.0744106741934601,881
"Kozeretska","1","F","MA","MA32",1034.2,40.5950476626995,1030,972,1100,9.077328612364,0.0392526084535868,1024
"Kozeretska","1","F","MA","MA33",1067.2,29.667632548834,1064,996,1124,6.63388431106781,0.027799505761651,1048
"Kozeretska","1","F","MA","MA5",941.55,43.7221791241976,948,851,1008,9.77657646461281,0.0464363858788143,928
"Kozeretska","1","F","MA","MA6",983.4,52.7041394559239,982,876,1052,11.7850038519075,0.0535937964774496,956
"Kozeretska","1","F","MA","MA7",1019.2,44.1356759859509,1018,936,1096,9.86903717374912,0.0433042346800931,1036
"Kozeretska","1","F","MA","MA9",944.55,40.9537287037071,956,823,992,9.15753213135734,0.0433579256828194,960
"Kozeretska","1","F","MU","MU1",872.7,46.8458839398432,877.5,759,948,10.4750580955555,0.0536792528243878,827
"Kozeretska","1","F","MU","MU11",854.3,54.6530684841834,865.5,743,924,12.2207976309586,0.0639740939765696,884
"Kozeretska","1","F","MU","MU12",975.15,41.9940785299421,980,871,1052,9.39016142454151,0.0430642245089905,940
"Kozeretska","1","F","MU","MU13",894.9,52.2493011789077,906,791,960,11.6832989212898,0.0583856309966563,867
"Kozeretska","1","F","MU","MU14",943.7,51.1551818643913,950,859,1032,11.4386464050143,0.0542070381099833,920
"Kozeretska","1","F","MU","MU15",933.25,55.4122112705741,938,803,1008,12.3905471184584,0.0593755277477354,847
"Kozeretska","1","F","MU","MU16",967.6,39.2969799294926,972,892,1020,8.78707184327904,0.0406128358097278,1004
"Kozeretska","1","F","MU","MU17",997,31.8648461639568,998,944,1052,7.12519621151808,0.0319607283490038,1016
"Kozeretska","1","F","MU","MU18",977.6,43.6136144847117,984,876,1044,9.75230067322848,0.0446129444401715,976
"Kozeretska","1","F","MU","MU2",998.15,47.6945048142203,1008,851,1060,10.6648154917788,0.0477829031851128,1020
"Kozeretska","1","F","MU","MU20",1014,32.1967634855954,1016,964,1076,7.19941518092743,0.031752232234315,1020
"Kozeretska","1","F","MU","MU3",977.6,32.1679801568022,980,884,1040,7.19297903294741,0.0329050533518844,980
"Kozeretska","1","F","MU","MU5",1027.2,32.5116982994704,1034,952,1084,7.26983674615802,0.0316507966311044,1052
"Kozeretska","1","F","MU","MU6",937.1,40.937564785003,938,847,1004,9.15391776925682,0.0436853748639451,936
"Kozeretska","1","F","MU","MU7",932.05,51.5909773833412,922,863,1084,11.5360932454805,0.0553521564115028,871
"Kozeretska","1","F","MU","MU8",936.55,54.3918289141998,930,819,1076,12.1623826872689,0.0580768020011743,904
"Kozeretska","1","F","MU","MU9",960.5,67.5016568997423,970,759,1036,15.0938293421691,0.0702776230085813,1028
"Kozeretska","1","F","RE","RE10",988.8,39.333392803999,984,924,1076,8.79521400954429,0.039778916670711,1012
"Kozeretska","1","F","RE","RE11",974.6,45.0921862760933,972,912,1084,10.0829193767428,0.0462673776688829,928
"Kozeretska","1","F","RE","RE12",894.15,33.6425091372899,892,847,956,7.52269373646379,0.0376251290469047,851
"Kozeretska","1","F","RE","RE13",909.25,34.6073843656463,914,835,956,7.73844639650485,0.0380614620463528,884
