"Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gibert","1","AK","AK1",0.68,0.05,0.68,0.63,0.73,0.0288675134594813,0.0735294117647059,0.68
"Gibert","1","AK","AK10",0.8,0.05,0.8,0.75,0.85,0.0288675134594813,0.0625,0.85
"Gibert","1","AK","AK12",0.81,0.0964365076099296,0.85,0.7,0.88,0.0556776436283002,0.119057416802382,0.85
"Gibert","1","AK","AK17",0.676666666666667,0.0750555349946514,0.68,0.6,0.75,0.0433333333333333,0.110919509844312,0.68
"Gibert","1","AK","AK18",0.593333333333333,0.237977589981354,0.55,0.38,0.85,0.137396425636833,0.40108582581127,0.85
"Gibert","1","AK","AK2",0.77,0.138924439894498,0.7,0.68,0.93,0.0802080627701064,0.180421350512335,0.7
"Gibert","1","AK","AK20",0.816666666666667,0.0288675134594812,0.8,0.8,0.85,0.0166666666666666,0.0353479756646709,0.8
"Gibert","1","AK","AK3",0.636666666666667,0.0750555349946514,0.68,0.55,0.68,0.0433333333333333,0.117888274860709,0.68
"Gibert","1","AK","AK7",0.62,0.101488915650922,0.6,0.53,0.73,0.0585946527708231,0.163691799436971,0.53
"Gibert","1","AK","AK21",0.753333333333333,0.110151410945722,0.7,0.68,0.88,0.0635959467611297,0.146218687096091,0.68
"Gibert","1","GI","GI1",0.793333333333333,0.128970280814354,0.83,0.65,0.9,0.0744610263456289,0.162567580858429,0.9
"Gibert","1","GI","GI10",0.676666666666667,0.0251661147842358,0.68,0.65,0.7,0.0145296631451356,0.0371913026368017,0.65
"Gibert","1","GI","GI11",0.603333333333333,0.155349069303081,0.65,0.43,0.73,0.0896908269804914,0.257484645253725,0.65
"Gibert","1","GI","GI12",0.396666666666667,0.0288675134594813,0.38,0.38,0.43,0.0166666666666667,0.072775244015499,0.38
"Gibert","1","GI","GI15",0.483333333333333,0.0288675134594813,0.5,0.45,0.5,0.0166666666666667,0.0597258899161682,0.5
"Gibert","1","GI","GI4",0.46,0.06557438524302,0.45,0.4,0.53,0.0378593889720018,0.14255301139787,0.4
"Gibert","1","GI","GI5",0.426666666666667,0.04618802153517,0.4,0.4,0.48,0.0266666666666667,0.108253175473055,0.4
"Gibert","1","GI","GI7",0.66,0.06557438524302,0.65,0.6,0.73,0.0378593889720018,0.0993551291560909,0.6
"Gibert","1","GI","GI9",0.713333333333333,0.0288675134594812,0.73,0.68,0.73,0.0166666666666666,0.0404684768123569,0.73
"Gibert","1","GI","GI14",0.426666666666667,0.0642910050732864,0.4,0.38,0.5,0.0371184290855335,0.150682043140515,0.5
"Gibert","1","KA","KA10",0.543333333333333,0.0602771377334171,0.55,0.48,0.6,0.0348010216963685,0.110939517300768,0.48
"Gibert","1","KA","KA11",0.826666666666667,0.0251661147842358,0.83,0.8,0.85,0.0145296631451356,0.030442880787382,0.85
"Gibert","1","KA","KA13",0.67,0.0360555127546399,0.68,0.63,0.7,0.0208166599946613,0.0538141981412536,0.7
"Gibert","1","KA","KA15",0.76,0.0360555127546399,0.75,0.73,0.8,0.0208166599946613,0.047441464150842,0.73
