"Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gibert","1",NA,"AK",0.715666666666667,0.123279422824549,0.7,0.38,0.93,0.0225076402524076,0.172258159512645,0.68
"Gibert","1",NA,"GI",0.564,0.151056052624457,0.515,0.38,0.9,0.0275789358233675,0.267829880539818,0.65
"Gibert","1",NA,"KA",0.708333333333333,0.107224654052982,0.73,0.48,0.9,0.0195764539151686,0.151375982192445,0.8
"Gibert","1",NA,"MA",0.627407407407407,0.147141810002162,0.65,0.25,0.8,0.0283174545379323,0.23452354604831,0.78
"Gibert","1",NA,"MU",0.709,0.114269795689397,0.715,0.43,0.88,0.0208627149135298,0.161170374738219,0.85
"Gibert","1",NA,"RE",0.626666666666667,0.176231300467221,0.63,0.28,0.95,0.0321752862014558,0.281220160320033,0.8
"Gibert","1",NA,"UM",0.71037037037037,0.12792670622369,0.7,0.4,0.93,0.0246195060915964,0.180084518667342,0.65
"Gibert","1",NA,"VA",0.648333333333333,0.12253312946339,0.65,0.38,0.85,0.0223713863495999,0.188997114853558,0.63
"Gibert","1",NA,"YE",0.525,0.201096134155816,0.53,0.15,0.85,0.0367149629680751,0.383040255534887,0.5
"Gibert","2",NA,"AK",0.779259259259259,0.0817089546889035,0.8,0.58,0.9,0.0157248956616138,0.104854647176825,0.8
"Gibert","2",NA,"GI",0.700555555555556,0.111221677014458,0.675,0.48,0.88,0.0262152006772878,0.158762108347363,0.65
"Gibert","2",NA,"KA",0.7384375,0.111387419657987,0.75,0.45,0.95,0.0196906999447586,0.150842041009547,0.8
"Gibert","2",NA,"MA",0.645151515151515,0.15596716826229,0.65,0.23,0.85,0.0271503990571474,0.241752773727364,0.78
"Gibert","2",NA,"MU",0.729393939393939,0.110480184703508,0.75,0.53,0.98,0.0192321315827392,0.151468470927119,0.8
"Gibert","2",NA,"RE",0.677,0.0857229318947478,0.65,0.53,0.88,0.0191682302947241,0.126621760553542,0.63
"Gibert","2",NA,"UM",0.721333333333333,0.113037477255854,0.74,0.45,0.9,0.0206377253788362,0.156706299338061,0.73
"Gibert","2",NA,"VA",0.624242424242424,0.19175228654162,0.68,0,0.95,0.0333797885653104,0.307175993003565,0.7
"Gibert","2",NA,"YE",0.51030303030303,0.140055454385148,0.53,0.25,0.8,0.0243805252031767,0.274455462868758,0.68
"Gibert","3",NA,"AK",0.876666666666667,0.0640832791503889,0.875,0.8,0.98,0.0261618891604648,0.0730987975099493,0.9
"Gibert","3",NA,"MA",0.81,0.0360555127546399,0.8,0.78,0.85,0.0208166599946613,0.0445129787094319,0.78
"Grath","1",NA,"AK",0.691205673765957,0.114142307851349,0.7,0.475,0.925,0.0166493667642872,0.165135085233687,0.65
"Grath","1",NA,"MU",0.61603333334,0.164124106160281,0.6125,0.125,0.975,0.0232106536844231,0.26642082055923,0.6
"Grath","1",NA,"RE",0.63583333334,0.131106511035088,0.6375,0.275,0.925,0.0185412606021239,0.206196347628383,0.6
"Hoedjes","1",NA,"AK",0.710666666666667,0.112787199543886,0.73,0.5,0.88,0.0291215296999229,0.158706190727795,0.7
"Hoedjes","1",NA,"GI",0.65,0.151657508881031,0.63,0.35,0.88,0.0391578004149024,0.233319244432355,0.63
"Hoedjes","1",NA,"KA",0.662,0.130996183150503,0.65,0.35,0.85,0.0338230690505755,0.19787943074094,0.63
"Hoedjes","1",NA,"MA",0.687333333333333,0.079234432149762,0.68,0.53,0.83,0.0204582424108153,0.115278029315852,0.65
"Hoedjes","1",NA,"MU",0.762,0.114092694144467,0.78,0.6,0.95,0.0294586069563638,0.149727945071479,0.65
"Hoedjes","1",NA,"RE",0.575333333333333,0.104462342269264,0.55,0.43,0.8,0.026972060794312,0.181568381696288,0.48
"Hoedjes","1",NA,"UM",0.611333333333333,0.190520590063371,0.58,0.33,0.95,0.0491922048283365,0.31164763914401,0.58
"Hoedjes","1",NA,"VA",0.681333333333333,0.174104511579628,0.7,0.3,0.9,0.0449535915898318,0.255534997426069,0.65
"Hoedjes","1",NA,"YE",0.548,0.2270997263633,0.6,0.1,0.85,0.0586368972088881,0.414415559057117,0.68
"Hoedjes","2",NA,"AK",0.769333333333333,0.126517455976109,0.78,0.55,0.95,0.0326666666666667,0.164450766000142,0.73
"Hoedjes","2",NA,"GI",0.648666666666667,0.12170612536919,0.68,0.38,0.85,0.0314243864457536,0.187625064803479,0.6
