"Supervisor.PI","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"StamenkovicRadak","F","AK",2779.7667704501,91.1781615527001,2781.1023,2435.7739,3080.1808,4.03348439542798,0.0328006516668795,2827.8535
"StamenkovicRadak","F","GI",2835.35351096345,115.823975842807,2854.9951,2467.2203,3137.444,6.6759829816201,0.0408499241434802,2867.0181
"StamenkovicRadak","F","KA",2810.21464089936,99.385090747741,2820.5793,2465.3727,3058.4461,4.59899352710908,0.03536565830286,2913.647
"StamenkovicRadak","F","MA",2861.18122324159,100.618802279983,2860.1058,2456.4643,3078.4354,5.56423248036882,0.0351668749475388,2986.5883
"StamenkovicRadak","F","MU",2849.15569979879,91.3912579044226,2855.8083,2530.5334,3144.1864,4.09945818212938,0.0320766105941057,2823.3191
"StamenkovicRadak","F","RE",2933.43865384615,109.921429689248,2939.5203,2594.9592,3217.3599,5.56608795662105,0.0374718692498054,3031.1735
"StamenkovicRadak","F","UM",2880.7208455665,102.753137967223,2877.8016,2504.4518,3200.0095,5.09955261297407,0.0356692451215337,2945.6838
"StamenkovicRadak","F","VA",2839.11647729258,99.3288695814545,2835.15195,2473.1701,3142.9676,4.64133327016463,0.0349858381563042,2661.2983
"StamenkovicRadak","F","YE",2822.86492744186,95.0693721686712,2829.75865,2326.0543,3106.5017,4.58465223365892,0.0336783284401868,2868.7345
"StamenkovicRadak","M","AK",2414.621575,84.0983209887026,2421.9746,1982.7231,2669.0274,3.77612608528015,0.0348287789107088,2535.5116
"StamenkovicRadak","M","GI",2471.14294816054,96.3669922953273,2477.8378,2173.8357,2902.4269,5.57304705930634,0.0389969315077708,2570.8304
"StamenkovicRadak","M","KA",2432.76187559913,91.8984414652502,2435.0093,1871.9344,2797.7302,4.28945191123346,0.0377753541713235,2333.0104
"StamenkovicRadak","M","MA",2487.74346226994,90.1057944572289,2490.0227,2169.2023,2765.0505,4.99049839365578,0.036219889962051,2572.9106
"StamenkovicRadak","M","MU",2468.80012647059,78.937235328535,2470.6678,2228.8827,2734.6968,3.61808224926151,0.0319739271244223,2524.6836
"StamenkovicRadak","M","RE",2538.91672928177,99.7489043921966,2543.9679,1979.7506,2776.1249,5.24268602012797,0.0392879779166347,2599.5459
"StamenkovicRadak","M","UM",2506.61521439394,89.406087285737,2506.8916,2242.6978,2960.2794,4.49282493182658,0.0356680541841178,2439.4088
"StamenkovicRadak","M","VA",2462.10664457014,79.6819607658121,2465.23005,2194.0212,2946.7517,3.79008436954183,0.032363326317136,2441.8021
"StamenkovicRadak","M","YE",2447.46596305419,81.2200856004754,2459.35575,2115.6732,2629.0823,4.03088516753621,0.033185379011,2567.8379
"Onder","F","AK",2831.4032943486,92.9113092180611,2837.37114572704,2383.62162971072,3076.36285619236,3.78364100719579,0.032814579753972,2842.38322253506
"Onder","F","GI",2869.44103016824,100.090093948118,2881.53079985641,2496.31699782964,3193.12196426237,4.71829227735419,0.0348813907990469,2809.51505717524
"Onder","F","KA",2869.8774897101,100.876342505356,2875.8120522584,2482.96272007616,3199.32334310785,4.07435709902854,0.0351500518287092,2718.02471600352
"Onder","F","MA",2917.03074311567,79.9110819880647,2923.36849890363,2614.41164093101,3133.97748523017,3.24082232105019,0.0273946656807298,2816.93208761972
"Onder","F","MU",2881.10839017638,97.5893998628938,2893.01610567546,2542.88302796963,3154.79820559097,3.4831150428945,0.0338721723193897,2915.36704857196
"Onder","F","RE",2963.41788145022,100.73504384105,2968.61270507542,2533.41141720945,3220.21835032893,4.57414271335976,0.0339928582032289,2980.43505185481
"Onder","F","UM",2913.60813380516,106.801271808869,2922.26040222633,2388.46834888637,3181.12361299123,4.68805551056289,0.0366560178665436,2840.70742083137
"Onder","F","VA",2858.94784375039,100.161652372838,2864.29613749888,2466.5742927303,3137.44693844406,4.06878899727977,0.0350344454837782,2802.4351430704
"Onder","F","YE",2831.20202734086,102.387462867731,2843.43993346028,2447.56321391028,3115.11815137275,4.2587570177799,0.0361639550547708,2704.25758699344
"Onder","M","AK",2451.67577483356,83.3838162602731,2454.53069931861,2059.33266986284,2827.26581816426,3.3984706385776,0.0340109475796953,2536.73956274033
"Onder","M","GI",2480.81900338304,84.0613704270913,2474.63333469513,2251.31709266429,2735.15288228048,3.9279298852681,0.0338845237449644,2539.51491527646
"Onder","M","KA",2478.71931803613,85.4032508155015,2481.36625665862,2196.93265596786,2934.21313893255,3.45504570656607,0.0344545871709129,2493.96158875665
"Onder","M","MA",2515.97152336352,74.8899862232199,2519.7989627457,2206.80421582061,2718.10333977853,3.05228797046978,0.0297658322154226,2488.1724119317
"Onder","M","MU",2490.14525707459,80.372725321996,2493.43562059958,2203.88836919069,2684.85149117205,2.87596222848519,0.0322763200635201,2441.59529459466
"Onder","M","RE",2553.96509171048,83.2083095766043,2554.15984714151,2320.23362021646,2778.50019992981,3.82188423678699,0.0325800496830115,2530.97206643092
"Onder","M","UM",2518.57360245739,92.0420805989534,2522.50143947717,2039.44391703317,2710.87243226936,4.04800607625447,0.0365453209344954,2457.20228467296
"Onder","M","VA",2492.56593638906,104.87511317752,2489.75768309103,2118.62519162253,3017.21814226403,4.23586592528933,0.0420751610404543,2480.91471348211
"Onder","M","YE",2445.63905484778,91.366150958529,2447.25923886366,2111.68822915032,2934.56959605514,3.82021068620858,0.0373588043490807,2482.75118720382
"Posnien","F","AK",2589.01128536667,116.021834258798,2555.221157,2360.700668,2815.811064,21.1825919288899,0.0448131821265379,2515.074108
"Posnien","F","GI",2728.20135556667,87.1766926692937,2734.620804,2523.961733,2865.606393,15.9162136878891,0.0319539071012545,2729.627071
"Posnien","F","KA",2639.37876686667,99.7280789486437,2644.172314,2279.428609,2792.564876,18.2077728189427,0.0377846788041853,2649.138785
"Posnien","F","MA",2658.50407703333,124.692926269901,2646.556012,2451.016318,2843.883617,22.7657094931178,0.0469034173568197,2603.631986
"Posnien","F","MU",2563.45368863333,193.498478357164,2618.938079,2098.19866,2916.412023,35.3278271463813,0.0754835085241288,2871.058884
"Posnien","F","RE",2723.92753073333,86.0148191865624,2736.3262155,2533.030765,2944.569586,15.7040855827361,0.0315774991133503,2733.110962
"Posnien","F","UM",2663.02723743333,92.7151623332048,2666.19258,2463.249691,2845.123599,16.9273952775499,0.0348157018561196,2608.747446
"Posnien","F","VA",2549.5829784,115.657553270231,2586.073217,2276.978174,2702.641412,21.116083623987,0.0453633218648221,2576.388202
"Posnien","F","YE",2657.7176376,97.0850346061697,2612.625079,2526.685574,2844.880499,17.7252211499896,0.036529476733217,2841.007829
"Posnien","M","AK",2300.01672263333,105.640955951872,2321.0612215,2079.068305,2496.407746,19.2873115237499,0.0459305164663852,2370.625956
"Posnien","M","GI",2411.78006006667,61.0812404092571,2417.978752,2284.506371,2506.809961,11.1518577375154,0.0253262067385899,2478.017736
"Posnien","M","KA",2332.57332143333,85.0232496866986,2342.762323,2131.535374,2473.308501,15.5230505885996,0.0364504081845766,2226.622406
"Posnien","M","MA",2381.33230876667,125.771063585992,2380.4578345,2170.383453,2572.181068,22.9625495358215,0.0528154189665076,2348.659683
"Posnien","M","MU",2266.58132106667,174.622590908571,2322.086228,1900.529298,2555.40241,31.8815773635402,0.0770422791741672,2407.89045
"Posnien","M","RE",2374.93605276667,103.932971848789,2386.552168,2162.288522,2567.239932,18.9754777167104,0.0437624296147733,2352.8833
"Posnien","M","UM",2348.35036733333,74.8636185379745,2349.678857,2221.626472,2478.773213,13.6681642032369,0.0318792372634693,2265.488667
"Posnien","M","VA",2339.71930053333,63.3365836233336,2348.5487195,2230.237155,2471.556817,11.563625188604,0.0270701633349334,2340.406715
"Posnien","M","YE",2349.18812176667,84.8113193048953,2338.5677815,2171.450676,2501.962952,15.4843575716882,0.0361023957677406,2305.752254
"Ritchie","F","AK",2781.04490112174,162.791961484845,2810.804978,2190.235908,3053.481745,15.180428682749,0.0585362578717024,2643.634808
"Ritchie","F","GI",2742.36744579333,171.632432507077,2780.459944,2124.77183,3021.025852,14.0137294318337,0.0625854980777115,2576.481603
"Ritchie","F","KA",2714.16048553906,194.956258696199,2763.0395605,2016.072874,3056.411335,17.2318615698551,0.0718293040278634,2571.180222
"Ritchie","F","MA",2842.08276567284,164.442351257531,2838.890961,2328.172574,3333.0502,12.9198112987178,0.0578598038184157,2845.441908
"Ritchie","F","MU",2781.94960438415,100.31825506347,2775.826025,2534.930358,3040.278151,7.83353963968144,0.036060414216482,2772.745475
"Ritchie","F","RE",2858.47591064368,169.763090397195,2853.179315,2232.676973,3218.120266,12.8697066702022,0.0593893724152348,2844.702793
"Ritchie","F","UM",2891.65886149375,129.636530018724,2886.232169,2423.281568,3227.663251,10.248667570499,0.0448311976716912,2974.095677
"Ritchie","F","VA",2778.4206312956,111.433529157998,2766.551684,2475.765873,3049.215643,8.83725370009192,0.0401067886924074,2907.908638
"Ritchie","F","YE",2779.73649189032,112.640657929119,2767.260663,2518.473181,3022.181172,9.0475153668963,0.0405220632451097,2551.244108
"Ritchie","M","AK",2448.20967709016,108.462660283965,2453.2443715,2179.482354,2670.044215,9.81974786656498,0.0443028476273644,2524.472575
