"Supervisor.PI","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"StamenkovicRadak","F","AK",2774.54845127202,91.7165018861816,2776.8093,2430.6774,3089.5802,4.05729916968478,0.033056370611994,2806.066
"StamenkovicRadak","F","GI",2833.02738106312,113.208998990436,2849.8124,2468.8308,3137.444,6.52525822159759,0.0399604323442696,2872.7715
"StamenkovicRadak","F","KA",2813.033924197,99.0194664912702,2822.1266,2482.9121,3048.2377,4.58207445427621,0.0352002390157936,2907.0367
"StamenkovicRadak","F","MA",2860.30612477064,102.388652053933,2868.4095,2399.8073,3102.6946,5.66210539650808,0.035796396465131,2888.4316
"StamenkovicRadak","F","MU",2851.58074607646,91.125365078269,2861.4391,2515.9989,3123.172,4.08753125884658,0.0319560879360159,2837.8605
"StamenkovicRadak","F","RE",2933.93178179487,110.461907215938,2941.8369,2575.6004,3200.2457,5.59345610003618,0.0376497871904715,3008.807
"StamenkovicRadak","F","UM",2884.69287019704,101.022519124578,2878.10425,2494.8803,3220.2588,5.01366344194077,0.0350201992622103,2914.414
"StamenkovicRadak","F","VA",2837.09189039301,98.410855016977,2835.4847,2461.3017,3137.1842,4.59843726663052,0.0346872286196357,2665.1735
"StamenkovicRadak","F","YE",2824.14356116279,98.0276792044497,2832.0869,2303.0023,3088.9244,4.72731446703696,0.0347105864420322,2890.8694
"StamenkovicRadak","M","AK",2413.91047399194,83.0534455928236,2419.50835,1933.4062,2686.2606,3.72920979501585,0.0344061830327437,2534.6972
"StamenkovicRadak","M","GI",2468.27393076923,93.8946447672613,2476.8579,2172.3033,2731.0616,5.4300675100573,0.0380406095112787,2560.1354
"StamenkovicRadak","M","KA",2432.77294662309,91.7413437426653,2437.3119,1915.4015,2800.9906,4.28211921749406,0.0377106066844464,2450.8668
"StamenkovicRadak","M","MA",2486.06219723926,90.152466783377,2483.3675,2196.0015,2766.7741,4.99308333472504,0.0362631582120069,2580.0021
