"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Gibert","1","F","AK","AK1",207.333333333333,6.88110408989248,202,202,216,1.06177741250826,0.0331886049351727,202
"2","Gibert","1","F","AK","AK10",218.325581395349,6.76025122889237,216,202,250,1.03092864749532,0.0309640821093281,216
"3","Gibert","1","F","AK","AK12",218.592592592593,9.10840068085298,216,202,240,1.23949633560604,0.0416683867134921,216
"4","Gibert","1","F","AK","AK17",213.897435897436,9.42503628862167,216,202,226,1.50921366044294,0.0440633439530383,216
"5","Gibert","1","F","AK","AK18",227.944444444444,4.91030662088541,226,226,240,0.818384436814235,0.0215416814954758,226
"6","Gibert","1","F","AK","AK2",221.953488372093,11.088289593664,216,202,250,1.69094831046765,0.0499577171550242,216
"7","Gibert","1","F","AK","AK20",223.142857142857,8.37118002746714,226,202,240,1.29170112137394,0.0375148912882651,226
"8","Gibert","1","F","AK","AK21",225.512195121951,13.8114480616978,226,202,274,2.15698580092444,0.061244794563012,226
"9","Gibert","1","F","AK","AK3",220.279069767442,9.0035061461404,216,202,240,1.37302181526723,0.040873180350933,216
"10","Gibert","1","F","AK","AK7",218.820512820513,4.55880752454893,216,216,226,0.729993432458759,0.0208335473936499,216
"11","Gibert","1","F","GI","GI1",227.574468085106,11.6091131385257,226,216,250,1.69336318924915,0.0510123707470744,226
"12","Gibert","1","F","GI","GI10",226.55,10.8791732340473,226,216,250,1.72014832395647,0.0480210692299592,216
"13","Gibert","1","F","GI","GI11",222.205128205128,11.4137024925479,216,202,240,1.82765510821222,0.0513656124174207,216
"14","Gibert","1","F","GI","GI12",237.619047619048,10.5189171993898,240,216,264,2.29541591881794,0.044267988213865,240
"15","Gibert","1","F","GI","GI14",231.36,9.3936148526539,226,216,250,1.87872297053078,0.0406017239481929,226
"16","Gibert","1","F","GI","GI15",227.769230769231,11.7347609854064,226,216,250,2.30137597122824,0.0515203960858773,216
"17","Gibert","1","F","GI","GI4",223.619047619048,12.2901431662784,216,216,250,2.68192911244357,0.0549601802580592,216
"18","Gibert","1","F","GI","GI5",218.2,10.4300626506532,216,202,250,1.90426019665164,0.0478004704429571,216
"19","Gibert","1","F","GI","GI7",228.057142857143,12.0536615309424,226,216,250,2.03744066558669,0.0528536900003739,216
"20","Gibert","1","F","GI","GI9",225.3,9.63487255913482,226,202,240,1.52340711261607,0.0427646363033059,226
"21","Gibert","1","F","KA","KA10",221.454545454545,8.21998672858915,226,202,240,1.43091602169974,0.0371181666726111,226
"22","Gibert","1","F","KA","KA11",218.666666666667,13.6714699615327,216,202,264,2.03802241242224,0.0625219662874971,216
"23","Gibert","1","F","KA","KA13",221.888888888889,6.64090259690558,226,202,226,1.10681709948426,0.0299289551187532,226
"24","Gibert","1","F","KA","KA15",220.32,10.776845928344,216,202,274,1.52407616714694,0.0489145149253088,216
"25","Gibert","1","F","KA","KA16",215.128205128205,8.58143494067429,216,202,250,1.37412933404864,0.0398898644441356,216
"26","Gibert","1","F","KA","KA17",214.448979591837,10.8032811846097,216,202,274,1.54332588351567,0.0503769297721616,216
"27","Gibert","1","F","KA","KA23",218.272727272727,7.55249423258253,216,202,226,1.13858134549088,0.0346011814070836,216
"28","Gibert","1","F","KA","KA24",218.723404255319,6.49314731637558,216,202,226,0.947122878097701,0.0296865684698105,216
"29","Gibert","1","F","KA","KA3",216.736842105263,9.14059614392231,216,202,250,1.48280049644944,0.0421737073177571,216
"30","Gibert","1","F","KA","KA7",231.434782608696,13.1295293542001,226,216,264,1.93584349137641,0.0567310116751084,226
"31","Gibert","1","F","MA","MA16",226.685714285714,8.11596621253595,226,216,250,1.37184867515153,0.0358027246582756,226
"32","Gibert","1","F","MA","MA18",220.111111111111,7.32813668687937,226,202,226,1.22135611447989,0.0332928976183313,226
"33","Gibert","1","F","MA","MA20",223.8125,13.3088316542062,216,216,274,2.35269127808984,0.0594642017501532,216
"34","Gibert","1","F","MA","MA27",218.764705882353,7.83178768837115,216,202,226,1.34314050769217,0.0358000512778461,216
"35","Gibert","1","F","MA","MA3",220.468085106383,5.0253750187977,216,216,226,0.733026284390658,0.0227941156035024,216
"36","Gibert","1","F","MA","MA30",225.354838709677,9.19981299482685,226,202,240,1.65233519152572,0.0408236763297498,226
"37","Gibert","1","F","MA","MA32",221.41935483871,11.8680922183486,216,202,274,2.13157228735811,0.0536000668369472,216
"38","Gibert","1","F","MA","MA33",215.673469387755,9.14099683454992,216,192,240,1.30585669064999,0.0423835015984998,216
"39","Gibert","1","F","MA","MA9",218.971428571429,10.9046285755063,216,202,264,1.84321864736466,0.0497993215217536,216
"40","Gibert","1","F","MU","MU1",220.888888888889,6.38970130978615,216,202,240,0.952520432306751,0.0289272192092934,216
"41","Gibert","1","F","MU","MU11",219.882352941176,8.68214715058349,216,202,240,1.48897595232413,0.0394854204280148,216
"42","Gibert","1","F","MU","MU15",233.958333333333,17.5061792535304,226,216,274,2.5267993261269,0.0748260555805395,226
"43","Gibert","1","F","MU","MU16",229.942857142857,12.5696713821588,226,216,274,2.12466224983416,0.0546643263389113,226
"44","Gibert","1","F","MU","MU19",226.324324324324,4.95565924560583,226,216,240,0.81470536140803,0.0218962732370929,226
"45","Gibert","1","F","MU","MU20",225.155555555556,8.50121797572013,226,202,264,1.26728675235022,0.0377570873378806,226
"46","Gibert","1","F","MU","MU4",232.090909090909,10.1976243969064,226,216,264,1.53734972170513,0.0439380604645399,226
"47","Gibert","1","F","MU","MU5",233.953488372093,10.5332884757305,240,216,264,1.6063114334498,0.0450230024310548,226
"48","Gibert","1","F","MU","MU8",230.903225806452,12.1198317884633,226,216,264,2.17678604888066,0.0524887937192459,226
"49","Gibert","1","F","MU","MU9",220.694444444444,8.95646436760924,216,216,261,1.49274406126821,0.0405830984561275,216
"50","Gibert","1","F","RE","RE10",227.176470588235,11.9201143685669,226,202,274,2.04428274894611,0.0524707261174617,226
"51","Gibert","1","F","RE","RE11",228,11.5691898526281,226,216,274,2.22649162524025,0.050742060757141,226
"52","Gibert","1","F","RE","RE12",221,5.2704627669473,221,216,226,1.66666666666667,0.0238482478142412,216
"53","Gibert","1","F","RE","RE13",225.6,5.30229061013122,226,216,240,1.36904554865268,0.0235030612151207,226
"54","Gibert","1","F","RE","RE15",231.578947368421,8.2285973943459,226,226,250,1.33485476322368,0.0355325796574028,226
"55","Gibert","1","F","RE","RE18",229.365853658537,9.77178616620568,226,216,264,1.52609660594738,0.0426034913669112,226
"56","Gibert","1","F","RE","RE3",241.478260869565,12.5367444128972,240,226,274,2.61409191543856,0.0519166585337837,240
"57","Gibert","1","F","RE","RE6",231.5,9.16717170325925,226,216,250,1.73243261090374,0.039599013836973,226
"58","Gibert","1","F","RE","RE7",224.756756756757,7.60630369206068,226,202,240,1.25046862411178,0.0338423805442815,226
"59","Gibert","1","F","RE","RE8",242.869565217391,23.0637542237442,226,216,274,4.80912519792042,0.0949635422746362,226
"60","Gibert","1","F","UM","UM17",217.769230769231,5.29378245964217,216,202,226,0.734115542284297,0.0243091388114971,216
"61","Gibert","1","F","UM","UM18",213.257142857143,8.19017653024882,216,192,226,1.38439250830349,0.0384051686171904,216
"62","Gibert","1","F","UM","UM2",226.379310344828,7.18142727886633,226,216,250,0.942967598829442,0.0317229841716868,226
"63","Gibert","1","F","UM","UM20",219.444444444444,9.50922693100742,216,202,240,1.5848711551679,0.0433331860147174,216
