"","Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Gibert","1","F","AK",219.469194312796,10.3148878320746,216,202,274,0.502120883342665,0.0469992513727163,216
"2","Gibert","1","F","GI",226.407407407407,11.7584331402615,226,202,264,0.653246285570085,0.0519348429227975,216
"3","Gibert","1","F","KA",219.709601873536,10.8955767646147,216,202,274,0.527273915797208,0.0495908083748025,216
"4","Gibert","1","F","MA",220.915151515152,9.75935748333935,216,192,274,0.53723494800357,0.0441769494595756,216
"5","Gibert","1","F","MU",227.575376884422,11.8408036665461,226,202,274,0.593525857390547,0.0520302496194904,226
"6","Gibert","1","F","RE",230.492753623188,12.6624693135762,226,202,274,0.762191085243624,0.0549365180229351,226
"7","Gibert","1","F","UM",221.886889460154,9.26736641382322,226,192,250,0.4698741292046,0.0417661739112686,226
"8","Gibert","1","F","VA",221.014409221902,9.38374685661584,216,202,264,0.503745925017085,0.0424576247750182,216
"9","Gibert","1","F","YE",218.349593495935,11.9191040204542,216,202,264,0.759934316402118,0.0545872507918182,216
"10","Gibert","1","M","AK",224.509186351706,10.6722978643147,226,202,274,0.546758382545352,0.0475361299808727,226
"11","Gibert","1","M","GI",233.311572700297,12.7578506253513,240,202,274,0.694964406959082,0.0546816022784243,240
"12","Gibert","1","M","KA",223.463541666667,11.0623074641631,226,202,274,0.56452101385378,0.0495038581312044,226
"13","Gibert","1","M","MA",225.172185430464,10.7951395420783,226,202,274,0.621190476735783,0.0479417096807102,226
"14","Gibert","1","M","MU",230.167539267016,11.3975267251808,226,202,274,0.58314819776186,0.049518393260305,226
"15","Gibert","1","M","RE",229.088082901554,10.5238140808689,226,216,274,0.535648033289178,0.0459378504004997,226
"16","Gibert","1","M","UM",225.633720930233,9.92065443229637,226,202,274,0.53488583971375,0.0439679600699574,226
"17","Gibert","1","M","VA",226.075268817204,12.0660684013512,226,202,274,0.62559650387572,0.0533719077919461,226
"18","Gibert","1","M","YE",224.792207792208,14.2136674715751,226,202,274,0.809898869333152,0.0632302498879937,226
"19","Gibert","2","F","AK",224.633569739953,9.34009896099434,226,202,264,0.454131151844977,0.0415792660545212,226
"20","Gibert","2","F","GI",225.65873015873,12.8414559614463,226,202,274,0.808935689189874,0.0569065329420825,226
"21","Gibert","2","F","KA",226.533936651584,10.7827433047029,226,202,264,0.512882796396632,0.0475987989441385,226
"22","Gibert","2","F","MA",222.032454361055,11.51805587937,216,192,264,0.518747147386357,0.0518755508626686,216
"23","Gibert","2","F","MU",220.100418410042,12.612859890818,216,202,264,0.576898783435447,0.0573050245970933,216
"24","Gibert","2","F","RE",223.454545454545,10.656237989814,220,202,274,0.64259532888989,0.0476886159023407,220
"25","Gibert","2","F","UM",229.132867132867,12.0463887803853,226,202,274,0.581605130924295,0.0525738141852865,226
"26","Gibert","2","F","VA",225.866028708134,9.65899359832624,226,202,264,0.472436819736102,0.0427642600951189,226
"27","Gibert","2","F","YE",217.651162790698,12.3039896744626,216,202,274,0.663386664031886,0.0565307785021788,216
"28","Gibert","2","M","AK",229.352941176471,10.0325240712283,226,202,264,0.49668395294905,0.0437427312672174,226
"29","Gibert","2","M","GI",229.171171171171,13.6576591634794,226,202,274,0.916642064761847,0.0595958867499885,226
"30","Gibert","2","M","KA",230.861751152074,11.5081761344946,226,202,274,0.552410131862803,0.0498487777947846,226
"31","Gibert","2","M","MA",224.971014492754,11.1808436329114,226,192,264,0.54950848556616,0.0496990408214189,226
"32","Gibert","2","M","MU",226.296296296296,12.7144321302449,226,202,274,0.611723401082509,0.0561848883005911,226
"33","Gibert","2","M","RE",226.640287769784,11.5889323488181,220,202,274,0.695057973322162,0.0511335935144497,220
"34","Gibert","2","M","UM",233.912596401028,12.2214350606775,226,202,274,0.619651355125102,0.0522478705666824,226
"35","Gibert","2","M","VA",229.453634085213,8.9942600666857,226,202,250,0.450276200803983,0.0391985949690623,226
"36","Gibert","2","M","YE",222.666666666667,12.4469606437995,216,202,274,0.73344418969939,0.0558995238493988,216
"37","Gibert","3","F","AK",224.557692307692,10.8527898279676,226,202,264,1.064203598264,0.0483296284194841,216
"38","Gibert","3","M","AK",223.207547169811,8.61749823504984,226,202,250,0.837005420459259,0.0386075576041962,226
