"","Supervisor.PI","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Bergland","AK",0.537875540850369,0.239531080021567,0.492324561403509,0.181818181818182,0.916666666666667,0.0564580169960626,0.445328076533976,0.294117647058824
"2","Bergland","GI",0.590411875810584,0.249397864531318,0.681818181818182,0.0625,0.857142857142857,0.0643942517272992,0.422413360484859,0.0625
"3","Bergland","KA",0.611166213172792,0.235968894448064,0.666666666666667,0.0625,0.928571428571429,0.0527642488561344,0.386096105056367,0.666666666666667
"4","Bergland","MA",0.681427249153119,0.246482356686686,0.693877551020408,0.227272727272727,1,0.0565469307454215,0.361714852162157,1
"5","Bergland","MU",0.695910868300262,0.261058872132825,0.757352941176471,0,1,0.0615321662580107,0.375132626927428,0.8
"6","Bergland","RE",0.57242227612048,0.305233180942855,0.599529780564263,0,1,0.0815769990116671,0.533230787263442,0.5
"7","Bergland","UM",0.778859359422827,0.171342661045509,0.84,0.529411764705882,1,0.0442404848482745,0.219991785387906,1
"8","Bergland","VA",0.742223070323119,0.260738076103549,0.769230769230769,0.05,1,0.0598174170772941,0.351293413703834,1
"9","Bergland","YE",0.705102360219787,0.162109294564989,0.707107843137255,0.391304347826087,0.954545454545455,0.0362487402431853,0.229908880909799,0.666666666666667
"10","Flatt","AK",0.950056104026692,0.0786111245351701,1,0.733333333333333,1,0.0175779818248342,0.0827436655603673,1
"11","Flatt","GI",0.942255661005661,0.10533144097468,1,0.6875,1,0.0281510117273182,0.111786477209657,1
"12","Flatt","KA",0.971464646464646,0.0649064623131621,1,0.777777777777778,1,0.0145135261911259,0.0668129947387892,1
"13","Flatt","MA",0.941102756892231,0.105160503444956,1,0.666666666666667,1,0.0241254740720224,0.111741786616611,1
"14","Flatt","MU",0.984242059396858,0.0308373302071761,1,0.888888888888889,1,0.00689543665878534,0.0313310429205526,1
"15","Flatt","RE",0.959911656970481,0.0630649123471822,1,0.8,1,0.0168548067950061,0.0656986628813506,1
"16","Flatt","UM",0.9872557997558,0.0276971552027739,1,0.923076923076923,1,0.00692428880069347,0.028054689787211,1
"17","Flatt","VA",0.931506667352256,0.13449475292704,1,0.454545454545455,1,0.0300739410161901,0.144384101199546,1
"18","Flatt","YE",0.956325549450549,0.0903625555074383,1,0.642857142857143,1,0.020205681673523,0.0944893248531899,1
"19","Schlotterer","AK",0.524722222222222,0.271845873037387,0.566666666666667,0.0666666666666667,0.933333333333333,0.0607865851514376,0.518075777096133,0.333333333333333
"20","Schlotterer","GI",0.630716320716321,0.281710538898561,0.666666666666667,0.0666666666666667,1,0.0727373483736829,0.446651734933092,0.666666666666667
"21","Schlotterer","KA",0.66546996124031,0.278953257352066,0.7,0.0666666666666667,1,0.0623758445984212,0.419182342704319,1
"22","Schlotterer","MA",0.694013645746637,0.263331318084273,0.733333333333333,0.2,1,0.0604123475894057,0.379432479027087,0.933333333333333
"23","Schlotterer","MU",0.74125,0.216826442438073,0.816666666666667,0.266666666666667,1,0.0484838664610976,0.292514593508361,0.866666666666667
"24","Schlotterer","RE",0.715238095238095,0.216737298795898,0.733333333333333,0.2,1,0.0559613299158996,0.303028180739937,0.666666666666667
"25","Schlotterer","UM",0.871387871387871,0.183319525565127,0.933333333333333,0.377777777777778,1,0.0473328979698922,0.210376494308042,1
"26","Schlotterer","VA",0.704166666666667,0.279649251212485,0.766666666666667,0.133333333333333,1,0.0699123128031213,0.397135031307671,1
"27","Schlotterer","YE",0.695430884904569,0.198942924333832,0.733333333333333,0.333333333333333,1,0.0456406369844017,0.28607145390319,0.6
