Country,Lab,PI,Trait,Lat,Long
Sweden,Lund,Abbott,Pigmentation,55.7,13.191
USA,Charlottesville,Bergland,Diapause,38,-78.5
The Netherlands,Groningen,Billeter,Fecundity,53.2,6.5
France,Rennes,Colinet,Dry weight,48.1,1.7
Switzerland,Fribourg,Flatt,Diapause,48.8,7.2
Germany,Muenster,Fricke,Fecundity,51.96,7.6
France,Lyon,Gibert,Development time,45.8,4.8
Spain,Barcelona,Gonzalez,Cold-shock mortality,41.4,2.2
Germany,Munich,Grath,Development time,47.1,11.6
The Netherlands,Lausanne,Hoedjes,Development time,46.5,6.6
Ukraine,Kyiv,Kozeretska,Cold-shock mortality,50.5,30.5
Turkey,Ankara,Onder,Wing area,39.9,32.9
Germany,Munich,Parsch,Lifespan,47.1,11.6
Germany,Göttingen,Posnien,Thorax length,51.5,9.9
UK,St Andrews,Ritchie,Wing patterning ,56.3398,-2.7967
Austria,Vienna,Schlötterer,Diapause,48.2,16.4
USA,Philadelphia,Schmidt,Viability,39.9,-75.2
Serbia,Belgrade,Stamenkovic-Radak,Wing area,44.8,20.5
Israel,Haifa,Tauber,Locomotor activity,32.8,34.9
Portugal,Porto,Vieira,Heat-shock mortality,41.2,-8.6
Germany,Würzburg,Wegener,Circadian eclosion timing,49.8,9.9
The Netherlands,Wageningen,Zwaan,Viability,51.9,5.7
Argentina,Buenos Aires,Mensch,Chill-coma recovery time,-34.6,-58.4
