"","Supervisor.PI","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Colinet","F","AK",0.467760416666667,0.067598369486529,0.465,0.281,0.655,0.00308542931819507,0.144514942004382,0.445
"2","Colinet","F","GI",0.482724233983287,0.0667368236354614,0.48,0.329,0.67,0.00352223483632231,0.138250410767179,0.466
"3","Colinet","F","KA",0.499666666666667,0.0624938688711599,0.4985,0.293,0.679,0.00285244180720868,0.125071118487979,0.479
"4","Colinet","F","MA",0.499421052631579,0.0568333820395581,0.502,0.263,0.652,0.0026614669621226,0.113798530798989,0.513
"5","Colinet","F","MU",0.483527083333333,0.0581823791545593,0.484,0.31,0.68,0.00265565012602254,0.12032910080954,0.535
"6","Colinet","F","RE",0.518005555555556,0.0640077465038715,0.521,0.328,0.673,0.00337350444744856,0.123565752948776,0.559
"7","Colinet","F","UM",0.503286764705882,0.0619332574209135,0.5035,0.317,0.73,0.00306615313319297,0.12305759214055,0.463
"8","Colinet","F","VA",0.498033333333333,0.0712512310506647,0.499,0.3,0.7,0.00325215887470513,0.143065185162971,0.463
"9","Colinet","F","YE",0.480077244258873,0.0644717534394186,0.48,0.271,0.651,0.00294578960408776,0.134294541577258,0.467
"10","Colinet","M","AK",0.259480167014614,0.0314938249106619,0.257,0.175,0.384,0.00143898958947912,0.1213727633715,0.25
"11","Colinet","M","GI",0.260138028169014,0.0288349205967073,0.256,0.191,0.366,0.00153039868304503,0.110844695793469,0.261
"12","Colinet","M","KA",0.279148225469729,0.0365764653278869,0.276,0.192,0.447,0.00167122135771304,0.131028829813763,0.272
"13","Colinet","M","MA",0.271149122807018,0.0292101841208113,0.27,0.192,0.465,0.00136789220006204,0.107727378272217,0.26
"14","Colinet","M","MU",0.2721125,0.0303608748955936,0.269,0.192,0.481,0.00138577800382574,0.111574715956061,0.265
"15","Colinet","M","RE",0.27605,0.0328039292095893,0.273,0.197,0.464,0.00172891887508715,0.11883328820717,0.283
"16","Colinet","M","UM",0.275830882352941,0.0329399472528124,0.276,0.183,0.386,0.00163077039190768,0.119420809489577,0.276
"17","Colinet","M","VA",0.267578288100209,0.0334893605223058,0.267,0.163,0.4,0.00153016793884558,0.125157241867711,0.24
"18","Colinet","M","YE",0.249189979123173,0.0334085810607587,0.247,0.166,0.363,0.00152647703103938,0.134068718085349,0.227
"19","Hoedjes","F","AK",0.437372916666667,0.0543614334294308,0.4335,0.28,0.588,0.00248124861230122,0.124290808502121,0.411
"20","Hoedjes","F","GI",0.447369444444444,0.0574261270376374,0.447,0.274,0.612,0.00302662264401853,0.128363990323368,0.498
"21","Hoedjes","F","KA",0.458929313929314,0.0579745920762132,0.46,0.213,0.628,0.00264341386340266,0.126325755005362,0.43
"22","Hoedjes","F","MA",0.443037656903766,0.0576153900462345,0.441,0.313,0.582,0.0026352666019091,0.130046259383205,0.435
"23","Hoedjes","F","MU",0.455739219712526,0.0599857644447032,0.452,0.256,0.627,0.00271821445199108,0.131623002476156,0.439
"24","Hoedjes","F","RE",0.467436813186813,0.0586208705560347,0.467,0.304,0.673,0.00307256848596648,0.125409186658575,0.404
"25","Hoedjes","F","UM",0.451602941176471,0.0592737304922118,0.45,0.248,0.621,0.00293448693049626,0.131251869923163,0.435
"26","Hoedjes","F","VA",0.472972631578947,0.0654530244183372,0.472,0.273,0.649,0.00300319072619612,0.13838649437248,0.482
"27","Hoedjes","F","YE",0.440407643312102,0.06031053915316,0.434,0.291,0.637,0.00277896295437592,0.136942535101326,0.419
"28","Hoedjes","M","AK",0.265674418604651,0.0325481996060548,0.264,0.189,0.409,0.0014965678123306,0.122511605660045,0.258
"29","Hoedjes","M","GI",0.267959349593496,0.0301317032161519,0.268,0.18,0.364,0.00156859381445915,0.112448784720006,0.263
"30","Hoedjes","M","KA",0.276774058577406,0.0298771628543103,0.275,0.172,0.387,0.00136654962097074,0.107947843840121,0.279
"31","Hoedjes","M","MA",0.26915,0.0309833007752742,0.268,0.198,0.414,0.00141418772838208,0.115115366060837,0.26
"32","Hoedjes","M","MU",0.271606765327696,0.0329573060478247,0.268,0.17,0.385,0.00151537854656414,0.121341992376594,0.26
"33","Hoedjes","M","RE",0.273753462603878,0.0313980297582395,0.272,0.186,0.412,0.0016525278820126,0.114694548370599,0.285
"34","Hoedjes","M","UM",0.268772277227723,0.0314267453191105,0.264,0.195,0.381,0.00156353901798863,0.116927034451859,0.242
"35","Hoedjes","M","VA",0.274618947368421,0.0370124859042686,0.269,0.168,0.423,0.00169824932322032,0.134777611883472,0.248
"36","Hoedjes","M","YE",0.265175619834711,0.034909408708616,0.264,0.191,0.38,0.00158679130493709,0.13164637356321,0.265
"37","Onder","F","AK",0.425485416666667,0.0603093953619859,0.428,0.214,0.586,0.00275273468910476,0.141742567429129,0.418
"38","Onder","F","GI",0.435991620111732,0.0622596662055247,0.432,0.273,0.67,0.0032905256054074,0.142800144162333,0.464
"39","Onder","F","KA",0.4601,0.0568043780840864,0.462,0.268,0.649,0.00259275327014218,0.123460939109077,0.479
"40","Onder","F","MA",0.469777083333333,0.0656630728773849,0.464,0.271,0.675,0.00299709551750412,0.13977495967123,0.482
"41","Onder","F","MU",0.443380208333333,0.0582386056685545,0.443,0.187,0.613,0.00242660856952311,0.131351387756963,0.413
"42","Onder","F","RE",0.4708828125,0.0586991650311911,0.474,0.267,0.623,0.00299547922195499,0.124657692897192,0.488
"43","Onder","F","UM",0.466808823529412,0.066400561856273,0.471,0.284,0.662,0.00328731765871297,0.142243587758768,0.444
"44","Onder","F","VA",0.470359126984127,0.0666800615803375,0.474,0.249,0.662,0.00297016601145966,0.141764149465708,0.49
"45","Onder","F","YE",0.431532407407407,0.0600161916724848,0.436,0.214,0.582,0.00288753036815377,0.139076905099792,0.46
"46","Onder","M","AK",0.251881002087683,0.0345410500163532,0.251,0.142,0.363,0.00157822085834938,0.137132414632562,0.247
"47","Onder","M","GI",0.249669444444444,0.0338702120500367,0.246,0.169,0.351,0.00178511691518328,0.135660221159235,0.239
"48","Onder","M","KA",0.26384375,0.0348750014030125,0.265,0.142,0.367,0.00159181874678786,0.132180509877579,0.268
"49","Onder","M","MA",0.268439583333333,0.0365782327983266,0.265,0.176,0.398,0.0016695602681099,0.136262440673311,0.257
"50","Onder","M","MU",0.261942708333333,0.0338422198206812,0.262,0.164,0.367,0.00141009249252838,0.129197029518438,0.262
"51","Onder","M","RE",0.264171875,0.0388497358362072,0.263,0.156,0.38,0.00198254228001303,0.147062346573447,0.274
"52","Onder","M","UM",0.270540540540541,0.0369723329217611,0.271,0.136,0.387,0.00183265050310461,0.136660970839676,0.278
"53","Onder","M","VA",0.263333996023857,0.0419654546003819,0.263,0.15,0.401,0.00187114713744633,0.159362084782172,0.216
"54","Onder","M","YE",0.250831018518519,0.0365256374492162,0.25,0.148,0.363,0.00175734055113564,0.145618503105985,0.243
