"","Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Billeter","1","AK","AK1",134.2,101.951949466403,75,54,278,45.5942978891001,0.759701560852482,206
"2","Billeter","1","AK","AK10",40,55.9285258164383,0,0,116,25.0119971213816,1.39821314541096,0
"3","Billeter","1","AK","AK11",41,15.7638827704344,48,13,50,7.04982269280583,0.384484945620352,45
"4","Billeter","1","AK","AK12",115.2,56.0374874525973,113,49,195,25.0607262464598,0.486436523026018,80
"5","Billeter","1","AK","AK13",101.6,23.3087966227345,94,83,140,10.4240107444304,0.229417289593844,140
"6","Billeter","1","AK","AK14",164.6,105.545250959008,184,0,264,47.2012711693234,0.64122266682265,0
"7","Billeter","1","AK","AK15",182.25,57.4536044706219,166,132,265,28.726802235311,0.315246115065141,165
"8","Billeter","1","AK","AK16",92.2857142857143,87.5684766068138,95,0,194,33.0977731129152,0.948884421436063,6
"9","Billeter","1","AK","AK17",101.714285714286,75.6631003984423,122,0,205,28.5979638683415,0.743878796052101,0
"10","Billeter","1","AK","AK18",68.8,26.3856021344975,59,43,112,11.8,0.38351165893165,59
"11","Billeter","1","AK","AK2",119.2,73.7746568951696,145,0,188,32.9930295668646,0.618914906838671,162
"12","Billeter","1","AK","AK20",11,23.4946802489415,0,0,53,10.507140429251,2.13588002263104,0
"13","Billeter","1","AK","AK21",140.8,30.2274709494526,146,103,177,13.5181359661752,0.214683742538726,103
"14","Billeter","1","AK","AK3",113.8,56.5658907823434,131,34,172,25.2970353994297,0.497064066628676,172
"15","Billeter","1","AK","AK4",43.4,30.9079277856022,24,17,81,13.8224455144522,0.712164234691295,22
"16","Billeter","1","AK","AK5",130.6,52.7569900581904,109,85,213,23.5936432116789,0.403958576249544,152
"17","Billeter","1","AK","AK6",82,5.29150262212918,84,76,86,3.05505046330389,0.0645305197820632,84
"18","Billeter","1","AK","AK7",107.5,19.122412679018,115.5,79,120,9.56120633950898,0.177882908642027,115
"19","Billeter","1","AK","AK8",57.4,27.0425590505041,66,20,81,12.0938000644959,0.471124722134217,81
"20","Billeter","1","AK","AK9",98.6,11.61034021896,104,82,108,5.19230199429887,0.117751929198377,108
"21","Billeter","1","GI","GI1",72.6,30.2787053884409,78,37,106,13.5410487038486,0.417062057692023,106
"22","Billeter","1","GI","GI10",90.4,13.0690474021636,86,78,108,5.84465567848098,0.144569108431014,80
"23","Billeter","1","GI","GI11",66.4285714285714,48.4453545858876,91,0,114,18.3106229158002,0.729284907744544,0
"24","Billeter","1","GI","GI12",54,33.5807484530447,46,4,110,12.6923298923105,0.621865712093421,45
"25","Billeter","1","GI","GI13",54,19.9624647776771,64,28,75,8.92748564826626,0.369675273660688,75
