"Trait","Sex","R","P","Method","Label"
"CCRT","F",0.0432991665682554,0.572762931162576,"pearson","CCRT_F"
"CCRT","M",-0.214990889691293,0.00462267843287446,"pearson","CCRT_M"
"CSM","F",0.161281104114383,0.0345481317241865,"pearson","CSM_F"
"CSM","M",-0.14762546228932,0.0532886667729522,"pearson","CSM_M"
"Dia","F",-0.0423374570991477,0.585819872017251,"pearson","Dia_F"
"DT_A","F",0.0411113431821603,0.593422307751659,"pearson","DT_A_F"
"DT_A","M",0.0394747116019907,0.608222357183565,"pearson","DT_A_M"
"DT_P",NA,-0.138740092313569,0.0792257511204974,"pearson","DT_P_NA"
"DW","F",0.000408451295413837,0.995794802042658,"pearson","DW_F"
"DW","M",0.0925529618013348,0.231373033374729,"pearson","DW_M"
"Fec","F",0.345835179307476,4.11667989487875e-06,"pearson","Fec_F"
"HSM","F",0.305075211808082,4.9650688721477e-05,"pearson","HSM_F"
"HSM","M",0.430968347349356,4.00100750187642e-09,"pearson","HSM_M"
"LA_Activity","B",-0.251413477485438,0.0156288971986893,"pearson","LA_Activity_B"
"LA_CircPhase","B",-0.381599031468614,0.000174595810967399,"pearson","LA_CircPhase_B"
"LA_NDlog2","B",-0.255588384907355,0.0144766561873132,"pearson","LA_NDlog2_B"
"LA_Period","B",0.427024495284285,2.18575465639036e-05,"pearson","LA_Period_B"
"LS","F",0.242470069945532,0.00139699764792654,"pearson","LS_F"
"LS","M",0.437436303657232,2.1980622874811e-09,"pearson","LS_M"
"Pgm_T4","F",-0.276340417901383,0.000276000308443231,"pearson","Pgm_T4_F"
"Pgm_T5","F",-0.0803467533936011,0.299067286173403,"pearson","Pgm_T5_F"
"Pgm_T6","F",-0.0218067973622083,0.778389922821656,"pearson","Pgm_T6_F"
"Pgm_Total","F",-0.108854018601668,0.158897407565747,"pearson","Pgm_Total_F"
"SR","F",0.367418473236968,7.67753774878605e-07,"pearson","SR_F"
"SR","M",0.352150857420913,2.31950192470527e-06,"pearson","SR_M"
"TL","F",-0.290843814246452,0.000143847900469425,"pearson","TL_F"
"TL","M",-0.121403156591376,0.153040490518391,"pearson","TL_M"
"Via",NA,0.508489754137904,1.06954812861827e-12,"pearson","Via_NA"
"WA_L","F",-0.223835569779736,0.00316013676170103,"pearson","WA_L_F"
"WA_L","M",-0.250038022267607,0.000939610518265177,"pearson","WA_L_M"
"WA_R","F",-0.239158958030428,0.0015795880299032,"pearson","WA_R_F"
"WA_R","M",-0.252861948677376,0.000818012584375587,"pearson","WA_R_M"
