"","Supervisor.PI","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Parsch","F","AK",453.325892857143,88.0780174203748,505,45,505,3.39768328649583,0.194292933203643,505
"2","Parsch","F","GI",409.251851851852,80.3635765073839,410,135,505,3.09319550197194,0.196367044263187,410
"3","Parsch","F","KA",442.552870090634,78.9289656468009,480,135,505,3.06766136509017,0.178349234591194,505
"4","Parsch","F","MA",461.742081447964,87.1416953551917,505,45,505,3.38430301420712,0.188723746126683,505
"5","Parsch","F","MU",421.594634873323,100.762716250098,450,135,505,3.88990151666925,0.239003791593255,505
"6","Parsch","F","RE",367.02380952381,127.044517462811,410,90,505,4.90084865970732,0.346147890589561,505
"7","Parsch","F","UM",471.669139465875,60.5638098540946,505,135,505,2.33283079145217,0.128403163969298,505
"8","Parsch","F","VA",465.438335809807,71.5833439797387,505,45,505,2.75933513088198,0.1537976966491,505
"9","Parsch","F","YE",346.268545994065,131.983611443658,365,90,505,5.08381876048716,0.38115968941031,505
"10","Parsch","M","AK",398.824404761905,102.899986746221,410,90,505,3.96945316649919,0.258008250040896,505
"11","Parsch","M","GI",348.306092124814,96.5919940318299,320,45,505,3.72334774650106,0.277319278117066,410
"12","Parsch","M","KA",393.407012195122,89.7699377394594,410,45,505,3.50492722031933,0.228185911681044,410
"13","Parsch","M","MA",392.251114413076,99.7736617244503,410,135,505,3.84599202310156,0.254361703659507,505
"14","Parsch","M","MU",350.653789004458,108.600145334724,365,90,505,4.18622796283186,0.309707605450526,505
"15","Parsch","M","RE",288.171641791045,116.450270769642,280,90,505,4.49886645131311,0.404100382833925,190
"16","Parsch","M","UM",413.323442136498,90.0441982410366,450,90,505,3.46837292360517,0.217854080028928,505
"17","Parsch","M","VA",395.92867756315,108.206734016385,415,90,505,4.17106307095577,0.273298551351148,505
"18","Parsch","M","YE",273.729446935725,122.050961366562,270,45,505,4.71876278572628,0.445881737360983,190
"19","Vieira","F","AK",390.555066079295,53.3973682080236,420,30,420,1.58497319466022,0.136721740020093,420
"20","Vieira","F","GI",351.49863760218,63.9721065860805,360,30,420,2.36125354098708,0.181998163698384,420
"21","Vieira","F","KA",397.371737173717,50.3279825854728,420,30,420,1.50991497520043,0.126652144270319,420
"22","Vieira","F","MA",399.401041666667,40.5210065412013,420,180,420,1.19386160440783,0.101454433799448,420
"23","Vieira","F","MU",346.948398576512,66.7182177237966,360,30,420,1.9900375933608,0.192300117243756,420
"24","Vieira","F","RE",404.448160535117,33.9864705136353,420,180,420,1.13477522119882,0.0840317099444054,420
"25","Vieira","F","UM",387.961956521739,52.219239360219,420,30,420,1.57161441946749,0.134598865900123,420
"26","Vieira","F","VA",372.326989619377,57.9374225632054,390,120,420,1.70404184009428,0.15560897860892,420
"27","Vieira","F","YE",384.203389830508,54.0140338189842,420,90,420,1.57240931656238,0.140587082906303,420
"28","Vieira","M","AK",354.031277150304,63.8019685809321,360,60,420,1.88059993634817,0.180215626976497,420
"29","Vieira","M","GI",278.061497326203,64.7235824875091,270,30,420,2.36652855319165,0.232767150827717,240
"30","Vieira","M","KA",337.560321715818,68.5476713993935,330,30,420,2.04916846063298,0.203067917019886,420
"31","Vieira","M","MA",319.206212251941,64.029015141789,330,90,420,1.88076746676573,0.200588248862941,300
"32","Vieira","M","MU",305.224274406332,70.6008406891104,300,30,420,2.09377321717718,0.231308079366985,270
"33","Vieira","M","RE",333.854748603352,54.7559269908258,330,150,420,1.83028878285119,0.164011227097688,360
"34","Vieira","M","UM",316.902985074627,72.8281421686329,330,30,420,2.22434341556097,0.229812105277212,330
"35","Vieira","M","VA",321.949956859362,70.8326562854842,330,90,420,2.08061540898809,0.220011386168399,360
"36","Vieira","M","YE",333.861646234676,67.334828199164,330,90,420,1.99253842109863,0.201684826509941,420
