Country,City,PI,Abreviation,Trait,Latitude,Longitude
Sweden,Lund,Abbott,JA,Pigmentation,55.7,13.191
USA,Charlottesville,Bergland,AB,Diapause,38,-78.5
The Netherlands,Groningen,Billeter,JCB,Fecundity,53.2,6.5
France,Rennes,Colinet,HC,Dry weight,48.1,1.7
Switzerland,Fribourg,Flatt,TF,Diapause,48.8,7.2
Germany,Muenster,Fricke,CF,Fecundity,51.96,7.6
France,Lyon,Gibert,PG,Development time,45.8,4.8
Spain,Barcelona,Gonzalez,JG,Cold-shock mortality,41.4,2.2
Germany,Munich,Grath,SG,Development time,47.1,11.6
Switzerland,Lausanne,Hoedjes,KH,Development time,46.5,6.6
Ukraine,Kyiv,Kozeretska,IK,Cold-shock mortality,50.5,30.5
Turkey,Ankara,Onder,BO,Wing area,39.9,32.9
Germany,Munich,Parsch,JP,Lifespan,47.1,11.6
Germany,Göttingen,Posnien,NP,Thorax length,51.5,9.9
UK,St Andrews,Ritchie,MR,Wing patterning,56.34,-2.9
Austria,Vienna,Schlötterer,CS,Diapause,48.2,16.4
USA,Philadelphia,Schmidt,PS,Viability,39.9,-75.2
Serbia,Belgrade,Stamenkovic-Radak,MSR,Wing area,44.8,20.5
Israel,Haifa,Tauber,ET,Locomotor activity,32.8,34.9
Portugal,Porto,Vieira,JV,Heat-shock mortality,41.2,-8.6
Germany,Würzburg,Wegener,CW,Circadian eclosion timing,49.8,9.9
The Netherlands,Wageningen,Zwaan,BZ,Viability,51.9,5.7
Argentina,Buenos Aires,Mensch,JM,Chill-coma recovery time,-34.6,-58.4
Portugal,Lisbon,Sucena,ES,Fly husbandry,38.7,-9.14
Czech Republic,Ceske Budejovice,Hrcek,JH,Parasitoid resistance,49,14.5
Russia,Moscow,Pasyukova,EP,Lifespan,55.8,37.47
