"Lab","Trait","Sex","Model","P_pop","P_lat","P_lon","P_alt","P_meta_adj"
"Mensch","CCRT","F","lmer",0.0336619289772072,0.663562949560529,0.028658461186063,0.174335097941586,1
"Mensch","CCRT","M","lmer",0.0689907383636355,0.487914532672498,0.360659433216851,0.722556500824827,1
"Vieira","CCRT","F","lmer",0.00245338562104879,0.985933915263529,0.504715899347149,0.666979797289932,1
"Vieira","CCRT","M","lmer",1.05820362517672e-05,0.216993043333886,0.621362396405569,0.973568435854143,1
"Gonzalez","CSM","F","lmer",0.0557747311047609,0.268462606553541,0.686532793662745,0.579570204645836,1
"Gonzalez","CSM","M","lmer",0.0916232392707334,0.347090479651485,0.96883761432476,0.445476974187501,1
"Kozeretska","CSM","F","lmer",0.906126805511984,0.594363869015841,0.721834310718916,0.570554637510372,1
"Kozeretska","CSM","M","lmer",0.598116279395031,0.552678265769775,0.86165910415626,0.902132955596969,1
"Vieira","CSM","F","lmer",0.17860469913531,0.289215606557606,0.655481917455396,0.945078285113069,1
"Vieira","CSM","M","lmer",0.0249362591242104,0.346380624413119,0.656343705598405,0.0704818418692001,1
"Bergland","Dia","F","lmer",0.0162701804265161,0.888125675697065,0.0396830997226125,0.266299466633694,NA
"Flatt","Dia","F","lmer",0.658978587065494,0.666615192975925,0.834794071070496,0.960592256647864,NA
"Schlotterer","Dia","F","lmer",0.0208998779621458,0.454852268680873,0.602710569717843,0.585098920218542,NA
"Gibert","DT_A","F","lmer",0.000439888995305529,0.828507821322289,0.0674290364116909,0.0859411501881886,1
"Gibert","DT_A","M","lmer",0.00411902697539041,0.88586299019234,0.290722368023507,0.104484617040994,1
"Grath","DT_A","F","lmer",0.0037919310469454,0.610982179651894,0.393220457709933,0.645742121227666,1
"Grath","DT_A","M","lmer",0.0585233915112043,0.775501263874309,0.558745917017949,0.553851163355494,1
"Hoedjes","DT_A","F","lmer",2.51365299239434e-06,0.036406382609512,0.0528658732713362,0.777415483850371,1
"Hoedjes","DT_A","M","lmer",2.33227160953477e-06,0.0484706471360969,0.046533879600207,0.854910731316132,1
"Schmidt","DT_A","F","lmer",0.00198060030101647,0.817796229663234,0.721549512875418,0.823344306835623,1
"Schmidt","DT_A","M","lmer",0.00157514112844543,0.990788797514347,0.814210625811252,0.765071359928363,1
"StamenkovicRadak","DT_A","F","lmer",1.36471053158151e-06,0.377639085670256,0.955999073942035,0.904950494524701,1
"StamenkovicRadak","DT_A","M","lmer",1.31476794011807e-06,0.421971248715113,0.912711770527315,0.877978446815798,1
"Zwaan","DT_A","F","lmer",0.0505094131895524,0.382529006231935,0.0977916577705474,0.567121307103842,1
"Zwaan","DT_A","M","lmer",0.0264118064376956,0.686153829990742,0.0227228581661168,0.237781334710591,1
"Schmidt","DT_P",NA,"lmer",0.00980388811163575,0.301588068453879,0.983065661794745,0.752569917550803,NA
"Colinet","DW","F","lmer",0.0211076980008757,0.555865963902625,0.364523267804249,0.703382260112706,1
