"Trait","Sex","R","P","P_bonf","Label"
"CCRT","F",0.00679832489318091,0.287994771034383,1,"CCRT_F"
"CCRT","M",0.000944655195460318,0.692478747778421,1,"CCRT_M"
"CSM","F",0.00379432491507985,0.427664108356832,1,"CSM_F"
"CSM","M",0.00219461514495207,0.546508246371436,1,"CSM_M"
"Dia","F",0.00760165083792521,0.262550820130457,1,"Dia_F"
"DT_A","F",0.00332778911469186,0.457635928734453,1,"DT_A_F"
"DT_A","M",0.0023253246434056,0.534784912438415,1,"DT_A_M"
"DT_P",NA,0.00270186120982767,0.513898227135387,1,"DT_P_NA"
"DW","F",0.000323977152556108,0.816867833919854,1,"DW_F"
"DW","M",0.00310647215571352,0.473014983250346,1,"DW_M"
"Fec","F",0.00578334364471076,0.327205115102627,1,"Fec_F"
"HSM","F",0.0026319056421058,0.510266036030692,1,"HSM_F"
"HSM","M",0.0037634522637015,0.430950967147591,1,"HSM_M"
"LA_Activity","B",0.00129726354852772,0.73321250638599,1,"LA_Activity_B"
"LA_CircPhase","B",0.00859037793302473,0.379544940536511,1,"LA_CircPhase_B"
"LA_NDlog2","B",0.00476364462593575,0.515643740817162,1,"LA_NDlog2_B"
"LA_Period","B",0.00436399232575218,0.531544000068165,1,"LA_Period_B"
"LS","F",6.24596359401227e-06,0.974428862185692,1,"LS_F"
"LS","M",0.000670691197948453,0.739727555313452,1,"LS_M"
"Pgm_T4","F",0.0061715102970325,0.311440745919505,1,"Pgm_T4_F"
"Pgm_T5","F",0.000483710374254007,0.777197410911677,1,"Pgm_T5_F"
"Pgm_T6","F",0.000175033336396563,0.864846738601154,1,"Pgm_T6_F"
"Pgm_Total","F",0.0007461065187626,0.725239891299764,1,"Pgm_Total_F"
"PR_HR",NA,0.0125578831224625,0.402310051849489,1,"PR_HR_NA"
"SR","F",0.0158726646117649,0.104728379782781,1,"SR_F"
"SR","M",0.00174272277246767,0.592194970633157,1,"SR_M"
"TL","F",0.00125932681317784,0.650897396639108,1,"TL_F"
"TL","M",0.00971311078177976,0.255442263106929,1,"TL_M"
"Via",NA,0.00824308710673516,0.241830122412864,1,"Via_NA"
"WA_L","F",0.00206292914085006,0.558809809370762,1,"WA_L_F"
"WA_L","M",0.00292771125804166,0.486054097471793,1,"WA_L_M"
"WA_R","F",0.00228822571663748,0.538065330671714,1,"WA_R_F"
"WA_R","M",0.00213143094492753,0.552346587371342,1,"WA_R_M"
