"Trait","Sex","R","P","P_bonf","Label"
"CCRT","F",0.00305708956884654,0.476559603213081,1,"CCRT_F"
"CCRT","M",0.00380872643377651,0.42678690312695,1,"CCRT_M"
"CSM","F",0.00442926640764755,0.391371702186104,1,"CSM_F"
"CSM","M",0.00105272597848029,0.676301766753501,1,"CSM_M"
"Dia","F",0.0168749602110379,0.0942851985893463,1,"Dia_F"
"DT_A","F",1.56253101226831e-05,0.959442710613425,1,"DT_A_F"
"DT_A","M",0.000217986534026897,0.849348583145769,1,"DT_A_M"
"DT_P",NA,0.0040669907894285,0.423037677162972,1,"DT_P_NA"
"DW","F",0.00117298010633455,0.659408342352603,1,"DW_F"
"DW","M",0.0122010161033298,0.154047866682155,1,"DW_M"
"Fec","F",0.000409379418582122,0.794616976733619,1,"Fec_F"
"HSM","F",0.00818612672844077,0.244899292874484,1,"HSM_F"
"HSM","M",0.0150046820709411,0.114790610836539,1,"HSM_M"
"LA_Activity","B",0.00344558848182813,0.578344913228633,1,"LA_Activity_B"
"LA_CircPhase","B",0.023566849153878,0.144013514961239,1,"LA_CircPhase_B"
"LA_NDlog2","B",0.00753481235176123,0.413271733381203,1,"LA_NDlog2_B"
"LA_Period","B",0.0149585897781614,0.245463771775099,1,"LA_Period_B"
"LS","F",0.00525461420058506,0.351879350226537,1,"LS_F"
"LS","M",0.0012748392021855,0.646888233557172,1,"LS_M"
"Pgm_T4","F",0.00656025448247612,0.29662506077721,1,"Pgm_T4_F"
"Pgm_T5","F",0.00379663076938244,0.427523475622736,1,"Pgm_T5_F"
"Pgm_T6","F",0.0137429112713598,0.130189478217425,1,"Pgm_T6_F"
"Pgm_Total","F",0.0132350188576527,0.13756057362429,1,"Pgm_Total_F"
"PR_HR",NA,0.0144130714451693,0.369368578172092,1,"PR_HR_NA"
"SR","F",0.00221341093498328,0.546011254874796,1,"SR_F"
"SR","M",0.0144107680580343,0.122282646715642,1,"SR_M"
"TL","F",0.00347865324281007,0.451745004390871,1,"TL_F"
"TL","M",0.00557012605323165,0.389625185785375,1,"TL_M"
"Via",NA,0.0102826591804804,0.19090725562277,1,"Via_NA"
"WA_L","F",0.000253529125785096,0.837687295974349,1,"WA_L_F"
"WA_L","M",0.00102923027469824,0.679733351315218,1,"WA_L_M"
"WA_R","F",2.4170238290936e-05,0.949569453645266,1,"WA_R_F"
"WA_R","M",0.000589375125328348,0.754764477963187,1,"WA_R_M"
