"Trait","Sex","R","P","P_bonf","Label"
"CCRT","F",8.59247135986568e-05,0.905075123270137,1,"CCRT_F"
"CCRT","M",0.00533080266625587,0.346941320015545,1,"CCRT_M"
"CSM","F",0.00213222325968566,0.552272655476933,1,"CSM_F"
"CSM","M",0.000161784503278425,0.870015575705102,1,"CSM_M"
"Dia","F",0.0108039174153573,0.181300916079861,1,"Dia_F"
"DT_A","F",0.0137517096848834,0.130065701767203,1,"DT_A_F"
"DT_A","M",0.0130628915558627,0.140162860637383,1,"DT_A_M"
"DT_P",NA,0.000165086850665845,0.871891874067129,1,"DT_P_NA"
"DW","F",0.000772595690113587,0.720604112639627,1,"DW_F"
"DW","M",0.00440524058217398,0.392662197805198,1,"DW_M"
"Fec","F",0.00073788907269905,0.726696736727279,1,"Fec_F"
"HSM","F",0.000503351884523464,0.773508104127609,1,"HSM_F"
"HSM","M",0.00466199447927669,0.380620830423387,1,"HSM_M"
"LA_Activity","B",0.016782967872367,0.218399190934834,1,"LA_Activity_B"
"LA_CircPhase","B",0.000429949166359182,0.844463814025505,1,"LA_CircPhase_B"
"LA_NDlog2","B",0.0076012856358261,0.411210989171161,1,"LA_NDlog2_B"
"LA_Period","B",0.0245449955484482,0.135858886890977,1,"LA_Period_B"
"LS","F",0.000532856850137214,0.76714917389108,1,"LS_F"
"LS","M",0.00047128247918369,0.780652874984536,1,"LS_M"
"Pgm_T4","F",0.00742399857140304,0.266773354266764,1,"Pgm_T4_F"
"Pgm_T5","F",0.00848776889400337,0.234935137329926,1,"Pgm_T5_F"
"Pgm_T6","F",0.023722110478807,0.0462252314394095,1,"Pgm_T6_F"
"Pgm_Total","F",0.01614378414651,0.100750622379625,1,"Pgm_Total_F"
"PR_HR",NA,0.0422261210570589,0.12175158341196,1,"PR_HR_NA"
"SR","F",3.60002510608854e-06,0.980585138009181,1,"SR_F"
"SR","M",0.00163600843035672,0.603771405137937,1,"SR_M"
"TL","F",0.00132247051721537,0.642841770182039,1,"TL_F"
"TL","M",0.00168928995962713,0.635992369013756,1,"TL_M"
"Via",NA,0.0067956975657663,0.28808826481493,1,"Via_NA"
"WA_L","F",0.00348186139303813,0.447389602832349,1,"WA_L_F"
"WA_L","M",0.0196300666697953,0.0700811846236259,1,"WA_L_M"
"WA_R","F",0.00377899415299405,0.428600891294601,1,"WA_R_F"
"WA_R","M",0.0185177633500747,0.0786080114690673,1,"WA_R_M"
