"Trait","Sex","R","P","P_bonf","Method","Label"
"CCRT","F",0.17192171582341,0.658276249258182,1,"pearson","CCRT_F"
"CCRT","M",0.104123833239621,0.789787788791612,1,"pearson","CCRT_M"
"CSM","F",0.317972423932596,0.404356855793447,1,"pearson","CSM_F"
"CSM","M",0.192502367682037,0.619746702739525,1,"pearson","CSM_M"
"Dia","F",-0.19690859487633,0.611597138714541,1,"pearson","Dia_F"
"DT_A","F",0.687511794145826,0.0406998943762419,1,"pearson","DT_A_F"
"DT_A","M",0.695060038214891,0.037670701270287,1,"pearson","DT_A_M"
"DT_P",NA,0.0841969980899058,0.829485355643732,1,"pearson","DT_P_NA"
"DW","F",-0.226923174113608,0.557096487860645,1,"pearson","DW_F"
"DW","M",-0.305325653853694,0.424312593652161,1,"pearson","DW_M"
"Fec","F",-0.395772068117803,0.291703108588326,1,"pearson","Fec_F"
"HSM","F",-0.0612480911362202,0.875615810774,1,"pearson","HSM_F"
"HSM","M",-0.129959502661574,0.738946670168631,1,"pearson","HSM_M"
"LA_AbsPhase","B",0.511314151925501,0.159454289560877,1,"pearson","LA_AbsPhase_B"
"LA_Activity","B",0.0671151681616924,0.863786291058561,1,"pearson","LA_Activity_B"
"LA_CircPhase","B",-0.312895594210107,0.412315368816823,1,"pearson","LA_CircPhase_B"
"LA_NDlog2","B",-0.0962557450335115,0.805417111308945,1,"pearson","LA_NDlog2_B"
"LA_Period","B",-0.470200930449592,0.20151057961956,1,"pearson","LA_Period_B"
"LS","F",-0.221717352379429,0.566417454027138,1,"pearson","LS_F"
"LS","M",-0.351109958645459,0.35419037597533,1,"pearson","LS_M"
"Pgm_T4","F",0.407578877914933,0.276210768952801,1,"pearson","Pgm_T4_F"
"Pgm_T5","F",0.282453233537718,0.461485780570038,1,"pearson","Pgm_T5_F"
"Pgm_T6","F",-0.251795098557073,0.513381233541373,1,"pearson","Pgm_T6_F"
"Pgm_Total","F",0.0980221619368221,0.801902887527553,1,"pearson","Pgm_Total_F"
"SR","F",-0.226783731051991,0.557345409862506,1,"pearson","SR_F"
"SR","M",-0.226508436386815,0.557836964508331,1,"pearson","SR_M"
"TL","F",0.588698262548925,0.0953679164875086,1,"pearson","TL_F"
"TL","M",0.606522331820796,0.0833352731849199,1,"pearson","TL_M"
"Via",NA,-0.348580040896042,0.357909050274278,1,"pearson","Via_NA"
"WA_L","F",0.292764019755575,0.444559148354119,1,"pearson","WA_L_F"
"WA_L","M",0.234922277302088,0.542887333269268,1,"pearson","WA_L_M"
"WA_R","F",0.272013259074896,0.47889953751714,1,"pearson","WA_R_F"
"WA_R","M",0.219874321811402,0.569731039104207,1,"pearson","WA_R_M"
