"Lab","Trait","Sex","Model","Predictor","P"
"Vieira","CCRT","F","lmer","alt",0.666979797289932
"Mensch","CCRT","F","lmer","alt",0.174335097941586
"Vieira","CCRT","M","lmer","alt",0.973568435854143
"Mensch","CCRT","M","lmer","alt",0.722556500824827
"Gonzalez","CSM","F","lmer","alt",0.579570204645836
"Kozeretska","CSM","F","lmer","alt",0.570554637510372
"Vieira","CSM","F","lmer","alt",0.945078285113069
"Gonzalez","CSM","M","lmer","alt",0.445476974187501
"Kozeretska","CSM","M","lmer","alt",0.902132955596969
"Vieira","CSM","M","lmer","alt",0.0704818418692001
"Schmidt","DT_P","NA","lmer","alt",0.752569917550803
"Gibert","DT_A","F","lmer","alt",0.0859411501881886
"Grath","DT_A","F","lmer","alt",0.645742121227666
"Hoedjes","DT_A","F","lmer","alt",0.777415483850371
"Schmidt","DT_A","F","lmer","alt",0.823344306835623
"StamenkovicRadak","DT_A","F","lmer","alt",0.904950494524701
"Zwaan","DT_A","F","lmer","alt",0.567121307103842
"Gibert","DT_A","M","lmer","alt",0.104484617040994
"Grath","DT_A","M","lmer","alt",0.553851163355494
"Hoedjes","DT_A","M","lmer","alt",0.854910731316132
"Schmidt","DT_A","M","lmer","alt",0.765071359928363
"StamenkovicRadak","DT_A","M","lmer","alt",0.877978446815798
"Zwaan","DT_A","M","lmer","alt",0.237781334710591
"Bergland","Dia","F","lmer","alt",0.266299466633694
"Flatt","Dia","F","lm","alt",0.960592256647864
"Schlotterer","Dia","F","lmer","alt",0.585098920218542
"Colinet","DW","F","lmer","alt",0.703382260112706
"Hoedjes","DW","F","lmer","alt",0.384792646563928
"Onder","DW","F","lmer","alt",0.710875100905898
"Colinet","DW","M","lmer","alt",0.287713208371932
"Hoedjes","DW","M","lmer","alt",0.28219757505955
"Onder","DW","M","lmer","alt",0.859428007049047
"Billeter","Fec","F","lmer","alt",0.349718207314408
"Fricke","Fec","F","lmer","alt",0.709194011789618
"Parsch","HSM","F","lmer","alt",0.00889943260915279
"Vieira","HSM","F","lmer","alt",0.80847450511254
"Parsch","HSM","M","lmer","alt",0.226013870950272
"Vieira","HSM","M","lmer","alt",0.698668390147797
"Flatt","LS","F","lmer","alt",0.777652102945551
"Parsch","LS","F","lmer","alt",0.450157851862385
"Pasyukova","LS","F","lmer","alt",0.277555605730322
"Flatt","LS","M","lmer","alt",0.742185989268568
"Parsch","LS","M","lmer","alt",0.406129779446526
"Pasyukova","LS","M","lmer","alt",0.196041553799536
"Tauber","LA_NDlog2","M","lmer","alt",0.165368535144286
"Tauber","LA_Period","M","lmer","alt",0.466390734740208
"Tauber","LA_CircPhase","M","lmer","alt",0.704105462521912
"Tauber","LA_AbsPhase","M","lmer","alt",0.782042576966366
"Tauber","LA_Activity","M","lmer","alt",0.949214704669969
"Abbott","Pgm_T4","F","lmer","alt",0.135124406331228
"Abbott","Pgm_T5","F","lmer","alt",0.191963625375482
"Abbott","Pgm_T6","F","lmer","alt",0.785438517432791
"Abbott","Pgm_Total","F","lmer","alt",0.297431086993735
"Gibert","Pgm_T4","F","lmer","alt",0.103588360978719
"Gibert","Pgm_T5","F","lmer","alt",0.0223126548690383
"Gibert","Pgm_T6","F","lmer","alt",0.798275091872415
"Gibert","Pgm_Total","F","lmer","alt",0.116460388058733
"Schmidt","Pgm_T4","F","lmer","alt",0.523314871458905
"Schmidt","Pgm_T5","F","lmer","alt",0.955528038762589
"Schmidt","Pgm_T6","F","lmer","alt",0.756932915242474
"Schmidt","Pgm_Total","F","lmer","alt",0.679172058299667
"Gonzalez","SR","F","lmer","alt",0.422903364894209
"Onder","SR","F","lmer","alt",0.46831230246229
"Pasyukova","SR","F","lmer","alt",0.0695692198300133
"Gonzalez","SR","M","lmer","alt",0.340886236176064
"Onder","SR","M","lmer","alt",0.490294840487525
"Pasyukova","SR","M","lmer","alt",0.254063467535702
"Kozeretska","TL","F","lmer","alt",0.133838387309773
"Posnien","TL","F","lmer","alt",0.737598439845985
"Ritchie","TL","F","lmer","alt",0.094668833951084
"Schmidt","TL","F","lmer","alt",0.993247178266985
"Kozeretska","TL","M","lmer","alt",0.195324687325418
"Posnien","TL","M","lmer","alt",0.432831384706868
"Ritchie","TL","M","lmer","alt",0.133211708590808
"Gibert","Via","NA","lmer","alt",0.109626064675936
"Grath","Via","NA","lmer","alt",0.381000882901661
"Hoedjes","Via","NA","lmer","alt",0.027273480312829
"Schmidt","Via","NA","lmer","alt",0.222175354895761
"StamenkovicRadak","Via","NA","lmer","alt",0.175216448145067
"Zwaan","Via","NA","lmer","alt",0.103646093018331
"Onder","WA_L","F","lmer","alt",0.824536441531635
"Posnien","WA_L","F","lmer","alt",0.827533623486851
"Ritchie","WA_L","F","lmer","alt",0.529631922879956
"StamenkovicRadak","WA_L","F","lmer","alt",0.806629091658629
"Onder","WA_L","M","lmer","alt",0.708265530004818
"Posnien","WA_L","M","lmer","alt",0.883489557430427
"Ritchie","WA_L","M","lmer","alt",0.922705917266167
"StamenkovicRadak","WA_L","M","lmer","alt",0.790932199940144
"Onder","WA_R","F","lmer","alt",0.803991516131065
"Posnien","WA_R","F","lmer","alt",0.856374898516954
"Ritchie","WA_R","F","lmer","alt",0.516651055748464
"StamenkovicRadak","WA_R","F","lmer","alt",0.782017615023206
"Onder","WA_R","M","lmer","alt",0.68151432686151
"Posnien","WA_R","M","lmer","alt",0.943934821778269
"Ritchie","WA_R","M","lmer","alt",0.945586856596018
"StamenkovicRadak","WA_R","M","lmer","alt",0.792189029252649
"Bergland","Dia","F","glmer","alt",0.131775410712218
"Flatt","Dia","F","glmer","alt",0.85037960636789
"Schlotterer","Dia","F","glmer","alt",0.543462584605536
