"Lab","Trait","Sex","Model","Predictor","P"
"Vieira","CCRT","F","lmer","alt",0.507138407947485
"Mensch","CCRT","F","lmer","alt",0.043782398818581
"Vieira","CCRT","M","lmer","alt",0.855592200658692
"Mensch","CCRT","M","lmer","alt",0.790765192333235
"Gonzalez","CSM","F","lmer","alt",0.393084189134795
"Kozeretska","CSM","F","lmer","alt",0.892031040204571
"Vieira","CSM","F","lmer","alt",0.598208915012015
"Gonzalez","CSM","M","lmer","alt",0.147164891798542
"Kozeretska","CSM","M","lmer","alt",0.325988729514102
"Vieira","CSM","M","lmer","alt",0.010029221518336
"Schmidt","DT_P","NA","lmer","alt",0.227957612033075
"Gibert","DT_A","F","lmer","alt",0.00285306953506265
"Grath","DT_A","F","lmer","alt",0.0884189616882841
"Hoedjes","DT_A","F","lmer","alt",0.76858607076019
"Schmidt","DT_A","F","lmer","alt",0.954027997823425
"StamenkovicRadak","DT_A","F","lmer","alt",0.529845037917843
"Zwaan","DT_A","F","lmer","alt",0.329095850757151
"Gibert","DT_A","M","lmer","alt",0.0103649933942624
"Grath","DT_A","M","lmer","alt",0.0763613926401034
"Hoedjes","DT_A","M","lmer","alt",0.925416702895863
"Schmidt","DT_A","M","lmer","alt",0.853390310708151
"StamenkovicRadak","DT_A","M","lmer","alt",0.565152852543535
"Zwaan","DT_A","M","lmer","alt",0.0617785111215131
"Bergland","Dia","F","lmer","alt",0.0474311703559459
"Flatt","Dia","F","lm","alt",NA
"Schlotterer","Dia","F","lmer","alt",0.713972328196891
"Colinet","DW","F","lmer","alt",0.899753346733692
"Hoedjes","DW","F","lmer","alt",0.235025869529225
"Onder","DW","F","lmer","alt",0.420034593992317
"Colinet","DW","M","lmer","alt",0.0172219705199813
"Hoedjes","DW","M","lmer","alt",0.293169682412622
"Onder","DW","M","lmer","alt",0.781088521227356
"Billeter","Fec","F","lmer","alt",0.044391832597963
"Fricke","Fec","F","lmer","alt",0.785460940835091
"Parsch","HSM","F","lmer","alt",0.703323229773125
"Vieira","HSM","F","lmer","alt",0.297858077823484
"Parsch","HSM","M","lmer","alt",0.260436126516147
"Vieira","HSM","M","lmer","alt",0.307157996534976
"Parsch","LS","F","lmer","alt",0.0391644712106096
"Pasyukova","LS","F","lmer","alt",0.0860901265122859
"Parsch","LS","M","lmer","alt",0.0434657523376816
"Pasyukova","LS","M","lmer","alt",0.0131937730179602
"Tauber","LA_NDlog2","B","lmer","alt",0.00910777066975964
"Tauber","LA_Period","B","lmer","alt",0.11469107651404
"Tauber","LA_CircPhase","B","lmer","alt",0.300475979888021
"Tauber","LA_AbsPhase","B","lm","alt",NA
"Tauber","LA_Activity","B","lmer","alt",0.967175306929435
"Abbott","Pgm_T4","F","lmer","alt",8.55424684753752e-06
"Abbott","Pgm_T5","F","lmer","alt",0.000261668248205979
"Abbott","Pgm_T6","F","lmer","alt",0.817959946068545
"Abbott","Pgm_Total","F","lmer","alt",0.00726424893507985
"Gibert","Pgm_T4","F","lmer","alt",0.00448307014675461
"Gibert","Pgm_T5","F","lmer","alt",0.0021006040506934
"Gibert","Pgm_T6","F","lmer","alt",0.683147574304321
"Gibert","Pgm_Total","F","lmer","alt",0.0909265230494212
"Schmidt","Pgm_T4","F","lmer","alt",0.174462545316719
"Schmidt","Pgm_T5","F","lmer","alt",0.927027976591967
"Schmidt","Pgm_T6","F","lmer","alt",0.45272983824159
"Schmidt","Pgm_Total","F","lmer","alt",0.450375642527677
"Gonzalez","SR","F","lmer","alt",0.0942424591226051
"Onder","SR","F","lmer","alt",0.0217482015563647
"Pasyukova","SR","F","lmer","alt",6.07625534957657e-05
"Gonzalez","SR","M","lmer","alt",0.0235205434788768
"Onder","SR","M","lmer","alt",0.0702847423440858
"Pasyukova","SR","M","lmer","alt",0.00181687397909058
"Kozeretska","TL","F","lmer","alt",0.0284033550235366
"Posnien","TL","F","lmer","alt",0.895062104391483
"Ritchie","TL","F","lmer","alt",0.0463509105928381
"Schmidt","TL","F","lmer","alt",0.813485550684407
"Kozeretska","TL","M","lmer","alt",0.0620677683856941
"Posnien","TL","M","lmer","alt",0.357097831641396
"Ritchie","TL","M","lmer","alt",0.0536407511651804
"Gibert","Via","NA","lmer","alt",2.65292634312082e-06
"Grath","Via","NA","lmer","alt",0.138447293992987
"Hoedjes","Via","NA","lmer","alt",0.0223427566222852
"Schmidt","Via","NA","lm","alt",NA
"StamenkovicRadak","Via","NA","lmer","alt",0.000816085959239121
"Zwaan","Via","NA","lmer","alt",7.76958177934851e-05
"Onder","WA_L","F","lmer","alt",0.65253847786409
"Posnien","WA_L","F","lmer","alt",0.762313892040771
"Ritchie","WA_L","F","lmer","alt",0.181046930844487
"StamenkovicRadak","WA_L","F","lmer","alt",0.331236953503831
"Onder","WA_L","M","lmer","alt",0.416456157228351
"Posnien","WA_L","M","lmer","alt",0.801720032645022
"Ritchie","WA_L","M","lmer","alt",0.976021387687011
"StamenkovicRadak","WA_L","M","lmer","alt",0.297192914061259
"Onder","WA_R","F","lmer","alt",0.609942223794409
"Posnien","WA_R","F","lmer","alt",0.801250815906408
"Ritchie","WA_R","F","lmer","alt",0.17935007201585
"StamenkovicRadak","WA_R","F","lmer","alt",0.276691963285118
"Onder","WA_R","M","lmer","alt",0.375097689211527
"Posnien","WA_R","M","lmer","alt",0.860004277905368
"Ritchie","WA_R","M","lmer","alt",0.954852621511405
"StamenkovicRadak","WA_R","M","lmer","alt",0.28950152998818
