"Lab","Trait","Sex","Model","Predictor","P"
"Vieira","CCRT","F","lmer","lat",0.985933915263529
"Mensch","CCRT","F","lmer","lat",0.663562949560529
"Vieira","CCRT","M","lmer","lat",0.216993043333886
"Mensch","CCRT","M","lmer","lat",0.487914532672498
"Gonzalez","CSM","F","lmer","lat",0.268462606553541
"Kozeretska","CSM","F","lmer","lat",0.594363869015841
"Vieira","CSM","F","lmer","lat",0.289215606557606
"Gonzalez","CSM","M","lmer","lat",0.347090479651485
"Kozeretska","CSM","M","lmer","lat",0.552678265769775
"Vieira","CSM","M","lmer","lat",0.346380624413119
"Schmidt","DT_P","NA","lmer","lat",0.301588068453879
"Gibert","DT_A","F","lmer","lat",0.828507821322289
"Grath","DT_A","F","lmer","lat",0.610982179651894
"Hoedjes","DT_A","F","lmer","lat",0.036406382609512
"Schmidt","DT_A","F","lmer","lat",0.817796229663234
"StamenkovicRadak","DT_A","F","lmer","lat",0.377639085670256
"Zwaan","DT_A","F","lmer","lat",0.382529006231935
"Gibert","DT_A","M","lmer","lat",0.88586299019234
"Grath","DT_A","M","lmer","lat",0.775501263874309
"Hoedjes","DT_A","M","lmer","lat",0.0484706471360969
"Schmidt","DT_A","M","lmer","lat",0.990788797514347
"StamenkovicRadak","DT_A","M","lmer","lat",0.421971248715113
"Zwaan","DT_A","M","lmer","lat",0.686153829990742
"Bergland","Dia","F","lmer","lat",0.888125675697065
"Flatt","Dia","F","lm","lat",0.666615192975925
"Schlotterer","Dia","F","lmer","lat",0.454852268680873
"Colinet","DW","F","lmer","lat",0.555865963902625
"Hoedjes","DW","F","lmer","lat",0.618024998647646
"Onder","DW","F","lmer","lat",0.893739902709541
"Colinet","DW","M","lmer","lat",0.59838127499959
"Hoedjes","DW","M","lmer","lat",0.475532850317646
"Onder","DW","M","lmer","lat",0.656392734108443
"Billeter","Fec","F","lmer","lat",0.0381195753051466
"Fricke","Fec","F","lmer","lat",0.689239418806126
"Parsch","HSM","F","lmer","lat",0.0535847206561002
"Vieira","HSM","F","lmer","lat",0.827365115720833
"Parsch","HSM","M","lmer","lat",0.0163061434049899
"Vieira","HSM","M","lmer","lat",0.250951891191559
"Flatt","LS","F","lmer","lat",0.00387130368369167
"Parsch","LS","F","lmer","lat",0.0949836822377866
"Pasyukova","LS","F","lmer","lat",0.315074424837724
"Flatt","LS","M","lmer","lat",0.403999523981134
"Parsch","LS","M","lmer","lat",0.00371863642713224
"Pasyukova","LS","M","lmer","lat",0.10035797679123
"Tauber","LA_NDlog2","M","lmer","lat",0.373895422031384
"Tauber","LA_Period","M","lmer","lat",0.252598504264849
"Tauber","LA_CircPhase","M","lmer","lat",0.28632657345205
"Tauber","LA_AbsPhase","M","lmer","lat",0.498323712575507
"Tauber","LA_Activity","M","lmer","lat",0.314756206659679
"Abbott","Pgm_T4","F","lmer","lat",0.158586656476048
"Abbott","Pgm_T5","F","lmer","lat",0.291127236225049
"Abbott","Pgm_T6","F","lmer","lat",0.618344300979519
"Abbott","Pgm_Total","F","lmer","lat",0.303081064551413
"Gibert","Pgm_T4","F","lmer","lat",0.796441360971109
"Gibert","Pgm_T5","F","lmer","lat",0.990630922215868
"Gibert","Pgm_T6","F","lmer","lat",0.879924861389928
"Gibert","Pgm_Total","F","lmer","lat",0.933888781348913
"Schmidt","Pgm_T4","F","lmer","lat",0.492576695183084
"Schmidt","Pgm_T5","F","lmer","lat",0.883118923796641
"Schmidt","Pgm_T6","F","lmer","lat",0.938219060635394
"Schmidt","Pgm_Total","F","lmer","lat",0.832268137599194
"Gonzalez","SR","F","lmer","lat",0.0370695750094331
"Onder","SR","F","lmer","lat",0.0614722429036479
"Pasyukova","SR","F","lmer","lat",0.220004589749676
"Gonzalez","SR","M","lmer","lat",0.0445336125110098
"Onder","SR","M","lmer","lat",0.0875865497664153
"Pasyukova","SR","M","lmer","lat",0.156791130351859
"Kozeretska","TL","F","lmer","lat",0.396896929805194
"Posnien","TL","F","lmer","lat",0.23872935997137
"Ritchie","TL","F","lmer","lat",0.147336285684471
"Schmidt","TL","F","lmer","lat",0.0455655062166215
"Kozeretska","TL","M","lmer","lat",0.543011520911843
"Posnien","TL","M","lmer","lat",0.324916102633515
"Ritchie","TL","M","lmer","lat",0.420204099505519
"Gibert","Via","NA","lmer","lat",0.045871039389835
"Grath","Via","NA","lmer","lat",0.390638543456706
"Hoedjes","Via","NA","lmer","lat",0.0090214938507857
"Schmidt","Via","NA","lmer","lat",0.207614790179526
"StamenkovicRadak","Via","NA","lmer","lat",0.276229279736248
"Zwaan","Via","NA","lmer","lat",0.0168739249288309
"Onder","WA_L","F","lmer","lat",0.305544235130939
"Posnien","WA_L","F","lmer","lat",0.0168235255410915
"Ritchie","WA_L","F","lmer","lat",0.910607563039041
"StamenkovicRadak","WA_L","F","lmer","lat",0.108352247242226
"Onder","WA_L","M","lmer","lat",0.465482114155526
"Posnien","WA_L","M","lmer","lat",0.180270904945669
"Ritchie","WA_L","M","lmer","lat",0.961486043915289
"StamenkovicRadak","WA_L","M","lmer","lat",0.0916850524194035
"Onder","WA_R","F","lmer","lat",0.311166577746992
"Posnien","WA_R","F","lmer","lat",0.016457201883407
"Ritchie","WA_R","F","lmer","lat",0.916733184873096
"StamenkovicRadak","WA_R","F","lmer","lat",0.103242684849272
"Onder","WA_R","M","lmer","lat",0.465186928691918
"Posnien","WA_R","M","lmer","lat",0.175327861770261
"Ritchie","WA_R","M","lmer","lat",0.998423969620568
"StamenkovicRadak","WA_R","M","lmer","lat",0.0982213493361597
"Bergland","Dia","F","glmer","lat",0.710982004260055
"Flatt","Dia","F","glmer","lat",0.678478219334162
"Schlotterer","Dia","F","glmer","lat",0.348465532314149
