"Lab","Trait","Sex","Model","Predictor","P"
"Vieira","CCRT","F","lmer","lat",0.983178918435341
"Mensch","CCRT","F","lmer","lat",0.623404181909227
"Vieira","CCRT","M","lmer","lat",0.037244607407178
"Mensch","CCRT","M","lmer","lat",0.201534447333256
"Gonzalez","CSM","F","lmer","lat",0.251224494707025
"Kozeretska","CSM","F","lmer","lat",0.779879607686642
"Vieira","CSM","F","lmer","lat",0.0559973608836116
"Gonzalez","CSM","M","lmer","lat",0.0332932347734772
"Kozeretska","CSM","M","lmer","lat",0.399502975065723
"Vieira","CSM","M","lmer","lat",0.205578981305717
"Schmidt","DT_P","NA","lmer","lat",0.0113831195675168
"Gibert","DT_A","F","lmer","lat",0.674997224822833
"Grath","DT_A","F","lmer","lat",0.655000740250701
"Hoedjes","DT_A","F","lmer","lat",0.000174310301098138
"Schmidt","DT_A","F","lmer","lat",0.799710993389017
"StamenkovicRadak","DT_A","F","lmer","lat",0.080701516681727
"Zwaan","DT_A","F","lmer","lat",0.205172556749245
"Gibert","DT_A","M","lmer","lat",0.686020614873002
"Grath","DT_A","M","lmer","lat",0.878897479975278
"Hoedjes","DT_A","M","lmer","lat",0.000355670369977012
"Schmidt","DT_A","M","lmer","lat",0.63207934768549
"StamenkovicRadak","DT_A","M","lmer","lat",0.0692671662502441
"Zwaan","DT_A","M","lmer","lat",0.990401516324897
"Bergland","Dia","F","lmer","lat",0.81966089122527
"Flatt","Dia","F","lm","lat",NA
"Schlotterer","Dia","F","lmer","lat",0.240985372339006
"Colinet","DW","F","lmer","lat",0.199092680031235
"Hoedjes","DW","F","lmer","lat",0.664998633380797
"Onder","DW","F","lmer","lat",0.918378320750923
"Colinet","DW","M","lmer","lat",0.166826746471854
"Hoedjes","DW","M","lmer","lat",0.607765510251271
"Onder","DW","M","lmer","lat",0.686095523118247
"Billeter","Fec","F","lmer","lat",0.000641194274987114
"Fricke","Fec","F","lmer","lat",0.241134627307903
"Parsch","HSM","F","lmer","lat",0.000228058576129831
"Vieira","HSM","F","lmer","lat",0.229074515929625
"Parsch","HSM","M","lmer","lat",1.83091759125995e-06
"Vieira","HSM","M","lmer","lat",0.0039215342667826
"Parsch","LS","F","lmer","lat",0.00221887160555072
"Pasyukova","LS","F","lmer","lat",0.0853074752588832
"Parsch","LS","M","lmer","lat",9.96244598693803e-06
"Pasyukova","LS","M","lmer","lat",0.00820483200209544
"Tauber","LA_NDlog2","B","lmer","lat",0.050219011786025
"Tauber","LA_Period","B","lmer","lat",0.0205348894822385
"Tauber","LA_CircPhase","B","lmer","lat",0.107246255687405
"Tauber","LA_AbsPhase","B","lm","lat",NA
"Tauber","LA_Activity","B","lmer","lat",0.0636025847072911
"Abbott","Pgm_T4","F","lmer","lat",0.00139124806926857
"Abbott","Pgm_T5","F","lmer","lat",0.050049817024583
"Abbott","Pgm_T6","F","lmer","lat",0.881417032770649
"Abbott","Pgm_Total","F","lmer","lat",0.0787913578810611
"Gibert","Pgm_T4","F","lmer","lat",0.62212526774182
"Gibert","Pgm_T5","F","lmer","lat",0.875957893952024
"Gibert","Pgm_T6","F","lmer","lat",0.383736960954491
"Gibert","Pgm_Total","F","lmer","lat",0.69317013193873
"Schmidt","Pgm_T4","F","lmer","lat",0.538939459625873
"Schmidt","Pgm_T5","F","lmer","lat",0.543579150357352
"Schmidt","Pgm_T6","F","lmer","lat",0.972780173953691
"Schmidt","Pgm_Total","F","lmer","lat",0.900470789604411
"Gonzalez","SR","F","lmer","lat",0.000127580161950898
"Onder","SR","F","lmer","lat",0.000429403318802428
"Pasyukova","SR","F","lmer","lat",0.00320811271236195
"Gonzalez","SR","M","lmer","lat",5.42705769641026e-05
"Onder","SR","M","lmer","lat",0.00442638360911145
"Pasyukova","SR","M","lmer","lat",0.000425743645157236
"Kozeretska","TL","F","lmer","lat",0.0887859844080704
"Posnien","TL","F","lmer","lat",0.0391558967056195
"Ritchie","TL","F","lmer","lat",0.0918698149875654
"Schmidt","TL","F","lmer","lat",0.00980284493779265
"Kozeretska","TL","M","lmer","lat",0.219956681109048
"Posnien","TL","M","lmer","lat",0.0906980085381564
"Ritchie","TL","M","lmer","lat",0.244564285864571
"Gibert","Via","NA","lmer","lat",1.48470561171557e-09
"Grath","Via","NA","lmer","lat",0.0616764783026661
"Hoedjes","Via","NA","lmer","lat",8.44214139426545e-07
"Schmidt","Via","NA","lm","lat",NA
"StamenkovicRadak","Via","NA","lmer","lat",0.000400627524425076
"Zwaan","Via","NA","lmer","lat",5.90700109095752e-06
"Onder","WA_L","F","lmer","lat",0.134969266442354
"Posnien","WA_L","F","lmer","lat",0.0374304762544677
"Ritchie","WA_L","F","lmer","lat",0.970815465397693
"StamenkovicRadak","WA_L","F","lmer","lat",0.000290786490710872
"Onder","WA_L","M","lmer","lat",0.369160327320901
"Posnien","WA_L","M","lmer","lat",0.21452011043886
"Ritchie","WA_L","M","lmer","lat",0.787415762126382
"StamenkovicRadak","WA_L","M","lmer","lat",0.000509732465803047
"Onder","WA_R","F","lmer","lat",0.151044051238302
"Posnien","WA_R","F","lmer","lat",0.0349700426426329
"Ritchie","WA_R","F","lmer","lat",0.998576538636981
"StamenkovicRadak","WA_R","F","lmer","lat",0.00018455399416608
"Onder","WA_R","M","lmer","lat",0.392327588092106
"Posnien","WA_R","M","lmer","lat",0.215316121431465
"Ritchie","WA_R","M","lmer","lat",0.812435462501808
"StamenkovicRadak","WA_R","M","lmer","lat",0.000507305423945666
