"Lab","Trait","Sex","Model","Predictor","P"
"Vieira","CCRT","F","lmer","Wolbachia",0.939520180619207
"Mensch","CCRT","F","lmer","Wolbachia",0.322779051992231
"Vieira","CCRT","M","lmer","Wolbachia",0.691461748642612
"Mensch","CCRT","M","lmer","Wolbachia",0.116988377784519
"Gonzalez","CSM","F","lmer","Wolbachia",0.346803558744453
"Kozeretska","CSM","F","lmer","Wolbachia",0.832966689443493
"Vieira","CSM","F","lmer","Wolbachia",0.0389922377313965
"Gonzalez","CSM","M","lmer","Wolbachia",0.461137738590808
"Kozeretska","CSM","M","lmer","Wolbachia",0.387716190962018
"Vieira","CSM","M","lmer","Wolbachia",0.102683288739755
"Schmidt","DT_P","NA","lmer","Wolbachia",0.342745458660255
"Gibert","DT_A","F","lmer","Wolbachia",0.688273753058024
"Grath","DT_A","F","lmer","Wolbachia",0.427385632793449
"Hoedjes","DT_A","F","lmer","Wolbachia",0.887031881904571
"Schmidt","DT_A","F","lmer","Wolbachia",0.695278998804101
"StamenkovicRadak","DT_A","F","lmer","Wolbachia",0.262452506044882
"Zwaan","DT_A","F","lmer","Wolbachia",0.693067826306479
"Gibert","DT_A","M","lmer","Wolbachia",0.686859119554292
"Grath","DT_A","M","lmer","Wolbachia",0.796176631327117
"Hoedjes","DT_A","M","lmer","Wolbachia",0.476932861746332
"Schmidt","DT_A","M","lmer","Wolbachia",0.971664102548312
"StamenkovicRadak","DT_A","M","lmer","Wolbachia",0.500142102198236
"Zwaan","DT_A","M","lmer","Wolbachia",0.38251928516646
"Bergland","Dia","F","lmer","Wolbachia",0.852743821435735
"Schlotterer","Dia","F","lmer","Wolbachia",0.960687011017043
"Colinet","DW","F","lmer","Wolbachia",0.167275596616793
"Hoedjes","DW","F","lmer","Wolbachia",0.929421623877914
"Onder","DW","F","lmer","Wolbachia",0.629985423047452
"Colinet","DW","M","lmer","Wolbachia",0.720012940798931
"Hoedjes","DW","M","lmer","Wolbachia",0.93655539447918
"Onder","DW","M","lmer","Wolbachia",0.460958569843402
"Billeter","Fec","F","lmer","Wolbachia",0.44597970315743
"Fricke","Fec","F","lmer","Wolbachia",0.931479358036653
"Parsch","HSM","F","lmer","Wolbachia",0.296272019208281
"Vieira","HSM","F","lmer","Wolbachia",0.583822123384061
"Parsch","HSM","M","lmer","Wolbachia",0.934761302319973
"Vieira","HSM","M","lmer","Wolbachia",0.643967988955854
"Parsch","LS","F","lmer","Wolbachia",0.0996314517397812
"Pasyukova","LS","F","lmer","Wolbachia",0.59363851818177
"Parsch","LS","M","lmer","Wolbachia",0.698187058302274
"Pasyukova","LS","M","lmer","Wolbachia",0.344169612616101
"Tauber","LA_NDlog2","NA","lmer","Wolbachia",0.240052758553631
"Tauber","LA_Period","NA","lmer","Wolbachia",0.575112560982594
"Tauber","LA_CircPhase","NA","lmer","Wolbachia",0.109171033081971
"Tauber","LA_Activity","NA","lmer","Wolbachia",0.0685658539359928
"Abbott","Pgm_T4","F","lmer","Wolbachia",0.236428371143302
"Abbott","Pgm_T5","F","lmer","Wolbachia",0.61409399359007
