"Trait","P_lon"
"CCRT_F_Vieira",0.504715898402205
"CCRT_M_Vieira",0.621362396404633
"CSM_F_Gonzalez",0.686532793662745
"CSM_F_Kozeretska",0.721834310718916
"CSM_F_Vieira",0.655481917455396
"CSM_M_Gonzalez",0.96883761432476
"CSM_M_Kozeretska",0.86165910415626
"CSM_M_Vieira",0.656343705598405
"DT_P_Schmidt",0.983065661794745
"DT_A_F_Gibert",0.0674290364116909
"DT_A_F_Grath",0.393220457709933
"DT_A_F_Hoedjes",0.0528658732713362
"DT_A_F_Schmidt",0.721549512875418
"DT_A_F_StamenkovicRadak",0.955999073942035
"DT_A_F_Zwaan",0.0977916577705474
"DT_A_M_Gibert",0.290722368023507
"DT_A_M_Grath",0.558745917017949
"DT_A_M_Hoedjes",0.046533879600207
"DT_A_M_Schmidt",0.814210625811252
"DT_A_M_StamenkovicRadak",0.912711770527315
"DT_A_M_Zwaan",0.0227228581661168
"Dia_Bergland",0.0396830997226125
"Dia_Flatt",0.834794071070496
"Dia_Schlotterer",0.602710569717843
"DW_F_Colinet",0.364523267804249
"DW_F_Hoedjes",0.596660605434522
"DW_F_Onder",0.826482239092654
"DW_M_Colinet",0.304545694862112
"DW_M_Hoedjes",0.43952367881857
"DW_M_Onder",0.894857564664144
"Fec_Billeter",0.655950489509646
"Fec_Fricke",0.749091305283389
"HSM_F_Parsch",0.550136381905961
"HSM_F_Vieira",0.83791296352346
"HSM_M_Parsch",0.410224753116242
"HSM_M_Vieira",0.502191941978301
"LS_F_Flatt",0.151287339668363
"LS_F_Parsch",0.335970103172859
"LS_F_Pasyukova",0.152157522442659
"LS_M_Flatt",0.801843375207143
"LS_M_Parsch",0.128031624108062
"LS_M_Pasyukova",0.336587178185086
"LA_NDlog2_Tauber",0.962973039626969
"LA_Period_Tauber",0.252598504264849
"LA_CircPhase_Tauber",0.28632657345205
"LA_AbsPhase_Tauber",0.498323712575507
"LA_Activity_Tauber",0.314756206659679
"Pgm_T4_Abbott",0.43734048085493
"Pgm_T5_Abbott",0.56982556357233
"Pgm_T6_Abbott",0.682176524235928
"Pgm_Total_Abbott",0.542658439463951
"Pgm_T4_Gibert",0.0194624925496987
"Pgm_T5_Gibert",0.321366099291389
"Pgm_T6_Gibert",0.50477366546621
"Pgm_Total_Gibert",0.259298341821997
"Pgm_T4_Schmidt",0.793820503052092
"Pgm_T5_Schmidt",0.82082230479856
"Pgm_T6_Schmidt",0.242988881075437
"Pgm_Total_Schmidt",0.545037830506381
"SR_F_Gonzalez",0.589435363435616
"SR_F_Onder",0.860301295806132
"SR_F_Pasyukova",0.464786514333535
"SR_M_Gonzalez",0.961620646796419
"SR_M_Onder",0.76597605240146
"SR_M_Pasyukova",0.754077028575541
"TL_F_Kozeretska",0.891322474710638
"TL_F_Posnien",0.899127434358109
"TL_F_Ritchie",0.457895103285664
"TL_F_Schmidt",0.0823542087870525
"TL_M_Kozeretska",0.830967093179343
"TL_M_Posnien",0.836721473849138
"TL_M_Ritchie",0.436517100198131
"Via_Gibert",0.796828454635768
"Via_Grath",0.593316799571045
"Via_Hoedjes",0.79187170641243
"Via_Schmidt",0.924128899218802
"Via_StamenkovicRadak",0.224500038462039
"Via_Zwaan",0.773823964937142
"WA_L_F_Onder",0.113754769400618
"WA_L_F_Posnien",0.0934975672978319
"WA_L_F_Ritchie",0.518913144915542
"WA_L_F_StamenkovicRadak",0.235388025463932
"WA_L_M_Onder",0.188798286766717
"WA_L_M_Posnien",0.407291738679447
"WA_L_M_Ritchie",0.941215440205883
"WA_L_M_StamenkovicRadak",0.249919103279457
"WA_R_F_Onder",0.111723918433779
"WA_R_F_Posnien",0.097126351746462
"WA_R_F_Ritchie",0.527841218904992
"WA_R_F_StamenkovicRadak",0.250162144921655
"WA_R_M_Onder",0.175890050165769
"WA_R_M_Posnien",0.378364372193857
"WA_R_M_Ritchie",0.979959338893839
"WA_R_M_StamenkovicRadak",0.27347286422736
