"Lab","Trait","Sex","Model","Predictor","P"
"Vieira","CCRT","F","lmer","lon",0.130494496608997
"Mensch","CCRT","F","lmer","lon",0.00124109646993964
"Vieira","CCRT","M","lmer","lon",0.859018878426038
"Mensch","CCRT","M","lmer","lon",0.0553480609480708
"Gonzalez","CSM","F","lmer","lon",0.598240328403234
"Kozeretska","CSM","F","lmer","lon",0.837207997530064
"Vieira","CSM","F","lmer","lon",0.904728512525047
"Gonzalez","CSM","M","lmer","lon",0.671750371314695
"Kozeretska","CSM","M","lmer","lon",0.612480072808419
"Vieira","CSM","M","lmer","lon",0.849244781297162
"Schmidt","DT_P","NA","lmer","lon",0.853140572857923
"Gibert","DT_A","F","lmer","lon",0.000551786900731076
"Grath","DT_A","F","lmer","lon",0.132831942388987
"Hoedjes","DT_A","F","lmer","lon",0.00253745033096869
"Schmidt","DT_A","F","lmer","lon",0.860257836144132
"StamenkovicRadak","DT_A","F","lmer","lon",0.931612231947394
"Zwaan","DT_A","F","lmer","lon",0.00654006044038399
"Gibert","DT_A","M","lmer","lon",0.0518092280082471
"Grath","DT_A","M","lmer","lon",0.480990478388508
"Hoedjes","DT_A","M","lmer","lon",0.00172036414716887
"Schmidt","DT_A","M","lmer","lon",0.948414937894285
"StamenkovicRadak","DT_A","M","lmer","lon",0.965582777503008
"Zwaan","DT_A","M","lmer","lon",0.00212344985065534
"Bergland","Dia","F","lmer","lon",0.0068154708361779
"Flatt","Dia","F","lm","lon",NA
"Schlotterer","Dia","F","lmer","lon",0.576133769241752
"Colinet","DW","F","lmer","lon",0.318851085555733
"Hoedjes","DW","F","lmer","lon",0.553386697473014
"Onder","DW","F","lmer","lon",0.301832855053864
"Colinet","DW","M","lmer","lon",0.0231958314781458
"Hoedjes","DW","M","lmer","lon",0.479465069853635
"Onder","DW","M","lmer","lon",0.995870764093039
"Billeter","Fec","F","lmer","lon",0.709148337531359
"Fricke","Fec","F","lmer","lon",0.738522179856326
"Parsch","HSM","F","lmer","lon",0.262741004785525
"Vieira","HSM","F","lmer","lon",0.174569398050238
"Parsch","HSM","M","lmer","lon",0.0623662572513011
"Vieira","HSM","M","lmer","lon",0.0691696896535295
"Parsch","LS","F","lmer","lon",0.158627234217926
"Pasyukova","LS","F","lmer","lon",0.00683645081612764
"Parsch","LS","M","lmer","lon",0.041654633877355
"Pasyukova","LS","M","lmer","lon",0.00318735383295249
"Tauber","LA_NDlog2","B","lmer","lon",0.450864787762938
"Tauber","LA_Period","B","lmer","lon",0.306145158656035
"Tauber","LA_CircPhase","B","lmer","lon",0.235627541910788
"Tauber","LA_AbsPhase","B","lm","lon",NA
"Tauber","LA_Activity","B","lmer","lon",0.0243023645568997
"Abbott","Pgm_T4","F","lmer","lon",0.163464621706416
"Abbott","Pgm_T5","F","lmer","lon",0.621003447886964
"Abbott","Pgm_T6","F","lmer","lon",0.868713286838482
"Abbott","Pgm_Total","F","lmer","lon",0.483032884838867
"Gibert","Pgm_T4","F","lmer","lon",0.00400689344387723
"Gibert","Pgm_T5","F","lmer","lon",0.0819115792411298
"Gibert","Pgm_T6","F","lmer","lon",0.665336643272552
"Gibert","Pgm_Total","F","lmer","lon",0.142443211973139
"Schmidt","Pgm_T4","F","lmer","lon",0.687808209487254
"Schmidt","Pgm_T5","F","lmer","lon",0.237628905518994
"Schmidt","Pgm_T6","F","lmer","lon",0.0698016500523739
"Schmidt","Pgm_Total","F","lmer","lon",0.137318548819363
"Gonzalez","SR","F","lmer","lon",0.647790579185693
"Onder","SR","F","lmer","lon",0.537962857700166
"Pasyukova","SR","F","lmer","lon",0.062448108777827
"Gonzalez","SR","M","lmer","lon",0.513999532771275
"Onder","SR","M","lmer","lon",0.759646102637835
"Pasyukova","SR","M","lmer","lon",0.218544856161233
"Kozeretska","TL","F","lmer","lon",0.616754848810538
"Posnien","TL","F","lmer","lon",0.786428635948977
"Ritchie","TL","F","lmer","lon",0.350932563450239
"Schmidt","TL","F","lmer","lon",0.0367355511307466
"Kozeretska","TL","M","lmer","lon",0.587485904957011
"Posnien","TL","M","lmer","lon",0.59671527037174
"Ritchie","TL","M","lmer","lon",0.329650512106397
"Gibert","Via","NA","lmer","lon",0.595676848150012
"Grath","Via","NA","lmer","lon",0.12643862795498
"Hoedjes","Via","NA","lmer","lon",0.946672328714108
"Schmidt","Via","NA","lm","lon",NA
"StamenkovicRadak","Via","NA","lmer","lon",0.0420665317605796
"Zwaan","Via","NA","lmer","lon",0.976882413119622
"Onder","WA_L","F","lmer","lon",0.00346247317458643
"Posnien","WA_L","F","lmer","lon",0.136257727235852
"Ritchie","WA_L","F","lmer","lon",0.124497227841716
"StamenkovicRadak","WA_L","F","lmer","lon",0.0473783650881001
"Onder","WA_L","M","lmer","lon",0.0179655530029877
"Posnien","WA_L","M","lmer","lon",0.400337627310126
"Ritchie","WA_L","M","lmer","lon",0.424278544449245
"StamenkovicRadak","WA_L","M","lmer","lon",0.0918535904314758
"Onder","WA_R","F","lmer","lon",0.00336783863456911
"Posnien","WA_R","F","lmer","lon",0.139401649040019
"Ritchie","WA_R","F","lmer","lon",0.123167135339261
"StamenkovicRadak","WA_R","F","lmer","lon",0.0561320547266278
"Onder","WA_R","M","lmer","lon",0.0165590543689341
"Posnien","WA_R","M","lmer","lon",0.384276301528061
"Ritchie","WA_R","M","lmer","lon",0.517724983500773
"StamenkovicRadak","WA_R","M","lmer","lon",0.117843794651549
