"Lab","Trait","Sex","Model","Predictor","P"
"Vieira","CCRT","F","lmer","Wolbachia",0.784612747829196
"Mensch","CCRT","F","lmer","Wolbachia",0.136093410353462
"Vieira","CCRT","M","lmer","Wolbachia",0.820603077185266
"Mensch","CCRT","M","lmer","Wolbachia",0.120873353779471
"Gonzalez","CSM","F","lmer","Wolbachia",0.229881996784487
"Kozeretska","CSM","F","lmer","Wolbachia",0.719143713484558
"Vieira","CSM","F","lmer","Wolbachia",0.144825915908124
"Gonzalez","CSM","M","lmer","Wolbachia",0.87407017338163
"Kozeretska","CSM","M","lmer","Wolbachia",0.619616151414909
"Vieira","CSM","M","lmer","Wolbachia",0.0364461052480893
"Schmidt","DT_P","NA","lmer","Wolbachia",0.87159151446339
"Gibert","DT_A","F","lmer","Wolbachia",0.88590173403256
"Grath","DT_A","F","lmer","Wolbachia",0.886299626920256
"Hoedjes","DT_A","F","lmer","Wolbachia",0.478389032574593
"Schmidt","DT_A","F","lmer","Wolbachia",0.594142575184704
"StamenkovicRadak","DT_A","F","lmer","Wolbachia",0.0895047313269187
"Zwaan","DT_A","F","lmer","Wolbachia",0.785039606007901
"Gibert","DT_A","M","lmer","Wolbachia",0.878034920429008
"Grath","DT_A","M","lmer","Wolbachia",0.884679959687528
"Hoedjes","DT_A","M","lmer","Wolbachia",0.799871217212882
"Schmidt","DT_A","M","lmer","Wolbachia",0.886857131229648
"StamenkovicRadak","DT_A","M","lmer","Wolbachia",0.214912779320366
"Zwaan","DT_A","M","lmer","Wolbachia",0.76339810238562
"Bergland","Dia","F","lmer","Wolbachia",0.596253639130815
"Schlotterer","Dia","F","lmer","Wolbachia",0.643815814071248
"Colinet","DW","F","lmer","Wolbachia",0.228356927224672
"Hoedjes","DW","F","lmer","Wolbachia",0.872073974218603
"Onder","DW","F","lmer","Wolbachia",0.490642349739005
"Colinet","DW","M","lmer","Wolbachia",0.564341487864808
"Hoedjes","DW","M","lmer","Wolbachia",0.827867586662003
"Onder","DW","M","lmer","Wolbachia",0.381290721983157
"Billeter","Fec","F","lmer","Wolbachia",0.836539618402849
"Fricke","Fec","F","lmer","Wolbachia",0.83471570612323
"Parsch","HSM","F","lmer","Wolbachia",0.0796057126416917
"Vieira","HSM","F","lmer","Wolbachia",0.455690845121472
"Parsch","HSM","M","lmer","Wolbachia",0.399899770813214
"Vieira","HSM","M","lmer","Wolbachia",0.285803153718049
"Parsch","LS","F","lmer","Wolbachia",0.0274131888933036
"Pasyukova","LS","F","lmer","Wolbachia",0.086558054083404
"Parsch","LS","M","lmer","Wolbachia",0.228273130898153
"Pasyukova","LS","M","lmer","Wolbachia",0.013319123213532
"Tauber","LA_NDlog2","NA","lmer","Wolbachia",0.59810662213286
"Tauber","LA_Period","NA","lmer","Wolbachia",0.917160677846522
"Tauber","LA_CircPhase","NA","lmer","Wolbachia",0.0587034103495151
"Tauber","LA_Activity","NA","lmer","Wolbachia",0.0720840243975038
"Abbott","Pgm_T4","F","lmer","Wolbachia",0.0589702452603332
"Abbott","Pgm_T5","F","lmer","Wolbachia",0.30505533323584
"Abbott","Pgm_T6","F","lmer","Wolbachia",0.858124366915904
"Abbott","Pgm_Total","F","lmer","Wolbachia",0.341091047995943
"Gibert","Pgm_T4","F","lmer","Wolbachia",0.245766868581606
"Gibert","Pgm_T5","F","lmer","Wolbachia",0.0489999649996968
"Gibert","Pgm_T6","F","lmer","Wolbachia",0.348610153058714
"Gibert","Pgm_Total","F","lmer","Wolbachia",0.0881790235622808
"Schmidt","Pgm_T4","F","lmer","Wolbachia",0.173472892430127
"Schmidt","Pgm_T5","F","lmer","Wolbachia",0.299154639382193
"Schmidt","Pgm_T6","F","lmer","Wolbachia",0.444837185703294
"Schmidt","Pgm_Total","F","lmer","Wolbachia",0.309450505661707
"Gonzalez","SR","F","lmer","Wolbachia",0.840038423492066
"Onder","SR","F","lmer","Wolbachia",0.0551266783340915
"Pasyukova","SR","F","lmer","Wolbachia",0.672872514515189
"Gonzalez","SR","M","lmer","Wolbachia",0.62868272925577
"Onder","SR","M","lmer","Wolbachia",0.31373169120923
"Pasyukova","SR","M","lmer","Wolbachia",0.572002532575845
"Kozeretska","TL","F","lmer","Wolbachia",0.749296035827767
"Posnien","TL","F","lmer","Wolbachia",0.671266562102895
"Ritchie","TL","F","lmer","Wolbachia",0.813281765166039
"Schmidt","TL","F","lmer","Wolbachia",0.302548459414625
"Kozeretska","TL","M","lmer","Wolbachia",0.954445388821978
"Posnien","TL","M","lmer","Wolbachia",0.472687144650759
"Ritchie","TL","M","lmer","Wolbachia",0.878081870771234
"Gibert","Via","NA","lmer","Wolbachia",0.8794542286444
"Grath","Via","NA","lmer","Wolbachia",0.470152585907281
"Hoedjes","Via","NA","lmer","Wolbachia",0.000383755366265146
"StamenkovicRadak","Via","NA","lmer","Wolbachia",0.1610224124547
"Zwaan","Via","NA","lmer","Wolbachia",0.0302871324955781
"Onder","WA_L","F","lmer","Wolbachia",0.0207035600810394
"Posnien","WA_L","F","lmer","Wolbachia",0.777946966302783
"Ritchie","WA_L","F","lmer","Wolbachia",0.754214868834924
"StamenkovicRadak","WA_L","F","lmer","Wolbachia",0.0273329447670246
"Onder","WA_L","M","lmer","Wolbachia",0.0614702953690958
"Posnien","WA_L","M","lmer","Wolbachia",0.747613580165697
"Ritchie","WA_L","M","lmer","Wolbachia",0.935971478285787
"StamenkovicRadak","WA_L","M","lmer","Wolbachia",0.0101719513628779
"Onder","WA_R","F","lmer","Wolbachia",0.0183190392430461
"Posnien","WA_R","F","lmer","Wolbachia",0.812141535891802
"Ritchie","WA_R","F","lmer","Wolbachia",0.741439446591454
"StamenkovicRadak","WA_R","F","lmer","Wolbachia",0.0239293254228848
"Onder","WA_R","M","lmer","Wolbachia",0.052880480827638
"Posnien","WA_R","M","lmer","Wolbachia",0.752597852291625
"Ritchie","WA_R","M","lmer","Wolbachia",0.888095778064001
"StamenkovicRadak","WA_R","M","lmer","Wolbachia",0.0144457361029638
