Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
CCRT	YE	YE11	F	53.0641854091241	101.373815802463	-145.624842539101	251.753213357349	2
CCRT	YE	YE13	F	148.676956508979	102.103087704751	-51.4414181026663	348.795331120625	2
CCRT	YE	YE14	F	15.6207098603432	101.410244624104	-183.139717266297	214.381136986983	2
CCRT	YE	YE15	F	-288.700454412202	147.979727351346	-578.735390462898	1.3344816384934	2
CCRT	YE	YE19	F	-198.690353890702	101.311267661815	-397.256789735957	-0.123918045446089	2
CCRT	YE	YE20	F	-102.902664307129	101.132064906255	-301.117869205556	95.3125405912976	2
CCRT	YE	YE21	F	48.2800635477836	102.702251350046	-153.012650229487	249.572777325054	2
CCRT	YE	YE22	F	83.6421646879132	102.963959243712	-118.163487135412	285.447816511238	2
CCRT	YE	YE23	F	87.3341172966679	146.941020527551	-200.664990788892	375.333225382228	2
CCRT	YE	YE24	F	-136.881930653554	265.28764022895	-656.836151045915	383.072289738807	2
CCRT	YE	YE26	F	-78.1261824311202	101.346381791994	-276.761440706874	120.509075844634	2
CCRT	YE	YE27	F	-173.931065044036	101.659979802255	-373.180964125524	25.3188340374523	2
CCRT	YE	YE33	F	97.7926068439368	103.168059958118	-104.413075028843	299.998288716717	2
CCRT	YE	YE40	F	64.9200364313807	143.130287493636	-215.61017215301	345.450245015771	2
CCRT	YE	YE41	F	9.781	125.886	-236.951026157809	256.513026157809	1
CCRT	YE	YE48	F	156.901856067894	103.271587192791	-45.5067354562641	359.310447592053	2
CCRT	YE	YE49	F	128.013007108809	248.009737056995	-358.07714533815	614.103159555769	2
CCRT	YE	YE51	F	254.758162427831	101.646004819524	55.5356538091781	453.980671046483	2
CCRT	YE	YE69	F	3.70658263430792	93.009046572772	-178.587798884734	186.00096415335	2
CCRT	YE	YE80	F	-147.414886264979	101.209857287767	-345.78256142944	50.9527888994823	2
CCRT	RE	RE1	F	-96.537	172.305	-434.248594356174	241.174594356174	1
CCRT	RE	RE10	F	41.4385426365892	103.160205735776	-160.751745243274	243.628830516453	2
CCRT	RE	RE11	F	120.181484693901	106.392291326858	-88.3435745394336	328.706543927235	2
CCRT	RE	RE12	F	30.2156548229229	101.677199897154	-169.067995024378	229.499304670224	2
CCRT	RE	RE13	F	37.8393390098764	101.585963697072	-161.265491171179	236.944169190932	2
CCRT	RE	RE15	F	231.615324350356	174.378899596779	-110.161038523058	573.39168722377	2
CCRT	RE	RE16	F	-47.7929372333006	103.12035070337	-249.905110685045	154.319236218444	2
CCRT	RE	RE17	F	91.3989809380867	105.147327190101	-114.68599342516	297.483955301334	2
CCRT	RE	RE18	F	-149.044125452028	101.410244624104	-347.804552578668	49.7163016746127	2
CCRT	RE	RE2	F	-93.5699900398065	101.274783102351	-292.064917462519	104.924937382906	2
CCRT	RE	RE3	F	70.5631508296002	104.001042668231	-133.275147154746	274.401448813947	2
CCRT	RE	RE4	F	-53.6071072034997	101.646004819524	-252.829615822152	145.615401415153	2
CCRT	RE	RE5	F	-75.16104589862	101.516555423465	-274.129838363176	123.807746565936	2
CCRT	RE	RE6	F	61.7452690898895	151.072668432894	-234.351720086944	357.842258266723	2
CCRT	RE	RE7	F	-143.410269854076	103.091732349727	-345.466352363384	58.6458126552325	2
CCRT	RE	RE8	F	-88.6568602945246	101.155786862734	-286.918559373292	109.604838784243	2
CCRT	RE	RE9	F	7.965	125.772	-238.543590263572	254.473590263572	1
CCRT	GI	GI1	F	-26.2034723481646	100.924414258405	-224.01168945544	171.60474475911	2
CCRT	GI	GI10	F	25.5629395985587	101.136268076541	-172.66050336225	223.786382559367	2
CCRT	GI	GI11	F	-103.14598957176	218.63854256172	-531.66965862506	325.37767948154	2
CCRT	GI	GI12	F	-93.6677085302153	101.346381791994	-292.30296680597	104.967549745539	2
CCRT	GI	GI13	F	-85.4012681753106	100.987482210598	-283.333096197462	112.53055984684	2
CCRT	GI	GI14	F	-223.572	170.502	-557.749779292048	110.605779292048	1
CCRT	GI	GI15	F	10.1180498123213	124.543629465966	-233.982978444874	254.219078069517	2
CCRT	GI	GI2	F	-31.1811532527262	116.750967052221	-260.008843835302	197.646537329849	2
CCRT	GI	GI3	F	-83.6798522325742	101.671637853649	-282.952600674925	115.592896209776	2
CCRT	GI	GI4	F	314.157	125.338	68.4990341057187	559.814965894281	1
CCRT	GI	GI5	F	-29.8627620452599	168.695660327867	-360.500180636082	300.774656545563	2
CCRT	GI	GI6	F	-67.615	180.264	-420.925947709128	285.695947709128	1
CCRT	GI	GI7	F	47.0029647193532	170.976561690874	-288.10493839525	382.110867833956	2
CCRT	GI	GI8	F	17.0679560627999	110.173386548987	-198.867913628024	233.003825753624	2
CCRT	GI	GI9	F	267.976767858442	169.233898280517	-63.715577734687	599.66911345157	2
CCRT	MU	MU1	F	-278.120082017121	101.258562282192	-476.583217216524	-79.6569468177193	2
CCRT	MU	MU10	F	81.9444539419885	162.518797077737	-236.58653514115	400.475443025127	2
CCRT	MU	MU11	F	53.0549799917228	101.43297147761	-145.749990949272	251.859950932717	2
CCRT	MU	MU12	F	-160.260413933275	113.839091462247	-383.380933232041	62.8601053654906	2
CCRT	MU	MU13	F	-57.9303208849286	117.502776468133	-288.231530845929	172.370889076072	2
CCRT	MU	MU14	F	101.311766968074	101.346381791994	-97.3234913076803	299.947025243828	2
CCRT	MU	MU15	F	-66.2011891692899	130.545721021042	-322.066100706346	189.663722367766	2
CCRT	MU	MU16	F	-16.3061308527936	101.784304349599	-215.799701569471	183.187439863884	2
CCRT	MU	MU17	F	-30.6066659278196	101.410244624104	-229.36709305446	168.153761198821	2
CCRT	MU	MU18	F	38.4676356232617	180.445396765805	-315.198843213756	392.134114460279	2
CCRT	MU	MU19	F	57.1586336049872	101.211877138527	-141.213000394219	255.530267604193	2
CCRT	MU	MU2	F	-78.6773329198304	101.481393527144	-277.57720933397	120.222543494309	2
CCRT	MU	MU20	F	-4.06673337002244	182.563909548099	-361.885420961125	353.75195422108	2
CCRT	MU	MU3	F	139.679487426736	250.909333513169	-352.093769644023	631.452744497496	2
CCRT	MU	MU4	F	69.8453561879348	101.109236823711	-128.325106490869	268.015818866739	2
CCRT	MU	MU5	F	-50.348175901513	103.12887920159	-252.477064902612	151.780713099586	2
CCRT	MU	MU6	F	55.6555024963446	101.062757819887	-142.423863008927	253.734868001616	2
CCRT	MU	MU7	F	116.693827442403	108.989301885114	-96.9212789525837	330.30893383739	2
CCRT	MU	MU8	F	19.4387616626509	101.045940627558	-178.607642751335	217.485166076637	2
CCRT	MU	MU9	F	46.1717022469664	362.44084648869	-664.199303397076	756.542707891008	2
CCRT	MA	MA12	F	-114.450896222555	147.422880556875	-403.394432611179	174.49264016607	2
CCRT	MA	MA13	F	95.9323699154321	103.187574011338	-106.311558798852	298.176298629716	2
CCRT	MA	MA16	F	-79.5254553433163	101.42956308134	-278.323745950377	119.272835263744	2
CCRT	MA	MA18	F	-42.0659791046316	102.485194978624	-242.9332702113	158.801312002037	2
CCRT	MA	MA19	F	-100.088321924774	180.605006091183	-454.06762929113	253.890985441582	2
CCRT	MA	MA20	F	58.0836519536585	202.095542528248	-338.016332837789	454.183636745106	2
CCRT	MA	MA21	F	-48.5818256338423	104.933484797162	-254.247676608561	157.084025340876	2
CCRT	MA	MA23	F	-71.1155547098896	101.314119533064	-269.687580120081	127.456470700302	2
CCRT	MA	MA26	F	37.920119188774	101.164548512744	-160.35875240846	236.198990786008	2
CCRT	MA	MA27	F	-97.1742144361024	101.346381791994	-295.809472711857	101.461043839652	2
CCRT	MA	MA28	F	9.49073147921498	102.740664002592	-191.877269713596	210.858732672026	2
CCRT	MA	MA3	F	22.4704312932699	101.719524674211	-176.896173592717	221.837036179257	2
CCRT	MA	MA30	F	120.603872518046	180.292096911264	-232.762144125236	473.969889161327	2
CCRT	MA	MA31	F	-15.5316037078014	101.281012382628	-214.038740295508	182.975532879905	2
CCRT	MA	MA32	F	-78.788403042292	101.34475164026	-277.420466279358	119.843660194774	2
CCRT	MA	MA33	F	55.2130931468126	101.676267709372	-144.068729646008	254.494915939634	2
CCRT	MA	MA5	F	-74.0680754001598	103.347183220285	-276.62483241558	128.488681615261	2
CCRT	MA	MA6	F	225.579659768779	224.733494166239	-214.889894916892	666.049214454451	2
CCRT	MA	MA7	F	141.684195091341	275.413466219698	-398.116279556605	681.484669739287	2
CCRT	MA	MA9	F	20.3310177436447	101.714489014542	-179.025717430753	219.687752918042	2
CCRT	UM	UM13	F	-87.1583400128866	116.869432016321	-316.218217658527	141.901537632754	2
CCRT	UM	UM17	F	60.9108242269109	103.886080268042	-142.702151593488	264.52380004731	2
CCRT	UM	UM18	F	-134.803906857463	158.290684089396	-445.047946760888	175.440133045961	2
CCRT	UM	UM2	F	149.680372117872	101.795886862388	-49.8358999067227	349.196644142466	2
CCRT	UM	UM20	F	134.43252987184	101.10583363324	-63.7312626762094	332.59632241989	2
CCRT	UM	UM21	F	-147.788537295188	107.020365003318	-357.544598314022	61.9675237236459	2
CCRT	UM	UM22	F	-109.003	126.011	-355.980021655877	137.974021655877	1
CCRT	UM	UM23	F	109.416831574964	101.902881299403	-90.309145692727	309.142808842654	2
CCRT	UM	UM24	F	-51.526	125.772	-298.034590263572	194.982590263572	1
CCRT	UM	UM25	F	57.6795033803447	161.870275222244	-259.58040622284	374.939412983529	2
CCRT	UM	UM26	F	-31.7358466375817	101.604898273017	-230.877787905551	167.406094630388	2
CCRT	UM	UM28	F	65.1996604184628	290.320868966046	-503.81878671536	634.218107552286	2
CCRT	UM	UM29	F	-248.33944916594	132.962794450828	-508.941737573365	12.2628392414841	2
CCRT	UM	UM4	F	-98.7839031416717	101.713214136172	-298.138139600379	100.570333317036	2
CCRT	UM	UM5	F	-78.7387625209801	105.33654234049	-285.194591764319	127.717066722359	2
CCRT	UM	UM6	F	48.1510660991335	101.10583363324	-150.012726448916	246.314858647183	2
CCRT	UM	UM7	F	126.903364429768	102.86698030186	-74.7122121602692	328.518941019804	2
CCRT	UM	UM8	F	169.083012025392	165.110762139314	-154.528135227623	492.694159278407	2
CCRT	UM	UM9	F	91.6865934021347	103.82800670686	-111.812560329894	295.185747134163	2
CCRT	KA	KA1	F	47.5059627504912	105.827764027751	-159.912643308304	254.924568809286	2
CCRT	KA	KA10	F	-69.7629906729335	104.169542141359	-273.931541556024	134.405560210157	2
CCRT	KA	KA11	F	-59.9577214471256	101.501915125697	-258.897819455333	138.982376561082	2
CCRT	KA	KA13	F	-36.0613014205534	101.295556746538	-234.596944437701	162.474341596594	2
CCRT	KA	KA14	F	-53.5036186123328	105.884127733103	-261.032695503653	154.025458278987	2
