Model	Trait	Lab	Sex	Population	Line	Coef	SE
lmer_pop	CCRT	Vieira	F	AK	AK1	1726.80474233432	140.496068587821
lmer_pop	CCRT	Vieira	F	AK	AK10	1454.36874233432	140.753588517785
lmer_pop	CCRT	Vieira	F	AK	AK11	1543.10174233432	140.263687134746
lmer_pop	CCRT	Vieira	F	AK	AK12	1424.49274233432	140.753588517785
lmer_pop	CCRT	Vieira	F	AK	AK13	1478.46674233432	144.710313072821
lmer_pop	CCRT	Vieira	F	AK	AK14	1759.09774233432	140.263687134746
lmer_pop	CCRT	Vieira	F	AK	AK15	1739.00874233432	149.649808835942
lmer_pop	CCRT	Vieira	F	AK	AK16	1421.05974233432	140.660581573637
lmer_pop	CCRT	Vieira	F	AK	AK17	1513.67574233432	140.660581573637
lmer_pop	CCRT	Vieira	F	AK	AK18	1360.77674233432	140.263687134746
lmer_pop	CCRT	Vieira	F	AK	AK19	1454.56374233432	149.510116449135
lmer_pop	CCRT	Vieira	F	AK	AK2	1571.85474233432	140.753588517785
lmer_pop	CCRT	Vieira	F	AK	AK20	1667.73574233432	140.988857310193
lmer_pop	CCRT	Vieira	F	AK	AK3	1552.39274233432	140.496068587821
lmer_pop	CCRT	Vieira	F	AK	AK4	1470.07274233432	140.660581573637
lmer_pop	CCRT	Vieira	F	AK	AK5	1678.19574233432	140.496068587821
lmer_pop	CCRT	Vieira	F	AK	AK6	1518.96374233432	140.496068587821
lmer_pop	CCRT	Vieira	F	AK	AK7	1933.83274233432	140.263687134746
lmer_pop	CCRT	Vieira	F	AK	AK8	1592.92874233432	140.753588517785
lmer_pop	CCRT	Vieira	F	AK	AK9	1779.04174233432	140.263687134746
lmer_pop	CCRT	Vieira	F	GI	GI1	1470.6025044929	146.001471447173
lmer_pop	CCRT	Vieira	F	GI	GI10	1559.5035044929	146.001471447173
lmer_pop	CCRT	Vieira	F	GI	GI11	1627.7525044929	146.201543978645
lmer_pop	CCRT	Vieira	F	GI	GI12	1382.4695044929	146.698280909285
lmer_pop	CCRT	Vieira	F	GI	GI13	1376.7755044929	146.001471447173
lmer_pop	CCRT	Vieira	F	GI	GI15	1637.3085044929	146.382809594363
lmer_pop	CCRT	Vieira	F	GI	GI2	1587.5655044929	146.698280909285
lmer_pop	CCRT	Vieira	F	GI	GI3	1481.4225044929	146.001471447173
lmer_pop	CCRT	Vieira	F	GI	GI4	1841.0655044929	146.001471447173
lmer_pop	CCRT	Vieira	F	GI	GI5	1351.1785044929	146.001471447173
lmer_pop	CCRT	Vieira	F	GI	GI7	1421.0425044929	146.201543978645
lmer_pop	CCRT	Vieira	F	GI	GI8	1460.1105044929	146.224734654365
lmer_pop	CCRT	Vieira	F	GI	GI9	1653.0135044929	146.224734654365
lmer_pop	CCRT	Vieira	F	KA	KA1	1377.92975795027	144.644463450541
lmer_pop	CCRT	Vieira	F	KA	KA10	1361.87675795027	144.845910401001
lmer_pop	CCRT	Vieira	F	KA	KA11	1376.59675795027	140.496403394873
lmer_pop	CCRT	Vieira	F	KA	KA13	1391.93875795027	140.496403394873
lmer_pop	CCRT	Vieira	F	KA	KA14	1340.33275795027	144.644463450541
